accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.23,0.7,3.4,8.8
0.342,-0.6,4.4,8.5
0.601,-2.2,2.0,6.9
0.829,-6.5,-0.2,12.0
1.026,-5.5,-1.5,9.8
1.226,-6.1,-1.0,8.2
1.426,-5.0,-1.2,8.1
1.7,-3.9,-2.2,7.7
1.824,-10.7,0.8,4.0
2.032,-8.3,-1.1,0.7
2.23,-11.5,-1.2,-0.1
2.429,-11.1,-0.8,0.9
2.632,-11.9,-0.8,-1.3
2.802,-8.8,-0.9,-0.5
3.005,-9.2,-1.0,-0.2
3.213,-12.5,0.2,1.5
3.403,-8.7,0.7,0.4
3.632,-8.5,-4.1,-0.2
3.827,-13.3,-2.1,0.3
4.032,-10.1,-2.0,-0.2
4.23,-8.7,-2.2,-0.0
4.432,-8.4,-1.6,0.2
4.636,-12.8,-0.5,0.3
4.828,-11.8,-1.0,-3.1
5.027,-7.9,-3.6,0.1
5.234,-13.8,1.0,-1.6
5.429,-10.2,-2.3,-1.3
5.606,-7.3,-1.8,-0.4
5.835,-12.5,-1.3,-0.5
6.037,-10.6,0.8,1.1
6.23,-6.9,-1.4,-0.1
6.461,-9.4,-1.6,-1.0
6.629,-12.8,1.8,-1.7
6.901,-6.9,-1.6,1.5
7.1,-12.0,-1.3,-1.2
7.312,-8.8,-1.2,0.7
7.53,-7.4,0.6,0.8
7.73,-7.9,-1.2,0.8
7.838,-11.3,-3.8,2.0
8.042,-12.8,-2.5,-1.6
8.231,-9.5,-2.1,-0.2
8.439,-10.5,-1.4,-2.2
8.635,-11.8,-2.9,3.4
8.91,-8.3,-2.0,2.0
9.132,-13.0,-1.8,-0.7
9.323,-11.4,1.2,-0.8
9.521,-9.8,-3.7,-1.5
9.698,-9.5,-1.7,0.8
9.9,-11.0,-1.4,0.2
10.104,-11.8,-0.4,0.4
10.301,-4.7,-0.7,0.6
10.559,-10.5,-1.5,0.2
10.726,-12.5,-5.7,-0.1
10.925,-10.4,-1.6,-0.7
11.126,-7.8,-2.6,-0.2
11.3,-10.5,-2.7,-0.5
11.542,-11.5,-0.0,-0.2
11.729,-11.3,-5.6,2.8
11.934,-4.4,-5.4,4.0
12.125,0.2,-4.5,6.1
12.337,3.3,-0.2,8.5
12.559,0.8,0.3,9.6
12.727,-3.6,0.7,10.6
12.901,-3.5,3.1,8.7
13.122,-1.3,1.2,9.3
13.302,-2.5,2.0,9.8
13.536,0.8,8.4,6.3
13.726,-3.8,3.0,7.0
13.927,-7.8,16.0,11.3
14.127,-4.9,1.3,12.5
14.334,-0.4,4.2,10.0
14.529,2.3,5.0,10.8
14.734,1.1,-1.7,2.4
14.934,-3.1,1.0,9.3
15.128,-16.0,1.8,8.3
15.412,-6.2,3.7,9.8
15.627,-4.1,1.1,8.6
15.727,2.0,0.9,12.3
15.997,1.5,-3.3,10.5
16.2,2.5,-2.8,6.1
16.428,5.2,-1.6,6.3
16.536,-0.7,-0.7,3.9
16.734,-8.4,0.4,16.1
16.945,-4.7,2.4,2.9
17.226,-3.7,2.6,6.7
17.424,-1.2,2.2,6.6
17.623,-4.6,2.9,7.1
17.798,-5.6,7.6,8.6
18.018,-3.9,1.0,6.9
18.206,-1.7,1.4,8.2
18.398,1.3,-0.9,15.3
18.63,-0.1,2.8,4.6
18.797,-9.0,4.5,10.6
19.027,-4.8,2.7,11.2
19.232,-1.5,1.8,7.0
19.423,0.5,2.7,9.2
19.631,0.9,0.3,3.9
19.8,0.8,8.8,12.3
20.042,6.5,-2.2,9.2
20.231,1.5,-5.5,5.7
20.433,-7.9,7.5,8.9
20.631,-3.1,3.0,7.3
20.808,2.3,1.3,7.7
21.001,-3.0,3.8,7.4
21.205,-1.8,2.9,5.7
21.408,-3.1,13.9,17.0
21.646,-5.6,-3.6,13.0
21.824,2.3,-1.8,17.9
22.029,-0.6,-8.3,8.5
22.229,2.3,-2.6,3.4
22.435,-3.1,0.7,10.8
22.63,0.9,-0.4,8.2
22.825,-1.6,1.8,7.8
23.031,4.1,6.1,9.7
23.229,3.9,-0.3,9.1
23.441,-1.4,0.0,10.0
23.629,-0.1,7.7,6.4
23.838,1.4,8.6,5.6
24.027,1.0,8.2,5.8
24.249,1.1,7.6,5.8
24.43,1.4,7.6,5.9
24.663,1.6,7.3,5.9
24.849,2.2,6.9,6.2
25.031,2.4,6.7,6.5
25.206,1.3,6.8,6.9
25.543,1.0,5.8,4.7
25.723,1.9,6.8,6.7
