vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
-0.052,-1.982,-9.024,4.526
3.952,-3.618,-10.876,4.528
5.071,-6.16,-8.781,4.529
10.591,-7.329,-4.597,4.533
7.231,-4.194,-3.739,4.534
5.718,-2.518,-3.445,4.624
7.033,-2.453,-1.782,4.633
3.676,-3.856,-0.391,4.64
4.404,-5.084,-0.809,4.642
6.921,-1.426,1.661,4.724
2.88,-4.132,-6.685,4.732
-6.852,-29.956,-18.641,4.736
-3.064,-28.606,-0.037,4.738
1.315,-15.57,-4.704,4.824
-6.881,-4.363,-1.53,4.825
-0.156,4.189,-1.311,4.829
-3.022,0.556,-1.344,4.83
-1.355,-2.519,-0.87,4.929
0.927,-1.567,-1.987,4.93
2.477,-2.529,-6.626,4.934
5.25,-9.038,-12.461,4.935
15.551,-2.745,-18.822,5.028
22.01,5.249,-24.116,5.03
7.209,-1.49,-7.517,5.033
3.335,-1.582,-3.103,5.035
0.924,-5.007,-1.102,5.123
-0.063,-5.772,-1.421,5.124
-0.364,-4.998,-6.742,5.136
0.87,-8.447,-8.528,5.138
1.651,-9.828,-11.164,5.224
2.089,-6.923,-12.762,5.225
1.998,-6.145,-7.372,5.229
1.44,-4.751,-6.526,5.23
0.413,-5.432,-5.066,5.323
1.034,-5.685,-4.843,5.327
0.513,-5.032,-7.666,5.343
0.17,-5.326,-8.613,5.353
-0.009,-5.479,-8.289,5.423
0.847,-6.217,-8.909,5.425
1.155,-6.338,-8.919,5.428
0.86,-6.449,-7.774,5.43
0.902,-5.415,-8.147,5.523
0.822,-4.884,-7.862,5.525
0.037,-4.064,-7.26,5.533
0.011,-4.892,-6.881,5.534
2.808,-6.094,-6.527,5.623
3.47,-5.847,-7.128,5.626
4.397,-4.577,-8.465,5.63
4.592,-3.906,-9.173,5.632
3.661,-4.296,-8.237,5.723
3.004,-5.08,-7.786,5.729
2.931,-4.543,-7.29,5.741
2.575,-4.527,-7.339,5.743
2.927,-4.963,-7.804,5.83
3.073,-5.137,-7.896,5.832
2.982,-5.988,-7.512,5.835
2.988,-5.959,-7.341,5.837
2.974,-5.644,-7.241,5.9
3.003,-5.423,-7.235,5.903
3.181,-5.264,-7.29,5.906
3.122,-5.159,-7.545,5.997
3.348,-5.089,-7.882,5.999
3.282,-5.038,-7.768,6.0
3.228,-4.804,-7.815,6.099
3.174,-4.844,-7.741,6.101
3.241,-5.169,-7.734,6.102
3.2,-5.3,-7.7,6.104
3.196,-5.703,-7.787,6.199
3.412,-6.091,-7.84,6.201
3.587,-6.335,-7.981,6.203
4.695,-5.729,-9.008,6.213
8.17,-1.138,-12.401,6.299
5.015,-2.681,-13.25,6.301
5.067,-2.267,-11.967,6.302
6.251,1.314,-12.617,6.304
6.385,-3.119,-14.55,6.465
5.947,-3.167,-14.627,6.467
5.075,-2.981,-13.67,6.469
4.504,-4.095,-12.312,6.47
4.968,-2.56,-10.124,6.528
4.012,-2.44,-10.016,6.53
3.804,-3.48,-8.572,6.531
5.249,-0.004,-7.033,6.566
2.771,-1.818,-5.1,6.569
2.788,-2.847,-4.0,6.635
2.573,-3.11,-3.333,6.643
1.098,-3.608,-2.567,6.645
1.384,-4.063,-1.333,6.649
1.275,-4.484,-0.612,6.698
1.81,-7.234,-0.545,6.7
2.547,-7.657,-0.676,6.707
3.553,-7.284,-1.622,6.8
4.097,-7.46,-1.734,6.802
4.04,-7.223,-1.758,6.803
3.07,-7.811,-1.529,6.805
6.08,-6.848,0.136,6.932
6.0,-7.26,0.32,6.934
6.72,-8.852,0.764,6.947
6.86,-9.016,0.512,6.95
6.883,-7.477,-0.474,7.025
8.213,-7.943,-1.219,7.027
7.685,-7.017,-0.928,7.029
6.845,-6.049,-0.617,7.031
8.396,-5.059,-0.005,7.1
8.378,-5.29,0.848,7.106
7.744,-5.421,0.705,7.107
8.028,-6.122,0.51,7.109
6.136,-4.739,1.195,7.112
7.304,-4.287,0.974,7.223
7.617,-3.748,0.096,7.225
7.1,-3.7,0.1,7.228
6.554,-4.735,0.386,7.299
8.311,-4.784,0.326,7.315
9.896,-3.772,1.591,7.317
9.489,-5.816,-0.326,7.318
14.314,-6.812,0.035,7.322
8.926,-6.37,-3.026,7.396
9.681,-6.193,-3.481,7.398
10.678,-5.411,-2.578,7.399
8.481,-4.993,-1.381,7.5
8.981,-4.693,-2.081,7.506
6.711,-4.944,-3.311,7.507
9.052,-4.241,-2.052,7.509
6.881,-4.393,-2.681,7.625
6.915,-4.526,-2.415,7.631
6.907,-5.753,-0.696,7.633
7.169,-5.884,-0.632,7.634
7.558,-6.029,-2.052,7.739
6.917,-5.509,-1.176,7.741
7.241,-6.12,-1.877,7.747
8.021,-5.811,-1.159,7.749
7.211,-4.084,0.726,7.824
7.882,-4.86,-0.144,7.826
8.075,-5.104,0.039,7.832
8.582,-5.36,0.256,7.834
8.543,-2.897,-0.52,7.923
9.121,-3.156,-1.247,7.925
9.418,-3.177,-1.21,7.926
9.509,-3.135,-1.111,7.928
9.004,-3.585,-0.023,8.023
9.019,-3.625,-0.113,8.025
9.175,-3.498,-0.253,8.026
8.983,-3.468,-0.298,8.028
9.057,-3.574,-0.24,8.123
9.56,-3.858,-0.362,8.125
9.54,-3.742,-0.638,8.149
9.285,-2.86,0.591,8.151
9.354,-2.725,-1.243,8.223
8.791,-2.565,-0.689,8.225
9.628,-2.405,-1.634,8.226
8.826,-2.12,-0.709,8.228
9.387,-2.794,-0.739,8.33
9.715,-2.692,-0.886,8.332
9.677,-2.259,-0.328,8.334
10.173,-2.988,-0.678,8.335
9.58,-2.437,-0.465,8.422
9.818,-2.377,-0.71,8.424
9.296,-2.329,-0.551,8.429
9.182,-2.223,-0.39,8.439
8.574,-2.08,-0.291,8.523
9.436,-2.447,-0.933,8.525
9.31,-2.428,-0.724,8.527
9.197,-2.322,-0.563,8.528
9.098,-2.314,-0.575,8.623
8.965,-2.245,-0.279,8.624
9.602,-2.586,-0.725,8.626
9.003,-2.178,0.263,8.628
9.237,-2.44,-0.145,8.724
9.457,-2.603,-0.38,8.728
9.331,-2.584,-0.171,8.729
9.408,-2.442,0.101,8.731
9.655,-2.618,-0.356,8.798
9.635,-2.655,-0.221,8.8
9.356,-2.41,-0.268,8.819
8.411,-3.221,1.964,8.821
