vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
-0.47,-4.261,-8.805,0.0
-0.752,-3.995,-8.976,0.002
-0.783,-4.234,-8.771,0.004
-0.775,-4.05,-8.848,0.006
-0.756,-4.088,-8.938,0.103
-0.952,-4.095,-8.976,0.105
-0.533,-3.933,-9.067,0.107
-0.541,-3.618,-9.09,0.108
-0.345,-3.61,-9.052,0.11
-0.654,-3.991,-8.957,0.112
-0.775,-4.05,-8.848,0.202
-0.575,-3.95,-8.848,0.204
-0.654,-3.991,-8.957,0.205
-0.677,-4.046,-8.829,0.207
-0.481,-4.038,-8.79,0.209
-0.598,-4.004,-8.719,0.302
-0.519,-3.962,-8.61,0.304
-0.538,-3.924,-8.519,0.305
-0.188,-3.925,-8.224,0.311
0.401,-3.902,-8.11,0.324
-0.03,-3.739,-7.495,0.39
-0.009,-3.583,-7.114,0.392
-0.094,-3.411,-7.757,0.394
-1.721,-2.858,-7.89,0.396
-1.95,-2.799,-8.295,0.397
-0.181,-3.019,-8.393,0.501
0.263,-2.863,-7.915,0.502
0.711,-2.511,-7.756,0.504
0.107,-2.207,-8.737,0.604
-1.211,-2.089,-9.244,0.607
-1.056,-2.444,-9.022,0.614
-0.219,-2.681,-8.907,0.616
-0.989,-2.311,-9.756,0.618
-2.241,-2.359,-10.396,0.62
-0.023,-3.151,-10.93,0.688
0.077,-3.451,-10.83,0.689
0.219,-3.213,-11.257,0.691
-0.445,-2.77,-11.466,0.693
-0.211,-2.46,-11.168,0.705
0.311,-2.24,-10.732,0.707
0.323,-2.049,-10.27,0.775
0.857,-1.738,-9.872,0.777
0.917,-1.545,-9.651,0.779
1.057,-1.338,-9.372,0.903
1.287,-1.391,-9.162,0.905
1.381,-1.287,-9.143,0.912
1.415,-1.377,-9.345,0.913
1.151,-1.334,-9.853,0.915
2.43,-3.223,-9.668,1.003
1.968,-3.151,-9.953,1.005
1.766,-3.225,-9.574,1.012
1.704,-3.253,-9.058,1.013
1.504,-3.253,-8.558,1.015
1.508,-3.106,-8.317,1.017
1.466,-2.825,-8.074,1.102
1.809,-2.632,-8.196,1.108
1.487,-2.515,-8.345,1.11
1.694,-2.521,-8.262,1.125
1.743,-2.508,-8.023,1.126
1.819,-2.564,-7.492,1.203
1.643,-2.708,-6.823,1.204
1.472,-2.704,-5.911,1.209
1.232,-2.649,-4.947,1.211
0.853,-2.64,-4.119,1.213
0.481,-2.561,-3.362,1.302
-0.511,-2.342,-2.978,1.304
-1.885,-2.336,-2.729,1.305
-3.772,-2.546,-3.056,1.307
-5.973,-2.92,-4.154,1.309
-5.962,-3.446,-9.285,1.402
-8.123,-3.592,-14.269,1.408
-3.754,-2.915,-15.462,1.41
-3.708,-1.231,-20.123,1.412
0.1,-0.7,-19.9,1.414
0.91,1.532,-18.247,1.503
0.353,-0.009,-15.571,1.505
-4.05,-1.358,-13.967,1.527
-7.522,-2.13,-13.138,1.529
-8.15,-2.858,-13.067,1.538
1.228,-4.229,-13.83,1.601
0.334,-3.428,-12.622,1.603
-0.142,-3.007,-11.555,1.605
-0.609,-2.551,-10.912,1.606
-1.033,-1.555,-10.744,1.608
-0.904,3.796,-9.773,1.703
-0.365,4.235,-9.047,1.704
0.184,5.384,-7.89,1.706
-0.033,7.193,-5.813,1.711
0.21,7.565,-4.999,1.713
0.341,8.663,-2.033,1.802
0.739,8.355,-1.951,1.804
0.992,7.767,-1.973,1.805
1.167,7.369,-2.494,1.807
1.745,7.08,-3.096,1.809
2.033,7.231,-3.806,1.902
1.592,7.567,-4.673,1.915
0.402,7.808,-5.682,1.917
-0.488,7.749,-6.59,1.92
-0.645,7.02,-7.104,1.922
0.365,3.811,-8.805,2.002
0.183,3.969,-8.85,2.006
-0.154,4.539,-9.263,2.013
0.0,5.0,-9.6,2.014
0.047,5.352,-9.66,2.016
-0.7,4.62,-10.84,2.102
-0.5,5.488,-11.316,2.104
0.1,5.844,-11.108,2.111
0.6,5.84,-10.38,2.113
0.6,5.752,-9.364,2.115
-0.0,5.472,-8.404,2.206
-1.0,5.044,-8.008,2.208
-2.0,4.828,-8.696,2.21
-2.5,4.848,-9.836,2.211
-2.4,4.824,-10.468,2.213
-2.1,1.7,-11.7,2.302
-1.6,1.8,-11.5,2.304
-1.3,1.8,-11.4,2.309
-0.9,1.6,-10.5,2.31
-0.8,1.3,-9.6,2.312
-0.612,0.03,-8.888,2.406
-0.451,-0.207,-8.249,2.409
-0.42,0.017,-8.08,2.411
-0.406,0.115,-8.094,2.413
-2.699,0.183,-7.835,2.503
-2.592,0.265,-7.877,2.509
-0.323,-0.025,-8.277,2.511
-0.338,-0.137,-8.362,2.512
-0.353,-0.235,-8.347,2.514
-0.694,-1.459,-8.506,2.605
-0.667,-1.467,-9.233,2.607
-0.949,-1.843,-10.051,2.608
-0.949,-1.943,-10.751,2.629
-0.737,-1.961,-10.963,2.63
-0.829,-2.006,-11.571,2.702
-0.433,-2.133,-11.967,2.704
0.498,-2.114,-11.698,2.709
1.455,-2.316,-11.055,2.711
2.241,-2.712,-10.141,2.714
5.381,-1.085,-8.511,2.802
4.731,-0.966,-8.398,2.807
3.669,-0.934,-8.702,2.809
2.076,-0.897,-9.682,2.81
1.318,-0.677,-10.563,2.812
0.12,-1.72,-10.737,2.902
1.859,-2.059,-11.312,2.904
3.267,-3.467,-11.667,2.905
3.992,-3.792,-11.245,2.907
4.037,-2.737,-10.461,2.908
2.656,1.1,-10.036,3.002
2.483,1.7,-8.748,3.009
2.093,1.9,-8.094,3.011
1.373,1.7,-7.988,3.013
1.148,2.0,-7.817,3.025
0.263,3.077,-7.437,3.103
0.361,3.048,-7.339,3.105
0.627,2.782,-7.173,3.107
0.879,2.403,-6.921,3.108
1.159,2.22,-6.641,3.11
1.2,3.288,-5.916,3.201
1.4,3.3,-5.6,3.203
1.5,3.328,-5.696,3.204
1.5,3.992,-6.544,3.211
1.6,4.74,-7.68,3.212
3.479,5.859,-8.731,3.302
3.837,7.274,-10.878,3.303
4.132,8.664,-12.618,3.305
3.728,8.855,-13.259,3.307
2.451,7.901,-13.657,3.308
2.88,4.148,-14.385,3.402
2.576,2.597,-13.782,3.403
3.151,1.956,-11.939,3.405
3.464,1.446,-10.673,3.417
3.178,1.472,-10.434,3.427
2.737,-0.777,-10.018,3.502
2.184,0.031,-9.654,3.507
1.801,0.917,-9.565,3.508
1.647,1.391,-9.671,3.51
2.068,3.0,-8.876,3.512
-0.1,3.0,-8.5,3.614
0.3,2.7,-8.1,3.616
0.5,2.5,-7.7,3.617
0.4,2.3,-7.8,3.619
0.4,1.9,-8.1,3.621
0.467,0.533,-8.567,3.702
0.435,0.295,-8.835,3.703
0.418,0.155,-9.118,3.705
0.304,0.057,-9.204,3.706
-0.007,0.001,-9.193,3.708
-0.033,-0.167,-8.967,3.827
0.054,-0.251,-8.754,3.832
0.238,-0.363,-8.638,3.844
0.252,-0.279,-8.752,3.845
0.175,-0.154,-9.375,3.847
-0.0,-1.4,-9.8,3.934
