vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
2.109,6.673,4.209,3.825
1.691,7.027,4.491,3.827
1.367,7.733,4.967,3.837
1.186,8.72,5.586,3.845
1.036,9.291,5.036,3.847
0.791,7.847,5.569,3.925
1.364,7.229,5.396,3.926
2.473,7.422,5.547,3.928
1.882,7.515,5.398,3.93
1.251,8.024,6.516,4.025
0.912,9.394,6.996,4.03
1.347,10.927,6.951,4.032
1.28,10.91,5.073,4.034
-0.361,10.031,4.82,4.035
0.859,9.365,4.985,4.128
1.678,8.896,5.655,4.129
1.26,8.856,5.81,4.131
2.058,8.874,6.16,4.133
1.815,8.366,5.371,4.134
1.691,7.496,6.611,4.226
1.609,6.904,7.189,4.227
2.289,7.144,7.289,4.251
2.367,7.433,6.367,4.253
1.933,7.467,5.733,4.254
2.567,5.633,7.333,4.325
2.737,5.311,7.689,4.327
2.495,5.084,7.516,4.329
2.211,4.532,7.768,4.33
2.323,4.335,8.098,4.332
2.357,3.514,8.829,4.426
2.51,3.999,9.578,4.432
2.629,4.257,10.414,4.434
2.652,4.505,10.61,4.435
2.414,4.589,10.737,4.437
3.604,6.751,9.729,4.529
3.844,7.768,10.61,4.531
3.698,10.311,9.892,4.533
4.615,10.209,8.96,4.536
4.115,9.409,6.56,4.539
3.219,8.387,5.275,4.625
3.181,6.813,5.325,4.635
3.066,5.804,5.064,4.636
1.813,6.221,5.653,4.638
1.196,6.223,7.685,4.645
1.772,5.911,10.202,4.725
2.009,6.964,11.121,4.726
2.038,7.25,11.254,4.731
1.803,7.588,10.807,4.733
1.418,6.645,10.378,4.738
0.526,7.518,8.856,4.828
0.507,7.062,8.03,4.83
0.063,6.988,7.149,4.833
0.169,6.635,6.796,4.835
0.572,6.208,6.72,4.837
1.431,6.62,5.739,4.925
1.68,6.453,5.741,4.927
2.086,6.157,5.429,4.929
1.857,6.171,5.086,4.93
2.306,5.704,5.088,4.932
2.664,5.691,4.536,5.025
2.373,5.518,4.227,5.033
2.02,5.64,4.2,5.035
2.213,5.898,4.327,5.036
2.124,6.411,4.836,5.038
1.964,6.791,4.936,5.125
2.025,6.996,5.055,5.127
2.124,6.911,5.236,5.128
2.469,7.147,5.491,5.13
2.444,7.651,6.236,5.14
2.2,8.4,6.5,5.237
2.087,8.702,6.373,5.238
2.113,8.198,5.627,5.24
1.982,7.645,5.218,5.251
2.821,6.221,5.351,5.255
2.716,5.778,5.167,5.325
2.529,6.586,6.143,5.33
2.367,8.145,6.665,5.331
2.614,9.643,6.271,5.334
1.704,10.069,5.292,5.35
-0.821,9.787,5.08,5.426
-0.373,8.759,5.768,5.428
-0.091,8.52,5.823,5.429
0.847,8.381,5.863,5.431
0.613,7.884,5.622,5.432
2.25,6.198,7.018,5.525
2.358,5.866,7.403,5.527
2.732,6.173,7.641,5.534
3.34,6.342,7.226,5.536
3.031,6.277,7.205,5.537
3.251,5.694,7.653,5.624
3.52,5.721,7.913,5.631
4.08,6.179,7.787,5.632
3.852,6.19,7.289,5.634
3.517,4.396,7.752,5.725
3.817,3.596,8.352,5.727
4.335,3.891,8.904,5.728
4.491,4.652,9.274,5.731
4.496,5.226,9.687,5.753
4.575,6.197,9.627,5.825
4.485,6.786,9.392,5.827
4.769,7.971,9.784,5.832
5.041,9.205,10.089,5.833
5.094,9.574,10.057,5.835
4.147,9.717,7.889,5.925
3.442,7.951,7.366,5.927
2.755,6.772,6.519,5.929
2.268,6.292,6.672,5.93
1.934,6.896,7.436,5.932
1.89,6.84,8.944,6.03
2.033,7.569,9.376,6.031
2.023,7.609,8.92,6.033
2.301,7.796,8.536,6.035
2.186,7.555,8.101,6.036
-0.092,9.029,6.598,6.125
-0.408,9.071,6.402,6.127
-0.363,8.77,6.316,6.132
-0.718,8.46,6.054,6.143
-0.659,8.035,5.715,6.145
-0.616,8.36,4.212,6.225
-0.568,7.88,3.676,6.227
-0.532,7.12,4.024,6.229
-0.224,6.74,4.168,6.23
0.116,6.64,4.288,6.232
0.472,6.68,4.396,6.324
0.52,6.6,4.36,6.326
0.54,6.8,4.22,6.328
0.608,6.92,4.044,6.329
0.736,7.04,3.948,6.331
0.645,6.964,4.545,6.424
0.696,7.034,4.496,6.426
0.845,6.964,4.345,6.427
1.136,6.891,4.336,6.429
1.379,7.03,4.379,6.431
0.806,7.948,5.106,6.525
