accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.22,-0.6,2.6,9.5
0.323,-0.8,2.6,9.4
0.608,1.4,3.9,6.9
0.798,-5.7,-1.7,6.5
1.005,-3.6,-14.6,-4.2
1.251,-2.9,-8.1,-5.2
1.342,-8.6,-5.5,-2.8
1.637,-4.6,-9.4,-7.2
1.82,-3.3,-2.9,0.1
2.022,-4.2,-5.7,5.4
2.226,-3.9,-8.0,5.8
2.422,-3.8,-6.4,6.5
2.622,-4.0,-5.5,6.2
2.825,-4.4,-5.7,6.1
3.027,-4.2,-6.7,6.1
3.224,-5.2,-6.0,5.6
3.423,-5.1,-9.9,-3.0
3.623,-3.1,-10.4,-1.8
3.827,-3.3,-8.4,-2.9
4.026,-3.1,-8.9,-3.0
4.231,-3.1,-9.2,-4.2
4.4,-3.6,-7.5,-0.6
4.639,-6.3,-3.5,2.5
4.848,-14.2,-4.7,-1.4
5.028,-10.5,-3.1,-0.9
5.225,-9.0,-2.9,0.1
5.427,-11.0,-0.3,-0.1
5.603,-9.4,-2.7,-1.8
5.801,-10.3,-2.6,-1.3
6.095,-9.8,-2.7,-0.5
6.32,-11.3,-5.9,-0.2
6.434,-5.4,-7.2,-2.1
6.63,-0.2,-7.7,0.8
6.826,-1.1,-11.5,3.2
7.029,1.0,-9.2,5.4
7.319,-0.8,-9.8,4.4
7.434,-1.9,-7.4,0.5
7.626,-0.2,-9.5,0.9
7.832,-1.1,-11.2,-0.2
8.035,10.2,-9.4,8.5
8.292,-1.8,-11.4,1.1
8.495,1.1,-7.1,2.4
8.72,6.5,-6.9,3.8
8.891,-4.7,-10.1,2.9
9.122,-4.9,-8.1,1.3
9.322,-4.3,-7.9,2.1
9.518,-6.3,-9.0,1.5
9.718,-4.7,-9.2,2.8
9.895,-5.4,-3.1,7.5
10.1,-3.7,2.3,9.1
10.363,-0.3,6.8,7.4
10.52,0.3,6.0,6.3
10.72,-0.5,6.5,7.2
10.92,-0.6,6.9,6.8
