vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
1.199,11.622,-0.574,0.0
1.986,10.503,-1.839,0.002
-2.046,8.474,-5.24,0.004
2.768,9.071,-1.201,0.006
1.177,9.176,-2.133,0.09
0.439,9.577,-1.879,0.092
0.712,9.74,-2.209,0.094
0.716,9.654,-2.612,0.095
0.897,9.465,-2.223,0.202
0.634,9.586,-2.351,0.203
0.635,9.464,-2.076,0.205
0.731,9.451,-1.973,0.211
0.867,9.593,-2.275,0.306
0.897,9.465,-2.223,0.308
0.909,9.505,-2.132,0.31
0.909,9.505,-2.132,0.315
0.951,9.539,-2.263,0.402
0.771,9.606,-2.378,0.404
0.563,9.679,-2.272,0.406
0.784,9.646,-2.288,0.409
0.989,9.538,-1.716,0.506
0.947,9.504,-1.586,0.508
0.906,9.47,-1.455,0.509
0.86,9.644,-1.195,0.511
-0.487,9.894,-1.315,0.602
-0.615,9.857,-1.266,0.604
-0.689,9.945,-1.396,0.606
-0.777,9.538,-1.311,0.607
0.535,9.564,-1.776,0.702
0.642,9.712,-1.857,0.704
0.63,9.672,-1.947,0.705
0.785,9.525,-2.013,0.718
0.689,9.538,-2.116,0.802
1.022,9.445,-2.341,0.804
1.088,9.56,-2.291,0.806
1.352,9.318,-1.889,0.807
1.299,9.822,-1.774,0.902
1.142,9.512,-2.057,0.903
1.023,9.324,-2.067,0.905
0.88,9.511,-1.91,0.911
0.863,9.679,-1.872,1.008
0.88,9.511,-1.91,1.009
1.018,9.532,-1.938,1.012
1.142,9.512,-2.057,1.013
1.13,9.472,-2.147,1.108
1.046,9.526,-2.16,1.11
1.1,9.6,-2.2,1.122
0.963,9.579,-2.172,1.125
0.785,9.525,-2.013,1.234
0.743,9.491,-1.882,1.236
0.839,9.477,-1.779,1.237
0.994,9.33,-1.845,1.239
1.045,9.647,-2.434,1.311
0.795,9.808,-2.471,1.313
0.659,9.666,-2.169,1.315
0.468,9.571,-2.101,1.316
0.589,9.638,-1.816,1.404
0.63,9.672,-1.947,1.405
0.66,9.544,-1.895,1.407
0.767,9.693,-1.975,1.409
0.813,9.519,-2.235,1.507
0.772,9.485,-2.104,1.519
0.843,9.391,-2.182,1.528
0.789,9.438,-2.416,1.53
0.671,9.706,-2.078,1.604
0.646,9.626,-2.26,1.605
0.593,9.552,-2.22,1.607
0.605,9.592,-2.129,1.609
0.689,9.538,-2.116,1.705
0.701,9.578,-2.026,1.707
0.742,9.612,-2.157,1.709
0.826,9.559,-2.144,1.71
0.689,9.538,-2.116,1.804
0.689,9.538,-2.116,1.805
0.689,9.538,-2.116,1.807
0.646,9.626,-2.26,1.808
0.689,9.538,-2.116,1.913
0.701,9.578,-2.026,1.916
