vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
5.536,-3.671,6.68,0.0
7.455,2.264,5.575,0.002
7.531,3.405,8.953,0.004
7.244,-0.785,5.721,0.007
7.318,1.714,7.19,0.105
6.973,0.378,6.465,0.107
6.867,0.533,6.533,0.112
7.383,1.106,6.914,0.114
6.847,1.265,6.665,0.201
6.725,1.439,6.973,0.203
6.755,1.692,7.425,0.205
6.463,1.62,7.286,0.206
6.227,1.396,6.963,0.305
6.239,1.737,6.904,0.307
6.175,2.061,6.727,0.309
5.878,2.075,6.408,0.31
4.757,1.549,5.516,0.437
4.322,1.525,5.292,0.439
3.69,1.916,5.049,0.44
2.89,2.016,4.449,0.442
-0.979,0.444,4.042,0.502
-1.937,0.385,3.027,0.503
-4.379,0.644,0.242,0.505
-6.243,-0.31,-5.231,0.507
4.869,-5.375,-8.733,0.602
2.51,-4.139,-6.433,0.603
2.569,-1.275,-8.233,0.605
6.971,-3.082,-14.0,0.607
8.624,-2.973,-6.453,0.709
6.397,-5.591,-9.811,0.711
17.356,-7.667,-19.847,0.713
39.563,-0.189,-10.889,0.726
24.498,-4.565,-13.998,0.801
7.862,-3.152,-5.762,0.803
4.215,-8.763,-9.115,0.805
2.557,-8.064,-9.257,0.808
2.52,-5.89,-5.627,0.901
1.355,-8.222,-4.482,0.903
1.951,-9.724,-3.616,0.905
2.949,-9.376,-4.484,0.911
3.292,-4.97,-7.47,1.001
3.551,-3.021,-7.521,1.003
5.321,-2.525,-7.625,1.005
3.166,-0.339,-9.739,1.006
3.657,-2.114,-6.371,1.102
4.2,-2.7,-6.6,1.103
5.665,-2.245,-7.567,1.116
6.327,-2.324,-7.937,1.118
4.107,-3.289,-7.689,1.201
2.951,-3.621,-7.421,1.203
3.741,-5.249,-6.249,1.206
3.9,-9.4,-3.2,1.208
3.027,-7.938,-2.933,1.31
4.1,-8.38,-1.84,1.312
4.773,-9.882,-3.327,1.313
4.745,-9.104,-6.775,1.315
2.453,-8.203,-3.903,1.413
3.461,-8.133,-5.733,1.414
2.6,-5.2,-8.8,1.417
2.899,-2.859,-9.759,1.419
3.3,-2.8,-9.0,1.503
3.415,-4.419,-8.119,1.515
3.491,-5.329,-7.429,1.517
3.848,-5.938,-6.938,1.519
1.906,-7.959,-4.694,1.603
1.68,-8.237,-4.586,1.605
1.667,-8.533,-4.267,1.606
1.543,-8.898,-3.89,1.608
2.464,-9.521,-0.919,1.707
2.474,-9.491,-0.372,1.708
2.466,-9.755,-0.23,1.71
2.481,-9.894,-0.204,1.712
0.331,-10.067,1.825,1.803
0.433,-10.033,1.733,1.805
0.61,-9.933,1.639,1.806
0.904,-10.133,0.916,1.808
0.584,-9.967,-0.463,1.913
0.584,-9.667,-0.463,1.916
0.551,-9.633,-0.596,1.917
0.667,-9.767,-0.733,1.92
1.368,-9.53,-0.777,2.003
1.487,-9.483,-0.838,2.011
1.709,-9.526,-0.93,2.013
1.898,-9.455,-0.834,2.014
1.674,-9.066,-0.475,2.109
1.711,-9.272,-0.396,2.111
1.696,-9.709,-0.768,2.112
1.56,-9.849,-0.813,2.114
1.542,-9.596,-0.653,2.203
1.726,-9.434,-0.825,2.209
1.777,-9.457,-0.908,2.21
1.711,-9.572,-0.796,2.212
2.284,-9.397,-0.057,2.303
2.336,-9.465,0.213,2.305
2.339,-9.601,0.252,2.311
2.275,-9.678,0.245,2.315
2.12,-9.662,0.056,2.404
2.201,-9.712,-0.12,2.407
2.261,-9.499,-0.152,2.409
2.325,-9.422,-0.145,2.411
2.213,-9.567,-0.383,2.503
2.109,-9.619,-0.302,2.505
2.014,-9.579,0.097,2.506
2.037,-9.477,0.193,2.508
2.037,-9.977,-0.007,2.608
2.014,-10.079,-0.103,2.61
2.235,-10.153,0.133,2.612
3.209,-9.219,0.998,2.629
1.615,-9.191,-4.623,2.707
2.6,-10.4,2.3,2.709
-0.939,-10.799,2.948,2.711
1.905,-8.86,0.299,2.712
1.971,-11.1,-1.618,2.803
1.257,-8.333,4.127,2.805
2.357,-9.833,5.127,2.811
2.312,-10.9,-2.253,2.813
1.988,-7.982,-4.212,2.902
1.404,-7.673,-4.263,2.904
1.404,-8.173,-4.163,2.91
1.239,-7.625,-5.227,3.001
1.606,-8.059,-5.394,3.011
1.184,-8.41,-5.049,3.012
0.686,-8.496,-4.18,3.024
1.251,-8.883,-3.186,3.101
1.305,-9.51,-2.952,3.105
1.082,-9.784,-2.181,3.106
1.375,-10.23,-1.348,3.108
0.76,-10.743,0.995,3.201
0.875,-10.278,0.494,3.204
0.66,-9.643,0.395,3.211
0.809,-9.499,0.084,3.212
0.491,-9.601,-0.084,3.301
2.064,-9.221,-1.019,3.305
1.651,-9.417,-1.055,3.306
1.234,-9.445,-0.57,3.308
1.589,-9.33,-0.547,3.401
2.1,-9.9,-0.8,3.405
1.543,-9.981,-0.913,3.417
0.76,-9.753,-0.398,3.42
0.249,-9.617,-1.714,3.503
0.472,-9.765,-2.376,3.506
0.296,-9.712,-2.538,3.508
0.358,-9.636,-2.519,3.509
0.687,-9.693,-2.833,3.601
0.894,-9.669,-2.557,3.61
0.823,-9.526,-2.371,3.612
0.679,-9.318,-2.21,3.614
1.4,-9.06,-1.58,3.7
1.482,-9.115,-1.562,3.704
1.573,-9.302,-1.433,3.705
1.664,-9.489,-1.304,3.707
1.9,-9.68,-0.74,3.801
1.991,-10.787,-1.171,3.815
1.982,-10.495,-1.902,3.817
1.7,-9.8,-2.4,3.819
1.373,-9.162,-3.413,3.901
0.891,-8.887,-0.971,3.906
1.473,-9.502,-1.033,3.908
2.691,-11.007,-1.131,3.911
2.918,-11.625,-1.258,4.026
3.555,-11.316,-3.195,4.034
6.709,-14.453,-3.149,4.035
8.336,-15.051,-2.916,4.037
5.817,-13.538,-4.597,4.102
2.983,-9.248,-6.219,4.105
3.682,-7.477,-4.586,4.107
2.676,-4.064,-5.787,4.109
2.15,-2.243,-6.858,4.114
0.52,0.811,-5.91,4.208
0.466,5.086,-7.151,4.211
-0.114,5.597,-9.661,4.212
-4.096,8.388,-14.795,4.3
-8.613,12.293,-4.267,4.304
-2.641,4.558,6.924,4.305
-12.096,2.888,19.305,4.307
-14.0,16.22,1.54,4.401
-26.0,15.26,25.82,4.404
-7.52,-8.144,62.192,4.406
-1.443,-1.866,49.131,4.412
2.881,-36.581,29.913,4.505
-4.706,-10.094,0.952,4.509
-5.746,-13.654,-0.905,4.51
-8.709,-10.201,1.925,4.607
-6.172,-8.552,1.612,4.621
1.795,-5.123,1.369,4.631
7.419,-1.053,8.637,4.633
17.12,-5.931,13.939,4.703
18.443,20.386,15.671,4.708
7.004,-22.306,33.488,4.712
4.584,13.702,-4.783,4.713
15.071,10.543,-2.086,4.801
3.788,-0.124,1.992,4.802
2.778,2.425,3.992,4.806
-0.184,5.145,-2.422,4.807
-1.538,3.582,-0.495,4.906
-3.316,-1.336,-1.669,4.908
7.864,5.464,7.591,4.911
19.598,8.518,16.915,4.913
5.873,-3.076,12.863,5.005
-0.863,-1.388,6.282,5.006
7.514,-2.429,9.443,5.01
5.492,-5.369,13.404,5.011
0.765,-12.039,15.139,5.101
9.674,-23.079,13.479,5.103
6.485,-14.019,2.759,5.108
6.489,-9.889,2.544,5.109
4.188,-7.361,0.235,5.201
2.161,-5.094,-2.973,5.203
3.616,-5.418,1.32,5.207
1.245,-3.149,1.861,5.212
0.095,-0.641,-1.296,5.301
0.519,0.204,-3.835,5.302
-1.124,-1.865,-5.101,5.306
3.076,-7.625,-1.921,5.324
2.994,-11.633,-0.964,5.392
-1.582,-15.733,-4.754,5.394
-5.928,-28.3,-12.169,5.401
-11.839,-18.537,-10.604,5.403
-4.881,-5.214,-5.946,5.5
-0.62,0.846,-2.862,5.502
-0.274,1.36,-7.59,5.51
0.445,-2.355,-8.236,5.602
1.76,-4.407,-8.223,5.604
1.909,-5.191,-8.627,5.605
0.108,-8.459,-4.835,5.609
-1.429,-10.963,-1.734,5.61
-1.104,-13.759,3.249,5.701
-3.253,-13.269,1.937,5.706
-1.927,-10.235,-2.182,5.72
-3.131,-10.494,-2.433,5.722
-2.318,-9.416,-2.98,5.804
-0.716,-8.637,-2.904,5.806
0.286,-9.957,-1.129,5.809
0.647,-10.269,-1.463,5.811
0.988,-10.278,-2.253,5.901
1.163,-10.333,-2.759,5.902
1.222,-9.824,-3.169,5.909
1.092,-9.418,-3.002,5.911
0.78,-9.096,-2.355,6.001
0.231,-9.006,-1.567,6.003
-0.48,-9.204,-0.745,6.007
-0.782,-9.484,-0.72,6.009
-0.91,-9.698,-1.078,6.101
-1.049,-9.81,-1.212,6.102
-0.7,-9.9,-1.2,6.116
-0.18,-9.804,-1.445,6.118
0.259,-9.792,-1.61,6.2
0.757,-9.871,-1.686,6.202
1.288,-9.878,-2.153,6.211
1.429,-9.886,-2.143,6.3
1.288,-9.878,-2.153,6.302
0.996,-9.759,-1.951,6.304
-1.034,-9.488,-0.891,6.307
-1.359,-9.383,-0.66,6.401
-1.568,-9.455,-0.358,6.402
-1.615,-9.401,-0.146,6.404
-1.859,-9.583,-0.06,6.407
-1.859,-9.583,-0.06,6.501
-1.868,-9.555,-0.258,6.502
-1.765,-9.69,-0.484,6.516
-1.48,-9.891,-1.03,6.52
-1.376,-10.027,-1.256,6.601
-1.182,-10.134,-1.28,6.604
-1.182,-10.134,-1.28,6.606
-1.101,-9.722,-1.225,6.612
-1.213,-9.558,-1.197,6.7
-1.403,-9.465,-1.074,6.702
-1.482,-9.534,-0.98,6.704
-1.69,-9.606,-0.677,6.711
-1.686,-9.62,-0.578,6.8
-1.69,-9.606,-0.677,6.802
-1.556,-9.618,-0.786,6.804
-1.301,-9.822,-0.725,6.807
-1.158,-9.861,-0.635,6.9
-1.167,-9.833,-0.833,6.913
-1.037,-9.831,-1.041,6.915
-1.054,-9.775,-1.437,6.927
0.386,-9.957,-1.529,7.005
0.22,-10.004,-1.245,7.007
-1.357,-9.74,-0.711,7.008
-1.572,-9.441,-0.457,7.012
-1.537,-9.331,-0.241,7.1
-1.671,-9.319,-0.132,7.101
-1.485,-9.399,-0.354,7.103
-1.213,-9.558,-1.197,7.106
0.227,-9.765,-2.118,7.2
0.363,-10.033,-2.259,7.202
0.567,-10.373,-2.408,7.204
0.737,-10.067,-2.541,7.207
