accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,-3.1,0.1,8.6
0.002,-3.8,1.0,9.0
0.004,-4.6,1.2,9.5
0.006,-4.2,0.9,9.6
0.127,-2.1,0.8,9.2
0.129,-3.7,0.4,8.3
0.13,-2.7,0.3,8.6
0.132,-4.2,0.5,9.2
0.134,-3.5,1.1,9.4
0.203,-2.8,1.0,9.2
0.205,-3.2,1.1,8.8
0.207,-2.3,0.9,8.6
0.213,-2.8,1.1,8.9
0.215,-2.4,0.9,9.0
0.216,-2.4,0.8,9.0
0.326,-2.2,0.8,8.6
0.328,-2.1,1.1,8.4
0.329,-2.0,1.8,8.5
0.331,-2.2,2.8,7.8
0.43,-3.3,2.6,7.3
0.438,-4.5,1.0,6.2
0.439,-5.2,0.0,5.1
0.441,-5.8,-0.4,4.0
0.442,-7.4,-2.1,2.6
0.444,-7.6,-3.8,2.6
0.55,-8.5,-4.3,2.3
0.552,-9.2,-4.7,1.4
0.553,-8.7,-5.6,0.9
0.555,-8.4,-5.1,0.9
0.557,-9.2,-4.9,1.8
0.627,-10.3,-4.6,1.4
0.629,-9.8,-4.6,0.7
0.63,-10.0,-4.7,0.7
0.632,-12.0,-4.5,2.6
0.634,-14.6,-5.3,3.2
0.703,-15.4,-4.0,3.4
0.704,-16.5,-5.6,3.5
0.706,-18.7,-9.3,5.2
0.718,-19.5,-9.7,9.9
0.728,-15.6,-10.5,8.7
0.825,-10.2,-7.6,7.4
0.827,-6.9,-5.2,8.2
0.828,-4.9,-7.4,6.8
0.904,-4.3,-10.5,4.5
0.905,-4.2,-11.4,3.9
0.907,-2.7,-9.9,3.7
0.909,-1.4,-10.1,3.4
0.91,-1.0,-11.3,3.9
0.912,-2.3,-10.4,7.3
1.025,-4.7,-10.7,8.5
1.027,-7.2,-10.9,7.5
1.029,-11.3,-11.6,7.2
1.031,-16.4,-14.0,4.9
1.128,-19.0,-17.3,2.9
1.13,-22.5,-14.6,2.5
1.132,-25.5,-9.8,1.5
1.133,-21.9,-5.0,-0.2
1.153,-14.3,0.8,-1.5
1.155,-7.1,5.7,-4.2
1.23,-4.8,1.7,-3.9
1.232,-6.1,2.8,-4.9
1.238,-6.3,8.4,-6.1
1.24,-3.4,9.8,-6.3
1.241,-3.2,7.5,-6.2
1.327,-4.5,6.3,-5.5
1.329,-5.2,5.8,-2.6
1.33,-6.8,0.7,2.9
1.332,-11.1,-6.5,6.3
1.333,-18.7,-5.6,7.8
1.427,-24.6,-9.1,3.8
1.433,-30.1,-5.2,11.2
1.435,-27.1,-0.9,16.5
1.436,-21.1,2.4,15.9
1.438,-16.0,-6.1,11.6
1.527,-11.0,-11.3,7.4
1.528,-4.6,-11.0,7.2
1.54,2.5,-9.2,8.8
1.542,7.6,-10.3,7.1
1.551,11.8,-14.9,5.3
1.602,16.0,-16.4,5.2
1.604,15.1,-15.0,5.2
1.605,7.6,-11.5,6.6
1.614,-0.0,-12.9,8.7
1.616,-7.2,-16.2,9.1
1.725,-15.2,-16.4,11.2
1.726,-32.3,-8.5,14.5
1.728,-38.7,-7.1,8.1
1.739,-34.4,-5.4,6.6
1.828,-15.5,-2.4,3.6
1.834,-11.8,-1.0,-1.0
1.836,-8.6,7.4,-1.9
1.838,-2.5,6.1,0.9
1.839,-2.3,6.1,0.5
1.841,-2.6,12.1,-2.9
1.927,-3.2,12.7,-10.7
1.946,-5.5,9.6,-14.1
1.948,-7.6,6.9,-11.3
1.95,-9.2,5.4,-6.6
1.953,-12.7,2.7,-2.0
2.027,-17.0,-3.2,2.5
2.028,-21.9,-9.1,10.7
2.03,-30.3,-9.2,14.9
2.032,-25.0,-11.8,17.4
2.033,-19.3,-13.4,14.2
2.126,-15.6,-12.0,6.0
2.13,-11.5,-11.5,4.3
2.133,-7.2,-13.9,6.7
2.134,-3.9,-16.0,7.6
2.14,2.2,-16.1,7.6
2.227,11.7,-13.3,6.3
2.232,15.9,-13.5,5.9
2.234,13.4,-12.6,7.1
2.236,9.2,-10.3,7.7
2.238,4.5,-9.6,7.6
2.332,-0.1,-10.6,7.0
2.334,-3.4,-12.6,6.8
2.336,-6.8,-16.0,8.5
2.343,-13.3,-16.8,13.7
2.345,-29.7,-11.9,16.5
