accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.106,-2.2,1.3,9.6
0.34,-2.0,1.2,9.5
0.521,-2.3,0.7,9.2
0.736,-1.3,-2.2,8.8
0.947,-2.2,-4.4,8.8
1.199,-3.5,-5.0,7.0
1.4,-7.3,-5.6,4.6
1.624,-9.4,-4.6,0.4
1.74,-10.7,-3.6,0.0
1.934,-10.1,-1.4,2.0
2.135,-9.7,-2.3,0.5
2.334,-9.9,-1.7,0.8
2.624,-9.4,-2.4,1.9
2.737,-9.3,-2.9,1.7
2.936,-9.3,-2.8,1.9
3.134,-9.3,-2.6,1.6
3.397,-9.4,-2.9,1.9
3.6,-9.4,-3.2,1.8
3.804,-9.2,-3.1,1.8
4.001,-9.2,-3.3,1.7
4.237,-9.3,-3.5,1.8
4.424,-8.7,-3.8,1.5
4.623,-8.6,-3.8,1.5
4.823,-8.5,-4.1,1.4
5.025,-8.6,-4.1,1.5
5.23,-9.0,-3.5,0.6
5.404,-9.5,-2.9,0.8
5.628,-10.5,-2.4,0.6
5.838,-10.2,-1.9,1.6
6.026,-9.3,-1.2,1.5
6.224,-10.8,-0.1,0.9
6.406,-8.3,-1.4,1.3
6.61,-6.7,3.1,-2.5
6.803,3.2,12.7,-0.3
7.028,1.3,-4.2,-5.4
7.205,5.4,-4.5,5.5
7.427,1.4,0.9,0.1
7.626,1.7,-21.7,-1.8
7.857,2.9,-6.0,-0.7
8.035,1.7,-7.9,-0.0
8.229,1.5,-10.8,0.0
8.434,1.7,-10.0,0.3
8.604,1.8,-9.8,-0.3
8.829,1.6,-9.6,-0.3
9.054,1.7,-9.6,-0.3
9.283,1.7,-9.5,-0.2
9.427,1.6,-9.6,-0.1
9.627,1.7,-9.5,-0.3
9.923,1.7,-9.7,-0.2
10.036,1.7,-9.6,-0.2
10.235,1.6,-9.7,-0.3
10.431,1.8,-9.6,-0.2
10.632,1.7,-9.6,-0.2
10.83,1.8,-9.6,-0.2
11.039,1.7,-9.6,-0.2
11.232,1.8,-9.6,-0.2
11.522,3.2,-18.3,3.2
11.722,-0.3,5.1,-1.5
11.921,-0.9,8.3,-6.0
12.135,2.5,7.1,-7.0
12.298,0.3,11.4,-4.6
12.503,3.3,6.7,-6.4
12.715,2.9,6.6,-6.0
