orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.114,0.0,0.3,0.0,-1.0
0.355,0.0,0.3,0.0,-1.0
0.532,0.0,0.3,0.0,-1.0
0.728,0.0,0.3,0.0,-1.0
0.918,0.0,0.3,0.0,-1.0
1.199,0.0,0.3,0.1,-1.0
1.397,0.0,0.3,0.1,-1.0
1.598,0.0,0.3,0.1,-1.0
1.796,-0.0,0.3,0.2,-0.9
1.999,-0.0,0.3,0.3,-0.9
2.2,-0.0,0.3,0.3,-0.9
2.399,0.0,0.4,0.4,-0.8
2.614,0.2,0.4,0.5,-0.8
2.799,0.2,0.4,0.5,-0.7
3.024,0.2,0.5,0.5,-0.7
3.203,0.2,0.5,0.5,-0.7
3.41,0.2,0.5,0.5,-0.7
3.603,0.3,0.4,0.5,-0.7
3.821,0.3,0.3,0.5,-0.7
3.999,0.2,0.1,0.6,-0.8
4.223,0.2,0.2,0.3,-0.9
4.398,0.1,0.2,0.2,-0.9
4.625,-0.0,0.3,0.1,-0.9
4.805,-0.0,0.3,0.1,-0.9
5.007,-0.0,0.3,0.1,-0.9
5.198,-0.0,0.3,0.1,-0.9
5.431,-0.0,0.3,0.1,-0.9
5.609,-0.0,0.3,0.1,-0.9
5.809,-0.0,0.3,0.1,-0.9
6.003,-0.0,0.3,0.1,-0.9
6.206,-0.0,0.3,0.1,-0.9
6.433,-0.0,0.3,0.1,-0.9
6.606,-0.0,0.3,0.1,-0.9
6.808,-0.0,0.3,0.1,-0.9
7.005,-0.0,0.3,0.1,-0.9
7.207,-0.0,0.3,0.1,-1.0
7.447,-0.0,0.3,0.1,-1.0
7.654,-0.0,0.3,0.1,-1.0
7.814,-0.0,0.3,0.1,-1.0
8.037,-0.0,0.3,0.1,-1.0
8.218,-0.0,0.3,0.1,-1.0
8.434,-0.0,0.3,0.1,-1.0
