orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.138,-0.9,-0.0,-0.1,0.4
0.37,-0.9,0.1,-0.1,0.3
0.526,-1.0,0.1,-0.1,0.3
0.766,-0.9,0.2,-0.2,0.2
1.017,-0.9,0.2,-0.2,0.2
1.211,-0.9,0.2,-0.2,0.2
1.412,-0.9,0.2,-0.2,0.2
1.609,-1.0,0.2,-0.1,0.2
1.812,-0.9,0.3,-0.2,0.1
2.017,-0.8,0.5,-0.2,-0.1
2.215,-0.7,0.6,-0.3,-0.2
2.415,-0.6,0.6,-0.5,-0.2
2.633,-0.6,0.5,-0.6,-0.3
2.819,-0.6,0.5,-0.6,-0.3
3.046,-0.5,0.4,-0.7,-0.3
3.214,-0.5,0.2,-0.8,-0.3
3.431,-0.5,0.2,-0.8,-0.3
3.615,-0.5,0.3,-0.7,-0.5
3.835,-0.8,0.4,-0.4,-0.2
4.015,-0.9,0.3,-0.1,0.2
4.243,-1.0,0.1,-0.2,0.2
4.423,-1.0,0.1,-0.2,0.1
4.703,-1.0,0.1,-0.2,0.1
4.826,-1.0,0.1,-0.2,0.1
5.057,-1.0,0.1,-0.2,0.1
5.217,-1.0,0.1,-0.2,0.1
5.451,-1.0,0.1,-0.2,0.1
5.653,-1.0,0.1,-0.2,0.1
5.831,-1.0,0.1,-0.2,0.1
6.035,-1.0,0.1,-0.2,0.1
6.231,-1.0,0.1,-0.2,0.1
6.421,-1.0,0.1,-0.2,0.1
6.652,-1.0,0.1,-0.2,0.1
6.823,-1.0,0.1,-0.2,0.1
7.027,-1.0,0.1,-0.2,0.1
7.225,-1.0,0.1,-0.2,0.1
7.431,-1.0,0.0,-0.2,0.2
7.669,-1.0,-0.1,-0.1,0.3
7.826,-0.9,-0.1,-0.1,0.4
8.065,-0.9,-0.1,-0.0,0.4
8.228,-0.9,-0.1,0.0,0.5
8.471,-0.9,-0.1,0.1,0.5
8.633,-0.8,-0.1,0.1,0.5
8.859,-0.8,-0.2,0.1,0.5
9.11,-0.9,-0.2,0.1,0.5
9.312,-0.8,-0.1,0.1,0.5
9.509,-0.8,-0.1,0.1,0.5
9.713,-0.8,-0.2,0.1,0.5
9.905,-0.8,-0.1,0.1,0.5
10.119,-0.8,-0.2,0.1,0.5
10.341,-0.8,-0.2,0.0,0.5
10.511,-0.8,-0.2,0.1,0.5
10.733,-0.8,-0.2,0.1,0.5
10.914,-0.9,-0.2,0.0,0.5
11.142,-0.9,-0.2,-0.0,0.5
11.321,-0.8,-0.1,0.1,0.5
11.534,-0.8,-0.1,0.1,0.5
11.735,-0.8,-0.1,0.1,0.5
