gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.002,-0.1,0.2,-0.2
0.007,-0.2,-0.4,0.0
0.105,-0.0,0.1,0.1
0.108,-0.1,-0.1,-0.1
0.111,-0.1,-0.1,-0.0
0.174,0.0,0.0,0.0
0.177,-0.0,-0.0,-0.0
0.308,-0.1,-0.0,0.0
0.314,-0.2,-0.0,-0.0
0.376,-0.3,0.0,0.0
0.379,-0.6,0.0,0.1
0.382,-1.2,-0.1,0.1
0.493,-2.2,-0.1,0.1
0.496,-3.0,0.0,0.2
0.604,-3.4,0.4,0.4
0.607,-2.8,0.8,0.9
0.611,-2.2,1.0,1.2
0.722,-2.4,1.1,1.3
0.725,-2.2,0.9,1.2
0.743,-2.1,0.7,1.1
0.801,-1.8,0.6,0.8
0.805,-1.6,0.5,0.5
0.903,-1.6,0.5,0.2
0.906,-1.2,0.3,0.1
0.909,-0.7,-0.2,0.2
1.017,-0.7,-1.3,0.4
1.02,-0.3,-2.8,0.9
1.115,-0.2,-5.4,0.4
1.129,2.5,-4.0,-1.2
1.14,3.3,-3.6,-2.6
1.205,1.9,-4.3,-3.3
1.208,-0.7,-3.9,-3.6
1.297,-3.0,-2.2,-3.6
1.301,-1.3,0.0,-2.9
1.31,0.5,1.2,-2.1
1.398,1.3,0.8,-0.9
1.402,1.3,-0.5,-0.9
1.511,-0.5,-1.8,-1.3
1.532,-1.2,-2.6,-1.4
1.597,0.5,-1.8,-1.4
1.6,1.6,-0.7,-0.7
1.605,2.2,0.9,0.2
1.707,5.3,1.7,-0.0
1.711,3.9,0.9,0.7
1.797,2.8,0.5,2.5
1.804,2.2,1.6,4.0
1.808,0.5,0.4,3.8
1.931,0.6,1.4,3.1
1.934,-1.2,1.0,1.1
2.008,2.6,-0.9,-0.5
2.011,-1.0,-2.3,-0.6
2.014,-4.3,-4.3,-1.8
2.098,-6.0,-4.4,-4.7
2.102,-4.1,-2.0,-7.3
2.206,-3.4,-0.2,-7.2
2.211,-3.2,0.7,-6.0
2.215,-6.7,1.2,-5.7
2.298,-6.9,1.1,-5.5
2.307,-5.8,1.7,-0.6
2.399,-8.0,-2.3,1.4
2.407,-8.3,0.8,2.7
2.41,-3.2,-2.5,2.8
2.498,-1.1,-0.8,1.8
2.502,-1.6,-2.4,0.7
2.612,-2.1,-1.8,0.2
2.615,-1.2,-0.9,0.6
2.627,-0.9,0.2,2.1
2.702,-1.9,2.7,2.0
2.705,0.2,1.6,1.2
2.801,1.5,1.5,0.1
2.804,0.9,1.1,-0.7
2.809,0.8,1.0,-1.0
2.904,0.9,1.9,-0.8
2.907,1.3,2.2,-0.9
3.014,1.5,0.9,-1.4
3.018,1.5,0.6,-1.5
3.035,1.4,0.5,-1.2
3.102,1.4,0.5,-1.0
3.105,1.4,0.5,-0.9
3.199,1.4,0.3,-0.8
3.202,2.1,0.1,-0.7
3.31,2.3,0.2,-0.6
3.313,1.7,-0.1,-0.5
3.317,1.0,-0.1,-0.4
3.408,0.5,-0.3,-0.3
3.421,0.5,-0.3,-0.2
3.505,0.3,-0.2,-0.1
3.509,0.5,-0.1,-0.0
3.512,0.4,-0.0,0.1
3.596,0.2,0.0,0.1
3.6,0.2,-0.0,0.1
3.676,0.2,0.1,0.1
3.68,0.3,0.2,0.1
