accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,-0.8,3.2,8.8
0.006,-0.7,3.5,8.8
0.007,-2.3,3.7,9.5
0.009,-1.0,3.6,9.3
0.104,-0.9,3.9,9.2
0.105,-1.4,3.5,9.2
0.107,-1.3,3.3,9.1
0.109,-0.7,3.4,9.1
0.229,-0.8,4.1,8.4
0.235,-1.2,3.3,8.2
0.237,-2.7,3.2,8.4
0.238,-1.0,3.2,8.2
0.347,-2.0,4.4,6.5
0.349,-1.8,3.7,5.5
0.351,-2.5,3.5,5.2
0.352,-2.7,1.7,5.2
0.503,-2.8,-1.1,4.8
0.504,-3.2,-1.8,4.7
0.506,-3.4,-2.2,5.6
0.507,-4.2,-2.8,7.7
0.543,-4.6,-1.9,8.8
0.545,-5.8,-2.3,8.7
0.547,-7.1,-2.6,7.9
0.551,-7.9,-3.8,5.8
0.626,-7.7,-3.0,5.1
0.628,-7.9,-2.7,4.6
0.629,-8.2,-2.8,3.8
0.631,-9.0,-2.4,3.9
0.73,-12.1,-3.5,2.6
0.732,-12.8,-4.6,2.7
0.733,-13.2,-5.0,3.3
0.743,-13.9,-5.0,3.3
0.827,-13.1,-4.2,3.9
0.829,-11.9,-2.5,4.8
0.83,-11.3,-1.1,4.4
0.832,-10.9,-0.9,4.0
0.927,-10.2,-1.0,3.6
0.929,-9.4,-1.5,3.0
0.93,-8.7,-2.3,2.5
0.932,-8.5,-3.0,2.6
1.001,-9.0,-3.2,3.2
1.008,-9.0,-3.3,3.3
1.01,-9.4,-3.4,3.9
1.011,-10.3,-2.7,4.2
1.128,-9.9,-2.1,4.0
1.133,-9.9,-2.5,4.2
1.143,-10.4,-2.3,3.8
1.232,-10.3,-2.5,2.7
1.236,-10.4,-3.1,1.6
1.237,-10.1,-2.8,1.7
1.239,-9.9,-1.9,1.8
1.241,-9.5,-1.5,1.7
1.336,-8.9,-1.5,2.4
1.338,-9.0,-1.5,2.5
1.34,-8.6,-1.7,2.4
1.342,-8.3,-1.8,2.9
1.434,-8.3,-1.6,2.5
1.435,-7.8,-1.6,2.3
1.437,-7.9,-1.6,2.5
1.439,-8.2,-1.5,2.7
1.529,-8.3,-1.2,2.7
1.538,-8.3,-1.2,2.8
1.548,-8.5,-1.1,2.8
1.549,-8.6,-1.0,3.2
1.629,-8.8,-0.9,3.0
1.63,-8.9,-1.1,2.8
1.632,-9.1,-1.3,3.1
1.634,-9.4,-1.2,3.1
1.704,-10.0,-2.4,1.5
1.709,-10.2,-2.8,2.6
1.711,-10.3,-2.6,3.7
1.712,-10.3,-1.7,3.0
1.827,-8.8,-1.5,2.8
1.828,-9.3,-1.7,3.0
1.83,-9.8,-2.1,2.7
1.928,-9.9,-2.2,2.9
1.94,-10.1,-2.4,3.2
1.941,-10.2,-2.1,3.3
1.943,-10.0,-2.2,3.2
1.945,-9.7,-2.6,3.2
2.029,-9.6,-2.8,2.5
2.04,-9.2,-3.4,2.2
2.042,-9.0,-3.3,2.5
2.044,-9.2,-2.8,2.7
2.131,-9.2,-2.5,2.6
2.133,-9.2,-2.3,2.7
2.139,-9.5,-2.2,2.6
2.141,-9.7,-2.1,2.5
2.233,-9.9,-1.6,2.7
2.234,-10.2,-1.1,2.6
