vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
2.171,2.926,8.663,0.0
2.376,3.165,8.632,0.006
1.138,3.932,9.616,0.007
2.238,3.352,9.176,0.009
2.424,3.595,9.048,0.104
1.819,3.416,9.158,0.105
1.814,3.197,9.049,0.107
2.395,3.061,8.93,0.109
2.438,3.772,8.236,0.229
1.733,3.193,8.147,0.235
0.376,3.665,8.632,0.237
1.876,3.025,8.112,0.238
1.105,4.579,6.59,0.347
0.829,3.894,5.597,0.349
0.062,3.988,5.444,0.351
-0.805,2.401,5.55,0.352
0.284,-3.681,4.297,0.503
0.116,-4.419,4.003,0.504
0.497,-5.116,4.619,0.506
1.009,-6.624,6.315,0.507
0.927,-6.399,7.772,0.543
0.006,-7.268,7.861,0.545
-1.358,-7.89,7.448,0.547
-2.653,-8.63,5.383,0.551
-0.733,-8.833,3.967,0.626
-1.3,-8.6,3.9,0.628
-2.0,-8.6,3.4,0.629
-2.6,-8.9,4.0,0.631
-3.024,-12.498,0.272,0.73
-2.895,-13.552,-0.49,0.732
-2.495,-14.272,-0.45,0.733
-2.862,-14.859,-0.344,0.743
1.173,-14.175,-1.473,0.827
2.324,-12.865,-0.024,0.829
2.076,-11.935,1.224,0.83
1.767,-11.433,1.333,0.832
2.442,-10.582,-0.224,0.927
1.873,-9.775,-0.747,0.929
1.359,-9.107,-1.566,0.93
1.401,-8.989,-2.29,0.932
1.435,-8.647,-4.965,1.001
1.535,-8.647,-5.065,1.008
2.047,-9.129,-5.253,1.01
2.151,-10.19,-4.749,1.011
2.022,-9.884,-4.078,1.128
2.225,-9.845,-4.475,1.133
1.731,-10.286,-4.369,1.143
0.02,-10.41,-3.357,1.232
-0.995,-10.146,-4.05,1.236
-0.849,-9.912,-3.712,1.237
-0.794,-9.82,-2.791,1.239
-0.822,-9.442,-2.36,1.241
-0.696,-9.241,-1.159,1.336
-0.648,-9.37,-1.13,1.338
-0.511,-8.978,-1.322,1.34
0.063,-8.893,-1.207,1.342
-0.352,-8.73,-1.17,1.434
-0.337,-8.193,-1.207,1.435
-0.204,-8.359,-1.141,1.437
-0.181,-8.704,-0.996,1.439
0.195,-8.796,0.462,1.529
0.278,-8.822,0.511,1.538
0.169,-8.995,0.602,1.548
0.422,-9.178,0.889,1.549
-1.124,-9.149,1.511,1.629
-1.262,-9.224,1.256,1.63
-1.033,-9.567,1.233,1.632
-1.202,-9.804,1.356,1.634
-0.861,-10.27,-1.343,1.704
0.2,-10.8,-1.4,1.709
1.133,-11.157,-0.888,1.711
0.253,-10.857,-0.228,1.712
0.034,-9.347,-0.396,1.827
0.085,-9.904,-0.527,1.828
-0.32,-10.334,-0.915,1.83
1.276,-10.318,-1.782,1.928
1.565,-10.576,-1.924,1.94
1.582,-10.688,-1.612,1.941
1.545,-10.475,-1.725,1.943
1.682,-10.188,-2.112,1.945
1.069,-9.957,-2.443,2.029
0.976,-9.518,-3.082,2.04
1.284,-9.378,-2.922,2.042
2.068,-9.119,-3.513,2.044
1.936,-9.137,-3.226,2.131
2.013,-9.168,-3.019,2.133
1.874,-9.464,-2.963,2.139
0.912,-10.041,-1.759,2.141
0.967,-10.267,-1.233,2.233
0.714,-10.531,-0.769,2.234
0.441,-10.694,-0.106,2.236
-0.1,-10.6,0.6,2.238
-0.553,-8.665,0.165,2.331
-0.071,-8.553,-0.047,2.332
0.102,-8.89,-0.21,2.334
-0.053,-9.265,-0.335,2.336
1.64,-8.3,-0.02,2.412
2.419,-8.537,-1.357,2.414
1.027,-9.242,-2.282,2.415
0.365,-8.616,-2.996,2.423
0.735,-8.284,-3.804,2.502
0.712,-9.041,-3.859,2.504
1.902,-10.09,-4.11,2.627
2.19,-11.249,-5.151,2.633
2.753,-10.635,-5.765,2.636
4.084,-10.078,-6.122,2.638
4.667,-9.567,-6.933,2.729
4.878,-9.508,-6.892,2.739
3.898,-8.91,-6.59,2.742
2.975,-8.927,-6.673,2.744
2.414,-9.431,-6.469,2.745
2.661,-9.796,-6.004,2.827
2.578,-9.908,-4.692,2.833
2.347,-9.765,-4.435,2.835
1.304,-9.941,-3.759,2.837
2.027,-10.082,-1.873,2.902
1.285,-8.888,-1.815,2.905
1.037,-8.49,-1.796,2.907
0.949,-8.56,-1.484,2.909
-0.109,-8.981,-0.525,3.025
-1.951,-10.528,0.118,3.033
-2.723,-10.13,0.856,3.035
-3.324,-7.738,2.452,3.103
-2.829,-7.066,2.603,3.105
-3.314,-7.943,2.671,3.112
-2.986,-7.437,1.989,3.113
-2.948,-6.576,1.605,3.115
-2.971,-7.242,1.278,3.225
-4.084,-9.369,1.411,3.228
-2.04,-10.068,0.093,3.23
-1.819,-9.196,-1.504,3.328
-1.156,-8.889,-1.911,3.33
-1.541,-9.952,-1.548,3.337
-1.933,-10.233,-1.467,3.338
-1.693,-10.481,-0.919,3.34
2.8,-10.9,-0.9,3.427
3.1,-12.8,-2.4,3.43
3.8,-13.8,-2.9,3.453
4.0,-14.0,-6.0,3.455
3.582,-11.182,-7.176,3.526
5.322,-9.722,-5.984,3.532
6.07,-9.208,-8.055,3.534
6.155,-10.111,-8.132,3.536
6.47,-11.408,-8.155,3.627
3.915,-12.496,-8.323,3.636
3.455,-9.811,-7.232,3.638
2.847,-10.013,-7.221,3.639
1.52,-12.42,-6.904,3.727
1.102,-12.702,-6.98,3.73
1.737,-13.637,-5.427,3.732
1.522,-14.922,-4.084,3.733
0.496,-14.936,1.64,3.802
0.449,-13.314,0.565,3.813
0.606,-12.837,0.431,3.82
-0.108,-12.081,0.189,3.821
-4.571,-9.738,-1.083,3.925
