orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.002,0.1,0.0,0.1,1.0
0.011,0.1,0.0,0.1,1.0
0.12,0.1,0.0,0.1,1.0
0.125,0.1,0.0,0.1,1.0
0.233,0.1,0.0,0.1,1.0
0.242,0.1,0.0,0.1,1.0
0.252,0.1,0.0,0.1,1.0
0.351,0.1,0.0,0.1,1.0
0.375,0.1,0.0,0.1,1.0
0.427,0.1,0.0,0.1,1.0
0.436,0.1,0.0,0.1,1.0
0.441,0.1,0.0,0.1,1.0
0.527,0.1,0.0,0.1,1.0
0.532,0.0,0.0,0.1,1.0
0.626,0.0,0.0,0.1,1.0
0.635,0.0,0.0,0.1,1.0
0.654,0.0,0.0,0.1,1.0
0.747,0.0,0.0,0.1,1.0
0.756,0.0,-0.0,0.1,1.0
0.823,0.0,-0.0,0.1,1.0
0.834,-0.0,-0.0,-0.0,1.0
0.839,-0.0,-0.1,-0.1,1.0
0.93,-0.1,-0.1,-0.2,1.0
0.939,-0.1,-0.1,-0.2,1.0
1.023,-0.2,-0.2,-0.3,0.9
1.032,-0.3,-0.3,-0.3,0.9
1.037,-0.3,-0.4,-0.4,0.8
1.18,-0.4,-0.4,-0.5,0.6
1.185,-0.5,-0.5,-0.5,0.5
1.223,-0.5,-0.5,-0.5,0.5
1.228,-0.6,-0.5,-0.5,0.4
1.233,-0.6,-0.4,-0.6,0.4
1.327,-0.6,-0.3,-0.6,0.4
1.332,-0.6,-0.2,-0.7,0.3
1.437,-0.7,-0.2,-0.7,0.2
1.444,-0.7,-0.2,-0.7,0.2
1.453,-0.7,-0.2,-0.7,0.3
1.551,-0.6,-0.2,-0.7,0.3
1.555,-0.6,-0.2,-0.7,0.3
1.619,-0.6,-0.2,-0.7,0.3
1.637,-0.6,-0.2,-0.7,0.4
1.652,-0.6,-0.2,-0.7,0.4
1.728,-0.5,-0.2,-0.7,0.4
1.738,-0.5,-0.2,-0.7,0.5
1.822,-0.6,-0.2,-0.7,0.4
1.862,-0.6,-0.3,-0.7,0.4
1.948,-0.6,-0.3,-0.7,0.4
1.953,-0.6,-0.3,-0.6,0.4
1.964,-0.6,-0.3,-0.6,0.4
2.032,-0.6,-0.3,-0.6,0.4
2.037,-0.6,-0.3,-0.6,0.4
2.126,-0.6,-0.3,-0.6,0.4
2.135,-0.6,-0.4,-0.6,0.4
2.14,-0.6,-0.4,-0.6,0.4
2.241,-0.6,-0.4,-0.6,0.4
2.246,-0.6,-0.4,-0.6,0.4
2.339,-0.6,-0.4,-0.6,0.4
2.348,-0.6,-0.4,-0.6,0.4
2.357,-0.6,-0.4,-0.6,0.4
2.432,-0.6,-0.4,-0.6,0.4
2.437,-0.6,-0.4,-0.6,0.4
2.528,-0.6,-0.4,-0.6,0.4
2.534,-0.6,-0.3,-0.6,0.3
2.543,-0.6,-0.3,-0.6,0.3
2.656,-0.6,-0.3,-0.6,0.3
2.661,-0.6,-0.3,-0.6,0.3
2.717,-0.6,-0.4,-0.6,0.3
2.727,-0.6,-0.4,-0.6,0.3
2.735,-0.6,-0.4,-0.6,0.3
2.862,-0.6,-0.4,-0.6,0.3
2.871,-0.6,-0.4,-0.6,0.3
2.926,-0.6,-0.4,-0.6,0.3
2.943,-0.6,-0.4,-0.6,0.3
2.948,-0.6,-0.4,-0.6,0.4
3.049,-0.6,-0.4,-0.6,0.4
3.054,-0.6,-0.4,-0.6,0.4
3.125,-0.6,-0.4,-0.6,0.4
3.134,-0.6,-0.4,-0.6,0.4
3.138,-0.6,-0.4,-0.6,0.4
3.233,-0.6,-0.4,-0.6,0.4
3.252,-0.6,-0.4,-0.6,0.4
