orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.14,-0.6,-0.1,-0.1,-0.8
0.365,-0.6,-0.1,-0.1,-0.8
0.608,-0.5,-0.1,-0.1,-0.8
0.827,-0.5,-0.1,-0.1,-0.9
1.008,-0.3,0.1,0.3,-0.9
1.201,0.1,0.4,0.4,-0.8
1.41,0.3,0.6,0.2,-0.7
1.608,0.3,0.6,0.2,-0.7
1.808,0.1,0.5,0.3,-0.8
2.018,0.0,0.5,0.3,-0.8
2.217,0.2,0.4,0.4,-0.8
2.416,0.2,0.5,0.2,-0.8
2.63,0.3,0.6,0.3,-0.7
2.811,0.0,0.6,0.1,-0.8
3.046,0.0,0.4,0.2,-0.9
3.21,0.1,0.4,0.3,-0.9
3.428,0.2,0.5,0.3,-0.8
3.612,0.3,0.5,0.3,-0.8
3.872,-0.0,0.4,0.2,-0.9
4.018,-0.5,0.2,0.0,-0.8
4.24,-0.6,0.3,-0.2,-0.7
4.419,-0.5,0.5,0.7,-0.3
4.637,-0.1,0.5,0.9,0.1
4.82,-0.4,0.4,0.8,-0.1
5.02,0.1,0.4,0.9,0.1
5.222,-0.0,0.4,0.9,0.0
5.416,-0.1,0.5,0.9,-0.1
5.622,-0.0,0.5,0.9,-0.0
5.862,-0.0,0.4,0.9,0.0
6.026,-0.0,0.4,0.9,0.0
6.222,-0.0,0.4,0.9,0.0
6.409,-0.0,0.4,0.9,0.0
6.619,-0.0,0.4,0.9,0.0
6.847,-0.0,0.4,0.9,0.0
7.012,-0.0,0.4,0.9,0.0
7.223,-0.0,0.4,0.9,0.0
7.428,-0.0,0.4,0.9,0.0
7.65,-0.1,0.4,0.9,-0.0
7.85,-0.0,0.4,0.9,0.0
8.049,-0.0,0.4,0.9,0.0
8.234,-0.0,0.4,0.9,0.0
8.459,-0.1,0.4,0.9,0.0
8.63,-0.4,-0.0,0.9,-0.2
8.942,-0.5,-0.3,0.8,-0.1
9.108,-0.5,-0.4,0.8,-0.1
9.305,-0.5,-0.3,0.8,-0.0
9.508,-0.5,-0.4,0.8,-0.1
9.705,-0.5,-0.4,0.8,-0.1
9.913,-0.5,-0.4,0.8,-0.1
10.12,-0.4,-0.4,0.8,-0.1
10.325,-0.4,-0.4,0.8,-0.1
10.513,-0.4,-0.4,0.8,-0.1
10.741,-0.5,-0.4,0.8,-0.1
10.914,-0.5,-0.4,0.8,-0.1
