vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
3.248,2.368,9.072,0.0
2.38,3.123,5.634,0.002
5.271,2.396,11.823,0.005
4.962,-1.23,9.011,0.006
1.424,9.441,10.822,0.107
2.732,0.341,7.091,0.108
3.536,2.605,7.847,0.11
2.706,4.288,9.298,0.112
2.892,2.186,8.659,0.113
2.861,2.958,8.54,0.115
1.974,2.84,8.257,0.202
1.991,2.564,7.877,0.204
1.709,2.636,7.523,0.206
1.838,2.243,6.891,0.207
2.221,2.019,6.57,0.209
0.796,2.281,6.998,0.301
0.329,1.943,6.914,0.303
-0.235,0.624,6.432,0.305
-0.296,0.419,7.002,0.306
-0.88,0.3,7.16,0.318
-1.5,-2.2,5.8,0.382
-0.7,-3.254,4.169,0.387
-0.9,-5.831,3.854,0.389
-1.8,-6.354,5.369,0.39
-2.8,-5.605,5.049,0.393
-1.111,-7.301,1.422,0.5
-0.281,-8.735,-1.438,0.502
-1.085,-9.217,-0.73,0.504
-2.76,-9.078,1.121,0.506
-0.267,-10.013,0.427,0.603
-0.889,-10.331,-0.904,0.605
-1.589,-11.451,-1.564,0.606
-2.533,-12.587,-2.227,0.612
-3.578,-12.762,-3.109,0.614
-1.464,-13.359,-4.446,0.616
1.438,-12.824,-7.128,0.697
1.452,-13.495,-6.754,0.699
1.858,-13.783,-6.405,0.7
1.795,-13.51,-5.991,0.711
1.172,-12.756,-4.989,0.713
3.3,-8.6,-9.0,0.8
3.0,-7.8,-9.2,0.801
2.826,-7.197,-9.327,0.803
2.573,-7.007,-9.338,0.903
2.999,-7.304,-7.864,0.905
2.986,-6.855,-8.001,0.907
2.2,-4.7,-10.0,0.908
2.218,-4.129,-10.542,0.91
2.772,-3.811,-10.502,0.911
5.065,-1.3,-9.841,1.002
4.678,-2.433,-9.22,1.004
4.327,-2.867,-8.957,1.006
3.967,-3.033,-9.067,1.007
3.19,-3.738,-9.452,1.014
2.908,-3.91,-9.718,1.016
0.957,-5.061,-9.47,1.101
0.717,-5.396,-9.152,1.103
0.748,-5.613,-9.043,1.115
0.926,-5.643,-8.878,1.118
0.507,-6.872,-7.75,1.202
0.477,-6.791,-7.48,1.203
0.371,-6.715,-7.366,1.205
0.337,-6.553,-7.419,1.207
0.267,-6.231,-7.524,1.208
0.234,-5.865,-7.712,1.302
0.144,-5.626,-7.868,1.305
0.164,-5.543,-7.817,1.306
1.411,-6.271,-6.936,1.308
1.322,-6.342,-6.771,1.309
1.477,-5.616,-7.311,1.406
1.5,-5.7,-7.2,1.408
1.58,-5.744,-7.16,1.409
1.623,-5.784,-7.289,1.411
1.622,-6.582,-6.591,1.413
1.711,-6.611,-6.556,1.502
1.889,-6.669,-6.484,1.503
1.933,-6.733,-6.367,1.519
1.967,-6.887,-6.293,1.528
2.189,-6.909,-6.304,1.53
2.689,-6.929,-6.164,1.601
2.989,-7.169,-5.984,1.603
2.956,-7.216,-5.658,1.605
2.633,-7.253,-5.727,1.608
2.544,-7.024,-6.162,1.61
4.043,-6.282,-6.579,1.701
4.059,-5.977,-6.92,1.703
3.943,-5.782,-7.279,1.708
2.542,-5.005,-8.463,1.71
