accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,-0.5,0.1,7.6
0.002,-0.3,1.1,9.9
0.004,-0.2,1.1,9.5
0.009,-1.3,1.8,10.0
0.124,-0.4,-0.2,10.0
0.125,-0.1,-0.6,9.3
0.127,-0.3,0.3,9.6
0.129,-0.4,0.5,9.5
0.228,-1.1,1.0,9.9
0.23,-0.3,0.9,9.8
0.231,-0.3,0.7,9.5
0.233,-0.5,0.8,9.5
0.329,-0.6,0.6,9.9
0.331,-0.5,0.5,9.8
0.333,-0.6,0.5,9.5
0.334,-0.5,0.5,9.2
0.45,-0.7,0.5,9.3
0.451,-0.6,0.4,9.0
0.453,-0.5,0.4,8.7
0.455,-0.3,0.4,8.4
0.525,-0.7,0.6,7.9
0.527,-1.7,1.1,7.5
0.532,-1.2,-0.3,8.3
0.534,-0.7,0.3,7.9
0.625,-1.8,0.1,8.1
0.629,-2.2,-0.4,8.1
0.631,-2.4,-0.1,7.9
0.632,-2.9,0.1,7.7
0.725,-3.0,0.1,7.5
0.727,-3.3,-0.8,7.5
0.729,-4.1,-0.8,7.8
0.738,-4.8,-1.0,7.4
0.825,-5.2,-1.2,6.3
0.827,-6.0,-1.7,6.6
0.828,-6.2,-2.2,6.9
0.83,-6.9,-2.6,7.1
0.925,-8.2,-3.2,5.2
0.927,-8.8,-4.0,5.0
0.933,-9.0,-4.2,5.2
0.935,-9.8,-3.5,5.5
1.025,-11.2,-3.4,4.5
1.027,-11.9,-6.0,3.0
1.029,-10.1,-6.1,3.3
1.031,-10.8,-4.2,3.3
1.125,-10.8,-4.7,2.8
1.127,-10.0,-4.8,2.5
1.136,-9.9,-4.3,2.5
1.138,-9.9,-4.3,2.3
1.225,-8.3,-3.4,2.6
1.227,-8.2,-2.9,2.4
1.232,-7.1,-3.1,2.2
1.233,-6.2,-3.3,3.9
1.325,-5.3,-1.2,2.8
1.327,-5.2,-2.0,2.5
1.328,-6.0,-2.9,2.5
1.33,-6.4,-2.4,3.0
1.424,-6.7,-0.1,2.3
1.426,-7.1,0.4,2.0
1.428,-7.4,0.1,1.3
1.429,-7.4,-0.2,0.7
