gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.005,-0.1,0.1,-0.0
0.008,0.5,0.1,-0.2
0.103,-0.8,0.2,0.1
0.106,-0.3,0.1,0.1
0.113,-0.2,0.1,0.0
0.176,-0.0,0.1,0.0
0.179,0.0,0.1,-0.0
0.311,-0.1,0.1,0.0
0.316,-0.0,0.1,0.0
0.403,-0.2,0.1,0.1
0.411,-0.5,0.1,0.3
0.414,-1.5,0.2,0.8
0.474,-2.7,0.2,1.5
0.477,-3.3,0.3,2.3
0.481,-3.3,0.5,2.8
0.597,-3.5,0.9,3.0
0.715,-2.9,1.3,2.9
0.719,-0.9,1.5,3.1
0.728,-0.9,1.4,3.3
0.804,-0.7,1.4,3.9
0.807,-0.2,1.9,3.5
0.81,-5.8,-0.4,0.4
0.904,-0.5,-0.4,-0.9
0.907,-0.5,0.4,-1.0
0.999,1.0,0.7,-0.2
1.002,0.8,0.3,-0.0
1.006,0.1,-0.2,0.2
1.114,-0.6,-0.1,0.4
1.147,0.0,0.2,0.0
1.203,0.0,0.3,-0.0
1.209,0.9,0.4,0.2
1.213,0.0,0.3,0.2
1.304,0.9,0.3,0.3
1.308,0.1,0.3,0.3
1.399,0.0,0.3,0.3
1.403,-0.1,0.3,0.2
1.406,0.0,0.1,0.2
1.521,-0.3,0.0,-0.0
1.534,-0.2,-0.1,-0.1
1.597,-0.9,-0.3,-0.3
1.606,-0.8,-0.2,-0.3
1.613,-0.3,0.1,-0.4
1.707,-0.7,0.5,-0.4
1.71,0.9,0.9,-0.0
1.799,2.1,1.0,0.4
1.806,1.0,0.7,0.4
1.809,1.6,0.8,0.2
1.93,1.6,0.7,0.1
1.935,1.5,0.6,-0.1
2.0,0.9,0.4,-0.3
2.005,0.3,0.4,-0.4
2.009,0.2,0.3,-0.4
2.106,-0.4,0.3,-0.4
2.124,-0.3,0.5,-0.7
2.213,-0.7,0.7,-0.8
2.218,-1.1,0.8,-0.8
2.229,-0.6,0.8,-0.7
2.3,-1.0,0.8,-0.6
2.305,-0.6,0.8,-0.4
2.403,-0.6,0.8,-0.4
2.41,-0.9,0.8,-0.3
2.499,-0.1,0.9,-0.3
2.502,0.3,1.0,-0.3
2.505,1.2,0.9,-0.3
2.616,1.1,1.1,-0.5
2.619,0.5,1.3,-0.5
2.705,-0.3,1.3,-0.5
2.709,-2.3,1.4,-0.4
2.712,-1.4,1.5,-0.4
2.801,-1.1,1.4,-0.4
2.804,0.1,1.4,-0.2
2.908,0.1,1.3,-0.2
2.911,0.3,1.2,-0.2
2.914,0.7,1.1,-0.3
3.019,1.0,0.8,-0.3
3.022,0.5,0.7,-0.3
3.116,0.2,0.6,-0.1
3.119,0.1,0.6,0.1
3.122,-0.0,0.5,0.1
3.204,0.2,0.5,0.2
3.207,0.7,0.6,0.2
3.3,0.4,0.5,0.2
3.303,1.0,0.4,0.1
3.311,1.4,0.4,-0.0
3.419,1.3,0.6,-0.2
3.431,0.6,0.6,-0.1
3.507,1.1,0.6,-0.0
3.514,0.9,0.4,0.1
3.518,0.8,0.3,0.1
3.606,0.4,0.2,-0.0
3.609,-0.0,0.1,0.1
3.698,-0.2,0.0,-0.0
3.702,-0.8,0.1,-0.1
3.705,-1.4,0.2,-0.1
3.823,-1.9,0.2,-0.3
3.835,-1.4,0.1,-0.3
3.899,-0.7,0.0,-0.1
3.902,-0.2,0.0,-0.0
3.914,-0.2,-0.0,0.1
4.0,-0.1,-0.0,0.1
4.007,-0.1,-0.0,0.0
4.112,-0.0,-0.0,-0.0
4.115,0.1,0.0,-0.0
4.216,0.1,-0.0,-0.0
4.233,0.1,0.0,-0.0
4.241,0.2,0.2,-0.0
4.303,0.7,0.0,0.1
4.306,1.1,0.6,-0.0
4.404,0.5,0.5,-0.0
4.408,0.4,0.5,0.1
4.412,0.1,0.4,0.2
4.52,-0.0,0.2,0.3
4.524,0.0,0.2,0.2
4.598,0.1,0.2,0.2
4.614,0.2,0.2,0.2
4.619,0.5,0.1,0.3
4.704,0.5,-0.1,0.4
4.711,0.3,-0.3,0.4
4.823,0.3,-0.4,0.3
4.826,0.6,-0.5,0.3
4.833,0.7,-0.7,0.4
4.922,0.6,-0.9,0.5
4.926,1.1,-0.9,0.6
4.944,0.5,-1.1,0.8
4.994,0.6,-1.2,1.0
5.001,0.3,-1.4,1.3
5.102,-0.4,-2.0,1.8
5.105,-1.2,-3.6,2.4
5.201,-2.7,-5.1,2.1
5.205,-2.6,-5.0,2.4
5.208,-2.9,-4.1,2.6
5.318,-2.9,-4.0,2.2
5.322,-3.4,-3.2,2.8
5.401,-3.4,-2.1,1.3
5.405,-1.3,-0.9,-0.4
5.408,-0.0,0.3,-1.6
5.508,0.9,0.4,-2.2
5.512,1.4,0.7,-2.3
5.604,1.7,1.0,-2.2
5.607,-0.0,0.8,-1.8
5.61,4.2,-0.4,-0.6
5.718,-0.8,-0.7,-0.0
5.73,-3.3,0.3,0.4
5.805,-2.6,0.1,0.1
5.813,-0.7,0.5,-0.1
5.903,0.0,0.5,-0.2
5.907,0.4,0.5,-0.2
5.915,0.2,0.3,-0.0
6.001,-0.2,-0.2,0.0
6.004,-0.4,-0.4,0.1
6.111,-0.2,-0.4,0.2
6.115,0.1,-0.3,0.2
6.135,0.2,-0.1,0.1
6.212,-0.0,-0.0,-0.0
6.215,-0.2,0.0,-0.1
6.304,-0.1,-0.0,-0.1
6.308,-0.1,-0.0,-0.1
6.312,-0.1,-0.1,-0.1
6.403,-0.0,-0.2,0.0
6.407,0.1,-0.1,0.0
6.515,0.6,-0.2,-0.0
6.528,1.1,0.0,-0.3
6.537,2.7,0.1,-0.7
6.608,2.6,0.2,-0.6
6.611,2.6,0.1,-0.5
6.697,1.9,-0.0,-0.7
6.701,0.9,-0.1,-0.7
6.704,0.3,-0.1,-0.6
6.804,-0.5,0.1,-0.4
6.807,-1.4,0.3,-0.1
6.915,-1.3,0.4,0.2
6.932,-1.0,0.3,0.5
6.935,0.0,-0.2,0.3
7.003,0.9,-0.2,-0.0
7.007,2.9,-0.6,-0.7
7.097,1.6,-1.3,-1.4
7.105,1.8,-1.4,-1.8
7.109,1.5,-1.6,-1.7
7.215,0.6,-1.4,-1.7
7.219,1.8,-1.2,-1.8
7.298,2.2,-1.1,-1.6
7.302,2.5,-1.1,-1.3
7.402,2.6,-0.9,-1.0
