accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.11,-5.6,-6.5,5.1
0.322,-5.7,-6.0,5.3
0.514,-5.9,-5.2,4.7
0.715,-5.6,-6.1,5.6
0.911,-5.5,-5.6,5.5
1.2,-5.6,-5.9,5.6
1.427,-5.4,-4.7,5.3
1.603,-6.4,-5.3,4.9
1.8,-6.5,-6.1,3.8
2.0,-7.8,-5.4,2.5
2.2,-8.6,-5.0,0.9
2.407,-8.9,-3.9,-0.9
2.605,-9.3,-3.0,-1.4
2.802,-9.5,-2.0,-1.0
3.006,-9.6,-1.4,-1.7
3.202,-9.8,-1.0,-2.4
3.422,-12.6,1.0,-2.4
3.601,-10.4,1.2,-3.6
3.801,-8.2,-0.3,-1.9
4.001,-8.3,-1.7,-0.9
4.209,-9.1,-1.7,-0.8
4.418,-9.8,-2.2,-0.5
4.611,-9.4,-2.4,-0.0
4.803,-9.7,-2.9,0.0
5.009,-9.2,-2.4,0.5
5.203,-9.5,-2.6,0.6
5.453,-9.4,-2.8,0.6
5.606,-9.7,-0.1,0.9
5.806,-8.9,-3.2,-0.5
6.002,-9.7,-4.2,-1.1
6.208,-9.5,-2.7,-0.6
6.415,-9.3,-2.6,-1.6
6.615,-9.4,-3.8,-1.5
6.805,-9.4,-2.8,-1.7
7.007,-9.8,-1.8,-0.7
7.204,-9.1,-2.1,-2.1
7.432,-9.4,0.3,-1.3
7.609,-8.6,-2.1,-2.6
7.811,-10.2,4.3,-2.6
8.013,-8.4,-1.5,-2.9
8.211,-8.9,-1.6,-3.5
8.427,-13.1,-3.1,-3.5
8.611,-9.4,-1.7,-2.3
8.823,-9.0,-4.7,-0.1
9.011,-9.3,-4.9,1.8
9.213,-7.2,-5.6,4.1
9.498,-6.0,-6.9,4.2
9.698,-5.8,-6.1,4.5
9.898,-5.9,-6.1,5.1
10.079,-5.9,-5.7,5.1
10.3,-6.1,-6.0,5.3
10.537,-6.0,-5.7,5.2
10.696,-6.2,-5.1,5.6
