orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.136,-0.9,0.3,-0.4,0.2
0.36,-0.9,0.3,-0.4,0.2
0.526,-0.9,0.3,-0.4,0.2
0.742,-0.9,0.3,-0.4,0.2
0.925,-0.9,0.3,-0.4,0.2
1.207,-0.9,0.3,-0.4,0.2
1.433,-0.9,0.3,-0.4,0.2
1.603,-0.8,0.3,-0.5,0.2
1.803,-0.8,0.3,-0.5,0.2
2.01,-0.8,0.2,-0.6,0.2
2.22,-0.7,0.2,-0.6,0.2
2.416,-0.7,0.2,-0.7,0.2
2.629,-0.7,0.1,-0.7,0.1
2.813,-0.7,0.1,-0.7,0.0
3.03,-0.6,0.1,-0.8,0.0
3.208,-0.6,0.1,-0.8,-0.0
3.451,-0.6,-0.1,-0.8,0.1
3.611,-0.6,0.1,-0.8,-0.1
3.835,-0.6,0.2,-0.7,-0.2
4.007,-0.7,0.2,-0.7,-0.2
4.234,-0.7,0.3,-0.7,-0.1
4.426,-0.7,0.3,-0.7,-0.1
4.636,-0.7,0.2,-0.7,-0.1
4.817,-0.7,0.2,-0.7,-0.0
5.017,-0.7,0.2,-0.7,-0.0
5.215,-0.7,0.2,-0.7,0.0
5.485,-0.7,0.2,-0.7,-0.0
5.608,-0.7,0.1,-0.7,0.0
5.82,-0.7,0.2,-0.7,-0.1
6.007,-0.7,0.3,-0.7,-0.2
6.221,-0.6,0.4,-0.6,-0.2
6.424,-0.6,0.5,-0.6,-0.2
6.629,-0.6,0.5,-0.5,-0.3
6.82,-0.6,0.5,-0.6,-0.3
7.024,-0.6,0.4,-0.6,-0.2
7.229,-0.6,0.4,-0.6,-0.2
7.458,-0.6,0.3,-0.7,-0.2
7.648,-0.5,0.3,-0.7,-0.3
7.818,-0.6,0.2,-0.8,-0.2
8.039,-0.6,-0.0,-0.8,0.1
8.229,-0.6,-0.0,-0.8,0.1
8.46,-0.6,-0.0,-0.8,0.1
8.622,-0.6,0.1,-0.8,0.2
8.854,-0.7,0.1,-0.7,0.2
9.028,-0.7,0.1,-0.6,0.3
9.236,-0.7,0.2,-0.5,0.3
9.503,-0.8,0.2,-0.5,0.3
9.708,-0.8,0.2,-0.5,0.3
9.94,-0.8,0.2,-0.4,0.3
10.084,-0.8,0.2,-0.4,0.3
10.314,-0.8,0.2,-0.4,0.3
10.549,-0.8,0.2,-0.4,0.3
