gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.002,3.7,-0.4,0.4
0.005,1.1,0.2,0.9
0.124,-1.4,0.3,-0.2
0.127,0.2,-0.2,0.3
0.229,0.1,-0.3,0.2
0.232,-0.1,-0.1,0.0
0.235,-0.1,0.2,-0.1
0.335,0.0,0.2,-0.1
0.345,-0.1,0.2,-0.1
0.358,-0.0,0.1,-0.0
0.424,-0.2,0.1,-0.0
0.428,-0.2,0.1,-0.0
0.518,0.1,0.1,0.1
0.526,-0.1,0.1,0.0
0.619,0.1,0.0,0.0
0.626,-0.2,0.1,-0.0
0.633,-0.1,-0.0,0.1
0.728,-0.3,-0.0,0.1
0.739,-0.8,0.1,0.3
0.819,-1.4,0.1,0.6
0.826,-3.1,0.1,1.2
0.829,-3.4,0.4,2.2
0.925,-4.7,1.1,2.8
0.929,-6.9,2.1,3.2
1.003,-10.5,3.4,3.2
1.007,-9.3,1.3,5.0
1.011,-4.5,1.4,5.5
1.138,-5.5,1.0,4.5
1.149,-6.3,1.0,4.0
1.231,-6.3,-0.1,3.9
1.235,-1.1,-1.7,4.1
1.242,2.9,-1.2,3.0
1.322,3.5,0.0,1.6
1.331,0.9,0.2,-0.0
1.416,-2.8,0.3,-1.1
1.42,-4.0,0.1,-1.3
1.427,-3.1,0.1,-0.9
1.534,-1.0,0.1,-0.6
1.546,2.1,0.2,-0.3
1.618,4.4,0.5,-0.1
1.625,2.4,0.2,-0.3
1.633,-0.1,0.0,-0.3
1.72,-1.2,-0.2,-0.4
1.73,-0.3,-0.2,-0.4
1.821,0.3,-0.2,-0.4
1.83,-0.2,-0.2,-0.2
1.834,-0.5,-0.1,-0.1
1.959,-0.6,-0.1,-0.2
1.962,-0.5,-0.0,-0.1
2.024,-0.3,-0.0,-0.0
2.03,-0.2,-0.1,-0.0
2.034,0.3,0.0,0.1
2.124,-0.1,-0.0,0.2
2.127,-0.1,0.0,0.1
2.233,-0.1,-0.0,0.1
2.236,0.0,0.0,0.1
2.321,-0.1,0.0,0.1
2.337,-0.1,-0.0,0.1
2.341,-0.1,0.0,0.1
2.398,-0.1,-0.0,0.1
2.405,-0.1,0.0,0.1
2.516,-0.1,0.0,0.1
2.519,-0.2,-0.0,0.1
2.633,-0.3,-0.1,0.1
2.636,-0.3,-0.0,0.2
2.647,-0.2,0.1,0.2
2.718,0.0,0.1,0.3
2.721,0.2,0.1,0.4
2.724,0.4,0.5,0.5
2.82,0.8,0.1,0.8
2.828,0.5,-0.3,0.8
2.918,0.0,-0.1,0.4
2.927,0.2,0.2,-0.1
2.93,0.7,0.5,-0.5
3.036,1.2,0.5,-0.4
3.039,1.4,0.3,-0.3
3.097,1.3,-0.0,-0.3
3.1,0.9,-0.3,-0.6
3.106,-0.1,-0.5,-0.9
3.222,-0.8,-0.5,-1.0
3.227,-0.8,-0.0,-0.7
3.353,-0.4,-0.2,-0.3
3.357,0.2,-0.0,0.1
3.36,0.0,-0.1,0.2
3.438,-0.5,-0.7,0.2
3.454,-1.1,-0.8,-0.1
3.458,-1.4,-0.5,-0.5
3.519,-1.6,-0.6,-0.7
3.522,-1.5,-0.6,-0.4
3.629,-1.3,-0.5,-0.0
3.635,-1.1,-0.4,0.3
3.72,-1.1,-0.5,0.6
3.723,-1.2,-0.4,0.8
3.727,-1.4,-0.3,1.0
3.829,-1.3,-0.2,1.2
3.841,-0.8,0.1,1.4
3.938,-0.2,0.2,1.4
3.941,0.3,0.0,1.0
3.945,0.4,0.6,0.4
4.019,0.3,-0.2,-0.3
4.025,-0.1,0.2,-1.0
4.12,0.4,0.2,-1.5
4.127,1.3,0.3,-1.8
4.237,2.1,0.3,-1.7
4.248,2.0,0.0,-1.5
4.257,1.7,0.1,-1.4
4.323,0.9,-0.1,-1.4
4.326,0.4,0.2,-1.2
4.422,0.2,0.0,-0.9
4.426,0.3,0.2,-0.3
4.429,0.6,0.4,0.3
4.532,0.8,0.3,0.8
4.536,0.5,0.3,1.3
4.615,0.0,0.1,1.6
4.631,-0.5,0.7,1.8
4.634,-0.9,-0.2,1.6
4.723,-0.6,-0.2,1.5
4.726,-0.1,-0.3,1.0
4.818,0.4,-0.1,0.2
4.821,0.2,-0.5,-0.9
4.824,-0.2,-0.8,-1.5
4.947,-0.7,-0.7,-1.6
4.951,-0.6,-0.4,-1.3
5.018,0.4,-0.1,-0.8
5.021,1.1,0.1,-0.4
5.024,1.1,0.2,-0.1
5.124,0.9,0.3,0.0
5.129,0.8,0.3,0.1
5.226,1.3,0.5,0.3
5.234,1.4,0.6,0.3
5.238,1.3,0.8,0.2
5.335,1.4,0.9,-0.0
5.339,1.4,1.0,-0.2
5.421,1.4,1.0,-0.4
5.424,1.3,1.3,-0.3
5.428,1.8,1.0,-0.1
5.524,2.8,0.8,-0.0
5.528,2.9,0.7,-0.3
5.633,2.3,0.4,-0.4
5.639,1.9,0.2,-0.1
5.73,1.9,0.2,0.0
5.735,2.4,0.3,0.3
5.746,2.9,-0.0,0.1
5.827,2.9,0.1,-0.2
5.831,4.4,-0.8,-0.7
5.925,3.2,-0.9,-0.9
5.929,3.2,-1.7,-1.1
5.935,3.7,-1.9,-1.3
6.019,2.1,-0.3,-1.6
6.022,3.2,-1.9,-3.2
6.125,-0.3,-2.0,-2.3
6.129,-8.0,0.4,-5.1
6.148,-3.6,-3.1,-5.2
6.229,-6.6,-3.4,-6.0
6.233,-3.0,-2.1,-3.4
6.322,0.0,-0.4,-0.0
6.325,-5.1,-1.3,-2.5
6.329,-8.9,-0.9,-1.9
6.423,-5.2,-0.9,-1.3
6.426,-4.5,-1.8,-1.7
6.537,-2.9,0.1,-2.5
6.548,-3.9,-0.8,-0.4
6.554,-5.0,0.5,-0.1
6.628,-3.6,0.2,0.9
6.631,1.0,1.0,1.7
6.722,0.5,2.3,2.9
6.725,-0.4,3.1,3.4
6.728,-0.5,2.3,3.0
6.824,1.5,0.9,2.1
6.829,1.0,-0.0,1.2
6.934,0.6,-0.7,0.9
6.945,0.4,-1.6,1.6
6.948,-3.4,-1.2,3.4
7.023,0.6,-0.4,0.9
7.026,0.1,1.1,-1.5
7.116,-0.9,-0.7,-0.8
7.124,-0.5,0.2,-0.7
7.23,-4.0,-2.6,-0.5
7.233,-9.1,-1.0,-0.6
