accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.002,1.8,2.6,9.5
0.103,-0.2,2.3,8.6
0.107,2.4,2.3,9.7
0.11,1.4,2.2,9.5
0.113,1.6,1.7,9.5
0.203,1.2,1.9,9.3
0.206,1.7,2.1,9.5
0.301,1.5,2.0,9.5
0.308,1.3,1.9,9.4
0.401,1.7,2.0,9.4
0.404,1.7,2.0,9.2
0.408,1.5,1.8,8.8
0.506,1.7,2.6,9.3
0.51,-0.0,2.3,8.5
0.601,-0.5,2.0,8.4
0.604,-0.6,0.2,8.2
0.608,-1.8,1.1,9.0
0.705,-1.2,0.8,9.6
0.709,-1.9,1.0,10.1
0.804,-2.2,0.4,10.5
0.839,-2.7,0.1,10.6
0.842,-2.6,-0.0,10.5
0.903,-3.0,0.7,10.1
0.906,-1.7,0.7,10.1
1.001,-2.0,0.1,9.2
1.009,-0.9,-1.5,9.5
1.013,-2.0,-3.3,10.1
1.102,-3.3,-3.1,9.9
1.121,-3.7,-1.9,10.1
1.201,-3.3,-1.4,9.8
1.204,-3.2,-0.8,10.6
1.211,-3.1,-0.2,10.0
1.303,-2.0,-1.4,9.2
1.306,-1.6,-1.5,7.3
1.402,-1.2,-0.0,6.6
1.409,-2.4,-0.1,5.8
1.413,-4.8,0.7,5.1
1.503,-4.6,1.6,4.6
1.52,-5.6,2.0,3.3
1.601,-24.0,0.0,-2.1
1.604,-8.9,-1.8,3.5
1.607,-21.5,-0.4,-3.1
1.678,-14.7,-2.2,1.5
1.681,-10.0,-2.1,0.8
1.823,-8.3,0.1,-2.2
1.827,-11.7,0.6,-3.6
1.904,-14.6,-1.2,-3.8
1.915,-10.1,-2.2,0.1
1.924,-7.0,-3.4,1.7
2.002,-7.0,-3.3,1.8
2.012,-7.2,-2.9,1.4
2.101,-8.7,-1.8,1.4
2.104,-10.3,-1.7,1.4
2.112,-13.0,-1.4,1.5
2.203,-14.8,-2.3,0.6
2.21,-15.5,-1.7,0.2
2.308,-11.6,-1.2,-0.3
2.32,-11.9,-0.1,-1.8
2.323,-14.0,2.2,-2.7
2.406,-11.6,0.9,-1.4
2.409,-10.1,0.4,0.1
2.501,-8.3,-0.4,0.3
2.504,-7.3,-0.3,0.0
2.507,-7.7,-0.9,-0.5
2.607,-7.6,-1.2,-0.1
2.611,-7.9,-0.5,0.5
2.704,-10.0,0.3,0.1
2.708,-10.5,0.4,0.2
2.711,-15.2,0.6,-1.1
2.812,-12.2,-0.9,2.8
2.815,-7.1,-1.5,3.3
2.875,-8.5,0.5,-1.2
2.879,-13.5,0.5,-3.7
2.882,-15.2,-1.4,-2.5
3.001,-12.2,-1.7,0.0
3.008,-8.9,-1.5,0.8
3.078,-8.8,-1.4,0.6
3.081,-9.7,-1.5,-0.4
3.088,-10.4,-2.1,-0.3
3.175,-9.8,-2.4,0.2
3.179,-10.1,-2.4,0.9
3.277,-11.1,-1.7,1.0
3.286,-12.4,-0.6,0.7
3.377,-10.8,-1.3,0.5
3.38,-9.5,-2.7,0.7
3.475,-9.6,-3.6,0.9
3.478,-11.0,-1.5,-1.5
3.482,-12.4,0.6,-3.4
3.577,-14.5,1.9,-3.4
3.586,-15.4,1.8,-2.5
3.675,-13.7,0.4,-1.5
3.683,-11.2,-0.9,-1.5
3.686,-9.5,-2.3,-1.4
3.804,-7.7,-1.9,-0.1
3.807,-7.0,-0.9,0.2
3.905,-6.6,0.5,0.9
3.909,-5.8,1.6,1.5
3.912,-5.6,1.1,1.4
4.0,-7.7,0.6,1.5
4.004,-10.4,2.2,1.7
4.01,-12.8,2.3,0.0
4.102,-13.9,1.6,-1.4
4.105,-13.9,0.2,-1.8
4.2,-13.0,-0.8,-0.6
4.211,-13.7,-1.2,-1.7
4.215,-14.3,-2.1,-2.0
4.302,-13.0,-2.5,-0.6
4.305,-10.7,-1.8,1.2
4.399,-9.7,-1.2,1.8
4.403,-9.5,-1.3,2.0
