orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.12,0.9,0.3,-0.1,-0.0
0.212,1.0,0.3,-0.1,-0.1
0.338,1.0,0.3,-0.1,-0.1
0.414,1.0,0.3,-0.0,-0.1
0.51,1.0,0.3,-0.0,-0.1
0.587,1.0,0.3,-0.0,-0.1
0.73,1.0,0.3,-0.0,-0.0
0.827,1.0,0.3,-0.0,-0.0
0.912,1.0,0.3,-0.0,-0.0
1.015,1.0,0.3,-0.0,0.0
1.139,1.0,0.3,-0.0,0.0
1.214,1.0,0.1,-0.0,0.0
1.315,1.0,-0.2,0.0,0.2
1.389,0.8,-0.5,0.1,0.3
1.526,0.4,-0.7,0.0,0.5
1.63,0.2,-0.7,0.1,0.7
1.718,0.2,-0.7,0.1,0.7
1.806,0.1,-0.7,0.1,0.7
1.941,0.1,-0.7,0.1,0.7
2.023,0.2,-0.7,0.1,0.7
2.113,0.2,-0.7,0.0,0.7
2.216,0.3,-0.7,0.0,0.6
2.351,0.3,-0.7,0.0,0.6
2.416,0.3,-0.7,0.1,0.7
2.537,0.3,-0.7,0.1,0.7
2.648,0.3,-0.7,0.2,0.6
2.705,0.4,-0.7,0.2,0.6
2.814,0.5,-0.7,0.1,0.5
2.927,0.6,-0.7,0.0,0.4
3.049,0.7,-0.7,-0.1,0.2
3.117,0.8,-0.6,-0.1,0.1
3.217,0.8,-0.6,-0.1,0.1
3.313,0.8,-0.6,-0.0,0.2
3.433,0.7,-0.6,-0.1,0.4
3.517,0.6,-0.6,-0.1,0.4
3.621,0.7,-0.6,-0.2,0.4
3.727,0.6,-0.7,-0.3,0.3
3.845,0.7,-0.7,-0.3,0.0
3.92,0.7,-0.7,-0.2,-0.1
4.023,0.7,-0.7,-0.2,-0.1
4.118,0.7,-0.7,-0.1,0.1
4.265,0.7,-0.7,-0.1,0.3
4.321,0.6,-0.7,-0.2,0.4
4.444,0.6,-0.6,-0.2,0.4
4.557,0.6,-0.7,-0.3,0.3
4.606,0.7,-0.7,-0.3,0.1
4.732,0.7,-0.7,-0.2,-0.1
4.818,0.6,-0.7,-0.2,-0.1
4.932,0.5,-0.8,-0.1,0.1
5.019,0.5,-0.8,-0.2,0.3
5.114,0.6,-0.6,-0.3,0.5
5.227,0.6,-0.6,-0.3,0.4
5.342,0.6,-0.7,-0.3,0.3
5.422,0.7,-0.7,-0.3,0.0
5.534,0.7,-0.7,-0.3,-0.1
5.625,0.7,-0.6,-0.2,-0.0
5.762,0.7,-0.6,-0.2,0.2
5.834,0.7,-0.6,-0.2,0.5
5.918,0.5,-0.6,-0.3,0.6
6.027,0.6,-0.5,-0.3,0.6
6.16,0.6,-0.5,-0.3,0.5
6.222,0.8,-0.4,-0.2,0.3
6.318,0.8,-0.5,-0.3,0.2
6.418,0.7,-0.6,-0.3,0.2
6.551,0.6,-0.6,-0.2,0.5
6.619,0.5,-0.5,-0.2,0.6
6.715,0.5,-0.5,-0.3,0.6
6.848,0.5,-0.6,-0.3,0.6
6.954,0.6,-0.6,-0.3,0.4
7.026,0.7,-0.5,-0.3,0.2
7.139,0.8,-0.5,-0.3,0.1
7.223,0.7,-0.6,-0.3,0.3
7.347,0.5,-0.7,-0.2,0.5
7.438,0.4,-0.7,-0.3,0.5
7.522,0.4,-0.6,-0.4,0.6
7.627,0.4,-0.6,-0.5,0.5
7.818,0.5,-0.6,-0.5,0.4
7.851,0.7,-0.5,-0.4,0.2
7.927,0.8,-0.5,-0.4,0.2
8.05,0.7,-0.5,-0.4,0.3
8.127,0.6,-0.6,-0.3,0.4
8.226,0.4,-0.6,-0.4,0.5
8.433,0.3,-0.5,-0.5,0.6
8.508,0.3,-0.4,-0.6,0.6
8.614,0.3,-0.3,-0.8,0.5
8.71,0.4,-0.2,-0.7,0.4
8.854,0.6,-0.2,-0.6,0.5
8.913,0.6,-0.2,-0.6,0.5
9.009,0.4,-0.3,-0.7,0.6
9.106,0.1,-0.3,-0.7,0.7
9.236,-0.0,-0.2,-0.7,0.7
9.313,-0.1,-0.1,-0.7,0.7
9.41,-0.0,0.0,-0.7,0.7
9.504,0.1,0.1,-0.7,0.7
9.634,0.4,0.1,-0.6,0.7
9.71,0.5,0.1,-0.5,0.7
9.824,0.4,0.0,-0.7,0.6
9.928,0.0,0.0,-0.8,0.6
10.013,-0.1,0.1,-0.9,0.5
10.101,-0.2,0.2,-0.8,0.5
10.211,-0.3,0.2,-0.7,0.6
10.333,-0.2,0.3,-0.6,0.7
10.423,0.0,0.3,-0.6,0.7
10.515,0.2,0.3,-0.5,0.8
10.61,0.2,0.3,-0.4,0.9
10.713,0.0,0.4,-0.3,0.9
10.825,-0.2,0.3,-0.6,0.7
10.921,-0.3,0.4,-0.7,0.6
11.023,-0.3,0.4,-0.6,0.6
11.144,-0.3,0.4,-0.6,0.6
11.214,-0.1,0.4,-0.5,0.8
11.314,0.2,0.3,-0.4,0.8
11.385,0.3,0.3,-0.4,0.8
11.526,0.1,0.3,-0.5,0.8
11.626,-0.1,0.3,-0.7,0.7
11.726,-0.3,0.3,-0.6,0.7
11.808,-0.3,0.3,-0.6,0.6
11.944,-0.3,0.4,-0.6,0.6
12.018,-0.1,0.3,-0.6,0.7
12.12,0.1,0.3,-0.5,0.8
12.217,0.2,0.2,-0.4,0.8
12.354,0.1,0.2,-0.5,0.8
12.42,-0.2,0.2,-0.7,0.7
12.518,-0.3,0.2,-0.7,0.6
12.65,-0.4,0.3,-0.6,0.6
12.719,-0.4,0.3,-0.7,0.5
12.818,-0.3,0.3,-0.6,0.7
12.917,-0.0,0.3,-0.5,0.8
13.048,0.1,0.3,-0.5,0.8
13.088,0.1,0.3,-0.6,0.8
13.206,-0.2,0.3,-0.7,0.7
13.338,-0.5,0.3,-0.6,0.5
13.448,-0.6,0.3,-0.6,0.5
13.518,-0.5,0.3,-0.6,0.4
13.635,-0.4,0.3,-0.6,0.5
13.719,-0.3,0.4,-0.5,0.7
13.846,-0.1,0.4,-0.4,0.8
13.934,-0.1,0.4,-0.3,0.8
14.017,-0.3,0.4,-0.4,0.7
14.119,-0.5,0.4,-0.5,0.6
14.247,-0.6,0.4,-0.5,0.4
14.324,-0.6,0.5,-0.5,0.4
14.423,-0.6,0.5,-0.4,0.4
14.543,-0.5,0.6,-0.3,0.6
14.661,-0.4,0.6,-0.2,0.7
14.71,-0.4,0.5,-0.3,0.7
14.815,-0.6,0.5,-0.3,0.6
14.939,-0.6,0.6,-0.4,0.4
15.05,-0.7,0.6,-0.3,0.3
