gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.132,-0.2,0.0,-0.0
0.235,-0.0,-0.0,-0.0
0.243,0.0,0.0,0.0
0.369,-0.0,0.1,-0.0
0.42,-0.2,0.2,-0.0
0.64,-2.0,0.5,-0.4
0.652,-4.0,2.3,0.5
0.762,-4.7,1.8,1.8
0.865,-3.7,0.2,2.7
1.039,-0.4,1.2,4.2
1.142,1.5,2.6,1.7
1.231,-2.3,-0.3,-0.7
1.328,-3.3,-0.9,-0.6
1.432,0.6,-0.2,0.0
1.543,2.1,-0.2,-0.7
1.628,0.6,-0.6,-0.6
1.73,0.4,-0.6,-1.3
1.843,0.7,-0.0,-0.6
1.942,-0.3,0.3,0.3
2.029,-0.6,0.5,0.9
2.128,-0.9,0.9,1.3
2.241,-0.7,-0.1,0.4
2.327,-1.0,-2.0,-0.3
2.431,-1.8,-1.1,-1.3
2.53,-1.1,-0.2,-0.6
2.643,-1.0,0.9,0.6
2.725,1.9,2.5,1.9
2.839,2.7,1.3,1.3
2.933,1.9,-1.9,0.0
3.044,0.0,-2.3,-0.6
3.132,-0.1,-1.0,-0.4
3.234,-0.3,-0.9,-0.7
3.329,-0.2,0.1,-0.3
3.437,-0.1,1.4,0.8
3.534,-1.1,2.3,0.8
3.629,-3.9,-1.6,-0.1
3.729,2.3,0.5,1.1
3.843,0.3,0.4,0.2
3.929,-0.8,-1.1,-0.3
4.03,-1.1,-0.6,-1.0
4.129,0.7,0.0,-0.2
4.256,0.6,0.2,0.2
4.33,0.4,-1.1,-0.7
4.435,-0.2,-0.1,-0.6
4.536,-0.3,0.1,0.1
4.65,-2.0,0.5,-0.9
4.737,2.8,-0.8,-0.1
4.832,2.9,-1.8,0.3
4.945,0.3,-3.2,-0.4
5.033,-2.7,-0.5,-0.9
5.134,1.4,5.9,1.3
5.23,-1.8,3.7,3.0
5.344,-5.3,3.0,1.9
5.436,-3.4,0.4,-0.1
5.534,0.5,-0.4,-1.4
5.643,3.1,-9.3,-3.9
5.74,-5.4,0.1,-7.4
5.838,5.1,1.2,-2.4
5.94,3.7,-0.3,-2.0
6.035,1.4,-0.1,-2.1
6.152,-1.1,0.2,1.0
6.237,-4.1,2.5,7.8
6.332,-9.2,0.1,5.7
6.441,-7.4,-3.8,3.3
6.56,0.7,-0.5,1.2
6.638,-1.0,1.2,-0.6
6.735,1.6,2.6,-1.8
6.842,6.2,1.4,-1.7
6.948,3.0,-1.0,-2.2
7.042,-0.5,-0.9,-1.5
7.131,-1.2,0.1,1.0
7.245,-1.8,2.6,4.1
7.332,-0.4,1.4,2.2
7.436,-4.4,-1.6,-0.5
7.529,-4.1,-1.0,-0.9
7.645,-0.8,0.3,0.6
7.741,-0.0,1.7,1.1
7.849,2.1,1.9,0.2
7.932,-0.8,-0.9,-0.5
8.055,1.4,-1.5,-0.9
8.142,2.1,-1.2,-0.1
8.246,0.4,-1.3,-1.1
8.337,-0.5,-1.3,-1.2
8.468,-0.7,-0.1,-0.4
8.536,-1.3,0.7,1.1
8.637,-0.4,2.8,3.0
8.737,-0.3,2.1,1.4
8.863,-3.0,-1.9,-0.7
8.941,-3.7,-1.3,-1.4
9.041,-1.3,-0.9,-0.9
9.137,-0.6,1.0,-0.2
9.332,-5.3,0.3,-0.6
9.426,4.6,-0.0,1.0
9.526,2.3,1.7,1.2
9.639,1.7,-0.9,-0.2
9.731,0.4,-4.1,-1.9
9.829,0.7,-2.4,-1.3
9.909,1.5,-3.1,-0.1
10.025,0.9,-1.3,0.5
10.13,1.8,-1.3,0.8
10.23,1.0,-2.5,-0.7
10.341,1.0,-0.7,-0.3
10.458,1.9,0.4,0.5
10.54,-0.2,0.0,0.8
10.628,0.2,0.2,0.7
10.716,0.1,0.3,0.8
