accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,-1.8,3.2,9.5
0.002,-1.0,2.1,9.3
0.003,-1.7,2.6,9.5
0.005,-0.3,3.4,9.6
0.076,-1.0,2.8,9.4
0.078,-1.5,2.3,9.1
0.08,-1.5,2.7,8.9
0.085,-1.8,2.8,8.4
0.2,-1.7,2.7,7.3
0.202,-2.2,2.8,7.0
0.204,-2.5,2.5,6.8
0.205,-2.5,2.4,6.9
0.305,-2.1,-1.4,5.9
0.307,-0.5,-2.0,7.4
0.308,-0.7,-0.6,9.0
0.31,-2.4,1.5,10.4
0.401,-3.6,-0.0,9.2
0.403,-3.6,-2.1,8.6
0.404,-4.1,-3.7,9.5
0.406,-4.5,-3.0,10.6
0.5,-3.3,-1.3,10.8
0.502,-3.1,-1.4,10.2
0.503,-3.8,-3.2,9.8
0.505,-4.4,-3.9,9.8
0.6,-4.1,-3.2,8.7
0.601,-4.0,-2.7,8.1
0.603,-3.9,-2.4,7.7
0.605,-4.0,-2.7,6.9
0.7,-4.8,-5.5,10.0
0.702,-6.5,-6.2,11.0
0.704,-5.5,-6.1,9.8
0.715,-5.0,-4.9,8.5
0.8,-5.0,-1.4,6.7
0.801,-4.9,-1.3,7.2
0.803,-5.4,-1.9,7.9
0.805,-6.4,-2.8,7.9
0.901,-6.4,-3.2,7.2
0.902,-6.3,-3.1,7.1
0.904,-6.4,-2.9,7.2
0.906,-6.6,-3.0,7.2
1.0,-6.1,-2.4,6.8
1.001,-6.2,-2.3,6.8
1.033,-6.1,-2.9,6.8
1.035,-6.2,-3.4,6.8
1.078,-6.4,-3.4,6.9
1.084,-6.4,-2.9,6.9
1.094,-6.3,-2.5,7.0
1.096,-6.4,-2.5,7.0
1.198,-6.2,-2.9,7.0
1.199,-6.2,-2.8,7.0
1.204,-6.2,-2.7,6.9
1.276,-6.2,-2.7,7.0
1.279,-6.2,-3.0,7.1
1.281,-6.2,-3.0,6.9
1.287,-6.2,-2.8,6.9
1.289,-6.3,-2.7,6.9
1.402,-6.2,-3.0,7.0
1.403,-6.1,-2.9,7.0
1.405,-6.0,-2.7,7.0
1.501,-6.0,-2.7,7.0
1.508,-6.1,-2.7,7.2
1.518,-6.1,-2.8,7.2
1.52,-6.1,-2.7,7.1
1.521,-6.2,-2.6,7.0
1.601,-6.4,-2.7,6.9
1.603,-6.5,-3.0,7.0
1.605,-6.4,-3.0,7.0
1.606,-6.2,-2.9,6.9
1.702,-6.0,-2.8,7.1
1.707,-5.9,-2.7,7.3
