gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.0,-0.2,0.1,-0.0
0.001,-0.4,-0.4,0.1
0.003,-0.3,-0.2,0.2
0.102,0.0,0.1,0.0
0.105,-0.2,-0.1,0.1
0.11,-0.2,-0.1,0.1
0.111,-0.2,0.0,0.1
0.113,-0.3,0.0,0.1
0.197,-0.4,0.1,0.1
0.199,-0.5,0.1,0.1
0.201,-0.5,0.2,0.1
0.202,-0.5,0.3,0.1
0.31,-0.7,0.4,0.1
0.319,-0.9,0.4,0.2
0.321,-1.2,0.5,0.3
0.322,-1.5,0.5,0.5
0.401,-1.7,0.6,0.7
0.402,-1.8,0.7,0.7
0.409,-1.9,0.8,0.7
0.411,-1.9,0.9,0.7
0.497,-2.4,1.0,0.7
0.498,-2.8,1.0,0.8
0.5,-3.2,1.1,0.8
0.502,-3.9,1.1,1.0
0.601,-5.2,1.2,1.7
0.606,-5.4,1.3,2.1
0.607,-5.2,1.4,2.5
0.609,-3.9,1.5,2.6
0.717,7.0,2.9,3.8
0.719,8.9,1.2,0.1
0.721,10.6,-0.5,-1.4
0.732,5.6,-0.8,-2.3
0.801,-2.2,-0.5,-1.2
0.806,-0.0,-0.9,-1.0
0.808,0.4,-0.8,-0.9
0.809,-0.4,-0.7,-0.4
0.901,-0.9,-0.7,-0.1
0.903,-1.8,-0.5,0.2
0.905,-2.6,-0.4,0.5
0.906,-3.1,-0.4,0.6
1.0,-2.9,-0.6,0.4
1.001,-2.3,-0.6,0.2
1.003,-1.3,-0.5,0.1
1.005,-0.4,-0.4,-0.0
1.128,0.6,-0.1,0.0
1.13,0.5,0.0,0.1
1.142,0.3,0.1,0.1
1.143,0.2,0.1,0.1
1.2,0.1,0.2,0.1
1.201,0.1,0.1,0.0
1.203,0.0,0.1,0.0
1.208,-0.0,0.1,-0.0
1.296,0.0,0.1,-0.0
1.298,0.2,0.1,-0.0
1.3,0.2,0.1,-0.0
1.301,0.2,0.1,0.0
1.429,0.1,0.1,0.0
1.43,0.1,0.1,0.0
1.432,0.1,0.1,0.0
1.433,0.0,0.0,0.0
1.52,-0.2,-0.0,0.0
1.531,-0.1,-0.0,-0.0
1.533,-0.0,-0.0,-0.0
1.534,0.1,0.0,-0.0
1.598,0.0,0.0,0.0
1.6,-0.0,0.0,0.0
1.601,-0.0,0.0,-0.0
1.603,-0.0,-0.0,-0.0
1.696,-0.1,-0.1,-0.0
1.697,-0.2,-0.0,-0.0
1.699,-0.1,-0.0,-0.0
1.801,-0.1,-0.0,-0.0
1.804,0.1,0.0,-0.0
1.805,0.0,-0.0,-0.0
1.807,-0.0,-0.0,-0.0
1.908,-0.1,-0.0,-0.0
1.924,-0.0,-0.0,-0.0
1.954,-0.1,-0.0,-0.0
1.956,-0.1,-0.0,-0.0
2.035,-0.1,-0.1,-0.0
2.038,-0.0,-0.0,-0.0
2.04,0.0,-0.0,-0.0
2.041,0.0,-0.0,-0.0
2.099,-0.0,0.0,0.0
2.102,0.0,0.0,0.0
2.103,0.0,-0.0,0.0
2.105,-0.0,-0.0,0.0
2.209,-0.1,-0.0,0.0
2.212,-0.0,-0.0,0.0
2.214,-0.0,-0.0,0.0
2.22,-0.1,-0.0,0.0
2.298,-0.1,-0.0,-0.0
2.312,0.0,-0.0,-0.0
2.318,-0.0,-0.0,0.0
2.32,-0.1,-0.0,0.0
2.398,-0.1,-0.0,0.0
2.402,-0.0,-0.0,0.0
2.407,-0.0,-0.0,-0.0
2.409,-0.1,-0.1,-0.0
2.495,-0.1,-0.0,-0.0
2.498,-0.1,-0.0,0.0
2.5,-0.1,-0.0,0.0
2.501,-0.0,-0.0,0.0
2.607,-0.0,-0.0,0.0
2.61,0.1,-0.0,-0.0
2.612,0.1,-0.0,-0.0
2.613,0.1,-0.0,-0.0
2.7,0.0,-0.0,0.0
2.703,-0.0,0.0,0.0
2.704,0.0,0.0,0.0
2.706,0.1,0.0,-0.0
2.8,0.1,0.0,-0.0
2.805,0.1,-0.0,-0.0
2.807,0.1,-0.0,-0.0
2.809,0.1,-0.0,-0.0
2.895,0.0,-0.0,-0.0
2.899,-0.0,-0.0,-0.0
2.9,-0.0,0.0,-0.0
2.906,0.0,0.0,0.0
3.01,0.0,0.0,0.0
3.013,0.0,0.0,0.0
