accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.226,-1.9,2.0,8.2
0.346,-1.0,-0.0,9.2
0.532,-1.4,3.2,7.6
0.74,-3.5,5.2,8.8
0.936,-2.4,0.4,7.9
1.145,-2.9,0.1,9.0
1.331,-4.0,0.1,9.1
1.635,-1.3,3.0,8.9
1.825,0.2,1.5,8.3
2.025,1.5,3.5,7.4
2.229,-0.1,3.8,9.0
2.425,-3.8,3.3,9.5
2.627,-3.9,1.8,8.9
2.825,-3.3,3.1,9.4
3.025,-4.6,2.2,11.1
3.226,0.3,5.6,7.2
3.425,2.7,3.8,6.3
3.628,3.3,1.1,6.6
3.832,-1.2,6.9,11.0
4.025,-3.7,3.4,7.2
4.234,-3.0,-0.7,7.1
4.43,-3.1,2.9,8.4
4.632,-6.1,3.0,11.3
4.83,-4.4,4.8,10.1
5.028,-3.3,3.9,4.1
5.227,-2.3,2.8,8.4
5.427,0.2,2.8,8.7
5.632,1.2,2.5,8.3
5.831,2.3,3.6,9.2
6.028,0.2,2.9,8.7
