accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,0.9,3.1,9.3
0.002,1.4,2.6,9.5
0.003,0.7,3.7,9.6
0.01,1.5,2.3,9.3
0.104,1.4,2.9,9.4
0.105,1.2,3.0,9.3
0.107,1.2,3.0,9.3
0.109,0.9,3.2,9.2
0.201,1.1,2.9,9.2
0.203,1.1,2.8,9.1
0.204,1.1,2.8,9.1
0.206,1.1,2.8,9.0
0.301,1.0,2.7,8.7
0.302,0.6,2.5,8.2
0.304,-0.1,2.1,7.4
0.306,-0.4,2.1,5.9
0.401,-0.5,0.7,2.8
0.404,-0.1,0.1,1.1
0.406,-0.3,-0.5,0.6
0.408,-0.8,-0.4,0.9
0.501,-0.3,-0.7,6.7
0.502,-1.9,-3.4,8.9
0.509,-1.8,-4.3,8.7
0.51,-4.2,-2.0,6.1
0.576,-8.4,-7.8,8.4
0.578,-8.3,-7.4,9.8
0.579,-8.9,-6.0,8.1
0.585,-10.9,-4.9,4.3
0.7,-15.5,-4.9,0.7
0.702,-16.2,-6.0,1.1
0.703,-16.8,-6.2,1.3
0.726,-16.9,-6.3,1.5
0.807,-15.1,-6.2,1.0
0.809,-13.9,-5.3,0.9
0.811,-12.9,-4.1,1.2
0.812,-12.2,-3.3,1.3
0.901,-11.0,-3.3,-0.0
0.907,-10.3,-3.6,-0.3
0.908,-9.8,-3.7,-0.5
0.91,-9.3,-3.9,-0.3
1.0,-8.7,-4.2,0.1
1.002,-8.5,-4.4,0.6
1.004,-8.5,-4.3,0.8
1.005,-8.6,-4.1,0.9
1.101,-9.0,-4.2,0.7
1.102,-9.2,-4.2,0.7
1.115,-9.4,-4.1,0.9
1.117,-9.9,-4.1,0.6
1.204,-10.5,-4.2,0.8
1.207,-10.7,-4.0,0.9
1.209,-10.7,-3.6,1.0
1.211,-10.3,-3.0,1.5
1.301,-10.0,-1.4,1.7
1.303,-10.3,-1.2,1.5
1.305,-10.8,-1.4,1.3
1.307,-11.1,-1.7,1.6
1.401,-10.6,-1.2,2.1
1.402,-9.9,-0.5,1.9
