orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.232,0.5,0.0,0.2,0.9
0.396,0.4,0.0,0.2,0.9
0.625,0.4,-0.1,0.0,0.9
0.801,0.1,-0.4,-0.2,0.9
1.038,-0.1,-0.6,-0.2,0.8
1.222,-0.1,-0.6,-0.2,0.8
1.424,-0.1,-0.6,-0.2,0.8
1.624,-0.1,-0.6,-0.3,0.8
1.824,-0.1,-0.6,-0.2,0.8
2.03,-0.1,-0.6,-0.3,0.7
2.248,-0.0,-0.5,-0.4,0.8
2.429,0.3,-0.1,-0.5,0.8
2.65,0.5,0.2,-0.2,0.8
2.829,0.3,0.5,-0.2,0.8
3.052,0.4,0.4,-0.4,0.7
3.234,0.4,0.5,-0.3,0.7
3.447,0.6,0.4,-0.2,0.6
3.628,0.6,0.2,-0.3,0.7
3.852,0.3,-0.0,-0.5,0.8
4.033,0.2,-0.2,-0.5,0.8
4.287,0.2,-0.1,-0.5,0.8
4.435,0.2,-0.1,-0.5,0.8
4.624,0.3,-0.1,-0.5,0.8
4.83,0.3,-0.1,-0.4,0.9
5.034,0.3,-0.1,-0.4,0.9
5.233,0.2,-0.1,-0.4,0.9
5.431,0.2,-0.1,-0.4,0.9
5.639,0.2,-0.1,-0.4,0.9
5.848,0.2,-0.1,-0.4,0.9
6.038,0.2,-0.1,-0.4,0.9
6.252,0.2,-0.1,-0.4,0.9
6.441,0.2,-0.1,-0.4,0.9
6.632,0.2,-0.1,-0.4,0.9
6.838,0.2,-0.1,-0.4,0.9
7.033,0.2,-0.1,-0.4,0.9
7.266,0.2,-0.1,-0.4,0.9
7.446,0.2,-0.1,-0.4,0.9
7.66,0.2,-0.1,-0.4,0.9
7.844,0.2,-0.1,-0.3,0.9
8.064,0.3,-0.1,-0.1,0.9
8.622,0.3,-0.1,0.1,0.9
8.136,0.3,-0.1,-0.1,0.9
8.358,0.3,-0.1,0.1,0.9
8.97,0.3,-0.1,0.1,0.9
9.132,0.3,-0.1,0.1,0.9
9.328,0.4,-0.0,0.1,0.9
9.529,0.4,-0.0,0.1,0.9
