orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.139,1.0,0.0,0.0,-0.2
0.245,1.0,0.0,0.0,-0.2
0.365,1.0,0.0,0.0,-0.2
0.434,1.0,0.0,0.0,-0.2
0.533,1.0,0.0,0.0,-0.2
0.62,1.0,0.0,0.0,-0.2
0.748,1.0,0.0,0.0,-0.2
0.85,1.0,-0.0,0.1,-0.2
0.94,1.0,-0.1,0.1,-0.2
1.035,1.0,-0.1,0.0,-0.3
1.158,0.9,-0.1,-0.1,-0.3
1.238,0.9,-0.1,-0.2,-0.4
1.335,0.9,-0.1,-0.2,-0.4
1.434,0.9,-0.1,-0.3,-0.4
1.565,0.9,-0.1,-0.2,-0.4
1.646,0.9,-0.0,0.2,-0.4
1.736,0.9,-0.1,0.2,-0.4
1.836,0.9,-0.1,0.2,-0.4
1.952,0.9,-0.1,0.2,-0.4
2.043,0.9,-0.1,0.2,-0.4
2.136,0.9,-0.0,0.2,-0.4
2.24,0.9,-0.1,0.1,-0.3
2.363,1.0,-0.0,0.1,-0.3
2.438,1.0,0.0,0.0,-0.2
2.551,1.0,0.1,0.0,-0.2
2.662,1.0,0.1,0.0,-0.2
2.742,1.0,0.1,0.0,-0.1
2.837,1.0,0.1,0.0,-0.1
2.947,1.0,0.0,0.0,-0.1
3.058,1.0,0.0,0.0,-0.1
3.138,1.0,0.0,0.0,-0.1
3.236,1.0,0.0,0.0,-0.1
3.339,1.0,0.0,0.0,-0.1
3.457,1.0,0.0,0.0,-0.1
3.537,1.0,0.0,0.0,-0.1
3.636,1.0,0.0,0.0,-0.1
3.743,1.0,0.0,0.0,-0.1
3.88,1.0,0.0,0.0,-0.1
3.942,1.0,0.0,0.0,-0.1
4.038,1.0,0.0,0.0,-0.1
4.144,1.0,0.0,0.0,-0.1
4.271,1.0,0.0,0.0,-0.1
4.343,1.0,0.0,0.0,-0.1
4.442,1.0,0.0,0.0,-0.1
4.544,1.0,0.0,0.0,-0.1
4.678,1.0,0.0,0.0,-0.1
4.74,1.0,0.0,0.0,-0.1
4.837,1.0,0.0,0.0,-0.1
4.96,1.0,0.0,-0.0,-0.1
5.02,1.0,0.0,-0.0,-0.1
5.109,1.0,0.0,-0.0,-0.1
5.237,1.0,0.0,0.0,-0.1
