gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.006,-0.3,-1.2,0.1
0.228,1.8,-0.8,-0.3
0.236,-1.3,-0.7,0.1
0.361,1.1,0.1,0.1
0.431,-0.1,-0.1,-0.1
0.531,1.0,0.7,0.1
0.728,-0.9,0.6,0.2
0.821,-0.6,1.3,0.0
0.925,0.3,-1.1,0.5
1.027,-0.1,0.0,-0.1
1.134,0.3,0.0,0.0
1.224,-0.1,0.0,0.0
1.32,-0.3,0.2,0.2
1.425,1.3,-0.2,-0.1
1.531,-1.0,-1.1,-0.2
1.631,1.4,-0.9,0.5
1.724,-0.4,-0.8,0.3
1.82,-0.0,-0.6,0.2
1.928,0.6,-0.3,-0.0
2.026,-0.8,0.1,-0.0
2.125,0.2,0.5,-0.2
2.232,0.0,1.2,-0.5
2.319,-0.3,0.9,-0.3
2.425,-0.1,1.6,-0.1
2.526,-0.9,-1.1,0.7
2.637,0.2,0.3,0.1
2.726,-0.3,-0.0,0.0
2.822,0.5,0.8,-0.2
2.922,1.4,-0.1,0.2
3.038,-0.5,-1.0,-0.1
3.119,1.5,-2.2,0.3
3.226,0.1,-1.5,0.5
3.296,-0.1,-1.1,0.3
3.433,0.5,-0.4,0.0
3.529,-0.0,0.1,0.1
3.627,-0.4,0.3,-0.2
3.721,0.5,1.5,-0.5
3.836,-0.5,2.1,-0.8
3.932,0.5,1.2,-0.5
4.022,-1.2,1.4,-0.5
4.131,-1.3,-2.4,0.6
4.249,-0.0,0.1,0.0
4.327,0.1,0.2,0.0
4.428,0.5,0.4,-0.0
4.531,0.4,-0.3,0.2
4.645,-0.7,0.7,-0.2
4.723,0.1,0.2,-0.0
4.825,1.3,-0.1,0.1
4.931,0.4,-0.9,0.5
5.023,3.4,-2.1,1.2
5.124,-1.0,-0.3,-0.4
5.229,-0.3,-0.6,0.1
5.343,-0.5,-0.9,0.2
5.426,0.1,-0.7,-0.1
5.526,0.2,-0.8,-0.1
5.627,-0.1,-0.3,-0.0
5.74,-0.5,0.1,-0.0
5.831,0.0,0.0,-0.2
5.927,-0.3,0.2,-0.1
6.027,-0.4,0.3,-0.1
6.158,-0.4,0.6,-0.1
