gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.008,-0.1,0.0,-0.2
0.11,-0.0,0.0,0.1
0.211,0.0,0.1,0.0
0.356,-0.2,0.6,-0.1
0.416,-0.1,0.3,-0.1
0.509,-0.2,0.1,0.1
0.611,-0.4,0.1,0.0
0.731,-1.0,0.2,0.1
0.81,-0.9,0.1,0.4
0.913,-0.4,-0.1,0.5
1.014,-0.8,-0.2,0.1
1.136,-1.1,0.1,-0.0
1.213,-1.3,0.2,0.4
1.405,-1.8,-0.2,0.0
1.513,-0.5,-0.0,-0.4
1.602,-0.1,0.1,-0.1
1.703,0.1,-0.0,-0.1
1.804,-0.4,0.0,0.3
1.907,-0.3,0.3,0.4
2.003,0.4,-0.1,-0.1
2.104,-0.0,0.0,0.0
2.211,0.0,-0.0,-0.0
2.304,-0.0,-0.0,-0.0
2.403,-0.2,0.0,0.0
2.5,-1.7,-0.3,0.6
2.618,-0.6,-1.4,-1.2
2.715,-0.2,0.0,-2.6
2.804,1.1,0.5,-2.1
2.903,0.5,0.2,-0.7
3.015,-1.4,0.2,2.1
3.104,-2.0,0.7,5.1
3.205,15.2,-1.5,-2.6
3.303,3.9,0.7,-3.4
3.413,3.4,0.9,-0.8
3.506,3.4,0.4,0.5
3.607,3.3,0.3,1.0
3.705,1.2,0.8,0.6
3.813,0.4,0.7,0.3
3.901,-1.0,2.0,0.4
4.0,0.8,0.4,-0.0
4.101,0.1,-0.2,-0.0
4.226,2.8,-0.6,-0.3
4.313,1.5,-0.3,-0.1
4.405,1.1,-0.2,-0.2
4.515,0.8,-0.2,-0.5
4.598,-0.0,-0.1,-0.2
4.712,-0.2,-0.0,-0.1
4.802,-0.1,-0.0,-0.0
4.914,-0.0,0.0,-0.0
5.005,-0.0,0.0,0.0
5.106,0.0,0.0,-0.0
5.207,0.1,-0.0,-0.0
5.314,0.1,-0.0,-0.0
5.405,0.1,-0.0,-0.0
5.508,0.2,-0.0,-0.0
5.606,-0.0,0.1,-0.0
5.717,-0.3,0.1,0.2
5.817,-0.2,0.3,-0.6
5.908,0.2,-0.0,0.2
6.002,-0.0,-0.3,0.2
6.12,-0.7,-0.4,-0.1
6.209,-0.1,-0.4,-0.0
6.299,-0.0,-0.1,-0.0
6.403,-0.1,-0.1,0.0
6.535,0.0,-0.0,0.0
6.607,0.0,-0.1,-0.1
6.712,0.0,0.0,-0.0
6.795,-0.0,0.1,0.0
