gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.135,-0.1,0.1,0.0
0.239,-0.0,0.1,0.1
0.344,-0.2,0.3,0.1
0.467,-4.3,0.7,0.1
0.527,-5.8,2.0,2.8
0.614,-2.1,3.6,6.8
0.71,-0.4,5.9,4.8
0.821,-1.6,0.7,-1.8
0.932,-1.8,-2.4,-1.4
1.039,-0.2,-0.6,-0.6
1.146,1.3,0.3,-1.6
1.234,2.2,-1.5,-2.4
1.329,1.6,0.1,-1.4
1.434,1.0,1.4,0.1
1.543,1.2,0.7,1.0
1.632,-0.8,-0.6,0.1
1.739,-2.5,-0.2,0.2
1.802,-0.8,1.5,1.9
1.911,0.2,2.1,2.5
2.022,-0.3,0.4,0.1
2.113,0.0,-2.5,-1.8
2.216,-1.9,-2.1,-1.8
2.331,1.1,-1.2,-1.0
2.44,1.8,-0.6,-0.8
2.521,1.3,1.2,-0.0
2.608,0.8,1.8,0.1
2.757,1.6,2.0,0.7
2.835,0.8,0.6,1.1
2.935,-3.3,-0.6,-0.7
3.039,-1.2,0.3,0.1
3.131,0.0,0.4,2.0
3.231,-2.1,-0.4,-1.7
3.359,1.9,-1.9,-1.3
3.452,-0.9,-2.2,-1.6
3.536,-0.9,-1.2,-1.5
3.642,0.3,0.8,0.1
3.737,1.5,3.3,3.0
3.845,4.5,5.2,2.9
3.932,2.3,-0.6,1.2
4.04,-0.6,-3.3,0.1
4.146,-1.3,-2.5,-0.9
4.231,1.3,-1.0,-1.1
4.311,0.4,0.5,-0.6
4.416,-0.1,-0.3,-1.2
4.516,1.5,0.6,-1.4
4.663,0.4,0.3,-0.3
4.746,-1.4,0.6,0.5
4.832,-0.4,0.8,1.9
4.943,0.3,2.3,3.2
5.037,2.6,3.3,1.3
5.138,2.7,-2.0,-0.4
5.239,0.5,-3.8,-1.8
5.363,-0.9,-0.9,-1.0
5.463,-0.8,-0.8,0.6
5.513,-1.7,-0.8,0.1
5.605,-2.0,-0.7,0.4
5.734,0.6,0.7,1.0
5.816,0.8,0.7,1.1
5.917,-0.1,1.4,1.3
6.024,2.3,2.0,0.5
6.135,4.1,-0.0,-0.4
6.21,1.9,-1.4,-1.7
6.439,-0.6,-0.6,-2.3
6.455,-0.5,1.4,1.0
6.559,1.9,-0.2,3.4
6.64,1.9,0.7,0.0
6.743,1.6,-0.8,-1.3
6.842,-0.1,-1.8,-1.3
6.967,0.2,-0.1,-0.7
7.041,1.7,0.4,0.3
7.136,0.3,0.5,-0.3
7.239,0.6,1.5,0.6
7.364,3.9,2.7,1.2
7.434,1.3,-0.0,0.7
7.551,-1.4,-0.3,-0.3
7.629,2.1,0.9,1.4
7.831,1.2,-0.9,0.6
7.943,-4.4,-3.8,-3.8
7.952,-1.3,-1.2,0.9
8.041,-1.3,1.6,0.7
8.229,-0.5,0.7,0.8
8.34,-0.2,0.3,1.8
8.442,-0.4,1.5,0.2
8.533,3.2,0.8,-0.6
8.628,3.2,-1.2,-1.0
8.731,0.0,-1.4,-1.6
8.838,-1.8,-0.8,-0.9
8.929,-1.2,0.2,2.2
9.011,0.6,1.1,1.2
9.134,0.3,0.2,-0.2
9.221,-2.1,-1.5,-0.6
9.303,-2.2,-0.4,0.2
9.438,2.2,1.9,2.4
9.505,4.9,3.1,2.7
9.617,0.4,-1.0,0.4
9.71,0.8,-1.7,-0.8
9.81,2.2,-3.6,-1.2
9.909,3.1,-2.6,-1.0
10.058,0.9,-0.2,-1.4
10.143,2.1,0.4,-0.8
10.234,2.3,1.5,-1.2
10.343,2.4,2.2,-1.4
10.456,3.4,1.9,-0.8
10.533,2.5,0.9,-0.7
10.629,1.4,-0.6,-2.8
10.745,1.1,-0.0,-1.2
10.833,1.7,-0.3,-0.7
10.933,0.8,-1.4,-0.4
11.033,0.9,-2.0,-0.5
11.147,1.5,-1.7,-0.2
11.23,1.4,-1.1,0.2
11.308,1.7,-0.6,0.8
11.424,1.9,0.8,1.8
11.624,0.4,0.3,0.3
11.713,0.2,0.4,0.2
11.768,0.3,0.4,0.2
11.833,-0.2,0.5,0.5
11.972,-0.6,0.3,0.7
12.044,0.2,0.6,0.1
12.114,-0.5,0.3,0.2
12.228,-0.3,0.5,0.5
12.34,-0.6,0.6,0.3
12.477,-0.7,0.6,0.1
12.544,0.1,0.8,-0.3
12.623,0.0,0.2,-0.9
12.731,0.8,0.1,-0.6
12.911,0.9,0.6,-0.1
13.009,-0.6,0.1,0.0
13.146,-0.4,-0.4,0.0
13.239,-1.0,-0.4,0.4
13.247,-0.2,-1.3,0.5
13.34,0.9,-0.7,0.4
13.481,-1.7,-0.3,1.1
13.638,-0.8,2.3,-1.0
13.646,1.7,0.9,-1.1
13.736,0.7,-0.3,-0.1
13.859,1.7,-0.1,0.2
13.95,0.1,-0.1,0.5
14.036,0.7,-0.2,0.3
14.115,0.7,-1.0,0.3
14.305,0.1,-1.7,0.4
14.431,-0.2,-0.9,1.3
14.534,0.2,0.4,1.2
14.546,-0.5,-0.7,1.1
14.663,0.2,-1.5,1.4
14.744,0.0,-1.6,1.6
14.843,0.4,1.7,1.8
15.047,-0.4,1.7,1.0
15.139,-0.8,0.5,0.7
15.202,-1.7,0.6,-0.1
15.306,0.3,2.0,1.3
15.415,0.3,2.6,1.8
15.507,0.5,1.6,2.3
15.603,-1.2,0.2,0.6
15.722,0.8,-1.2,0.3
15.835,0.6,-1.4,0.8
15.909,0.0,-0.8,0.7
16.009,0.4,1.1,0.8
16.141,-0.8,0.5,0.9
16.236,-0.0,-0.0,-0.9
16.377,0.8,-0.4,-1.3
16.459,0.3,1.2,-1.1
16.543,-0.5,1.3,-1.1
16.623,0.4,0.9,-0.3
16.734,0.0,-0.8,-0.1
16.834,-0.2,-1.1,0.2
16.943,-0.3,-0.2,0.6
17.028,-0.3,0.7,0.4
17.108,0.1,-0.5,0.5
17.209,0.1,-0.9,1.2
17.375,1.9,-0.6,1.5
17.461,-1.0,0.5,1.0
17.532,-3.0,-0.1,-0.7
17.615,-3.1,-0.3,-1.4
17.736,-0.4,-2.4,0.0
17.841,0.9,0.1,3.2
17.939,-0.6,-0.2,1.8
18.043,1.3,0.2,1.3
18.131,0.7,0.6,1.9
18.236,0.6,3.2,3.0
18.364,-0.8,1.1,1.9
18.436,1.4,0.1,0.7
18.521,-0.3,0.9,0.7
18.609,0.6,-0.7,0.5
18.712,1.2,-1.1,-0.3
18.83,-1.0,-0.4,-0.7
18.921,2.2,0.5,-0.6
19.014,-1.0,0.7,-0.4
19.123,-0.7,0.2,0.7
19.226,-0.2,-0.6,0.3
19.35,0.3,-0.8,0.0
19.409,0.5,0.4,0.1
19.525,-0.2,1.7,-0.5
19.666,-0.8,1.1,-0.2
19.734,-0.6,-0.3,-0.1
19.839,-1.6,-1.8,0.2
19.931,-0.1,-2.1,0.7
20.052,-0.4,-0.3,1.4
20.134,-0.1,0.9,1.7
20.246,0.1,-0.3,1.5
20.366,0.8,-1.5,2.1
20.445,2.9,-0.9,3.4
20.537,-0.2,1.6,1.8
20.635,-0.4,2.1,-0.3
20.723,-0.4,0.9,-0.9
20.806,-2.1,1.5,-1.6
20.914,-3.1,5.2,-1.2
21.026,-1.1,4.5,0.0
21.192,-6.5,2.2,1.0
21.321,-6.5,0.8,1.2
21.359,-2.5,-0.9,1.6
21.478,-1.6,-1.0,-0.5
21.632,-1.2,-1.7,-1.7
21.64,-1.9,-1.2,-2.9
21.744,2.6,1.0,-0.8
21.813,0.1,1.5,0.1
22.033,-4.8,-1.0,0.1
22.044,0.6,1.6,0.1
22.137,1.4,0.7,1.1
22.232,1.4,0.8,0.9
22.356,-0.7,-0.7,0.2
22.477,-1.3,-1.0,-1.3
22.533,0.3,-0.5,-0.8
22.647,1.2,0.4,-0.4
22.748,0.8,0.3,-0.4
22.831,0.5,0.0,-0.5
22.939,0.5,0.4,0.0
23.052,0.2,0.5,0.6
23.139,-0.4,0.3,0.6
23.325,-0.6,0.0,0.1
23.455,2.6,-0.6,-0.4
23.532,4.0,-3.2,-0.4
23.637,1.7,-3.9,0.2
23.735,0.6,-2.3,0.3
23.844,0.7,-0.9,-0.2
23.931,0.7,-0.6,-0.1
24.055,0.3,-0.8,0.1
24.182,0.3,-0.3,-0.0
24.192,0.3,-0.4,0.2
24.334,0.0,-0.4,0.1
24.503,-0.3,-0.2,-0.2
24.554,-0.3,-0.2,-0.2
24.633,0.5,-0.3,0.7
24.739,-0.3,0.0,-0.1
24.799,-0.4,0.0,-0.8
24.919,-0.7,0.1,-0.5
25.015,-0.1,0.2,-0.3
25.099,0.1,0.1,-0.1
25.203,0.1,0.0,0.1
25.301,0.3,0.1,0.1
25.463,1.0,0.0,0.2
25.557,-0.2,0.0,0.7
25.631,-0.4,-0.3,0.3
25.708,0.4,-0.0,-0.6
25.816,-0.2,-0.3,-0.4
25.947,-0.5,0.4,0.0
26.062,-0.6,0.2,-0.1
26.157,-0.1,0.2,-0.1
26.263,-0.2,-0.0,-0.1
