accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,1.5,1.3,9.4
0.003,1.3,1.3,10.0
0.005,1.1,0.9,10.1
0.006,0.7,0.5,10.2
0.1,0.9,0.0,9.3
0.102,1.1,1.3,9.8
0.104,0.7,1.1,9.5
0.105,0.7,1.5,9.5
0.2,0.5,1.3,9.5
0.206,0.7,1.1,9.7
0.208,0.9,1.2,9.8
0.21,0.7,0.9,10.0
0.301,0.2,1.1,9.6
0.302,0.6,1.2,9.5
0.304,0.4,1.0,9.2
0.306,0.3,0.9,9.2
0.4,-0.1,1.1,8.5
0.402,-0.1,1.2,8.4
0.404,-0.0,0.5,8.1
0.405,-0.3,0.4,8.7
0.5,-0.9,-0.5,9.1
0.502,-1.4,0.1,9.2
0.507,-1.6,0.5,9.1
0.509,-1.0,-0.1,8.7
0.625,-1.0,-1.1,8.0
0.627,-1.1,-1.5,8.0
0.629,-1.1,-1.8,7.8
0.634,-1.3,-2.2,7.6
0.702,-1.7,-2.6,7.5
0.703,-2.0,-3.0,7.6
0.705,-2.0,-3.4,7.3
0.715,-2.3,-3.4,7.1
0.733,-3.5,-4.8,7.2
0.8,-4.0,-5.1,7.4
0.802,-5.0,-5.2,7.7
0.803,-6.7,-4.9,7.8
0.906,-8.7,-8.1,5.5
0.908,-7.3,-8.9,4.7
0.914,-6.5,-7.1,3.9
0.916,-6.5,-5.8,3.6
1.027,-7.7,-6.4,3.1
1.029,-7.1,-6.7,3.3
1.03,-7.6,-6.5,2.6
1.037,-8.3,-6.1,1.9
1.104,-8.5,-8.5,0.5
1.105,-8.5,-6.0,0.4
1.121,-9.4,-5.1,0.4
1.123,-9.5,-4.2,1.1
1.126,-7.4,-2.8,0.7
1.224,-7.4,-2.4,-0.2
1.225,-8.1,-2.3,-0.5
1.227,-8.4,-1.7,-0.2
1.328,-8.6,-2.3,-1.3
1.33,-7.9,-1.4,-0.9
1.331,-8.8,-0.4,0.4
1.333,-8.8,-0.7,-0.1
1.425,-8.6,-1.5,-1.6
1.427,-8.4,-1.1,-1.3
1.428,-9.8,-0.1,-1.9
1.43,-10.9,-0.5,-2.8
1.525,-10.1,1.6,-2.1
1.535,-11.7,2.3,-3.1
1.536,-10.8,2.1,-4.0
1.538,-10.8,1.5,-3.5
1.625,-11.0,3.2,-3.9
1.633,-10.3,3.9,-4.0
1.635,-11.4,3.8,-4.6
1.636,-15.2,8.2,-5.1
1.726,-11.7,-3.3,-3.0
1.729,-11.9,-1.3,-1.5
1.73,-11.5,1.3,-0.1
1.736,-9.6,1.3,0.3
1.825,-8.7,-2.0,-2.7
1.827,-8.8,-1.6,-3.2
1.832,-10.0,1.7,-1.3
1.834,-10.3,1.5,-0.6
1.925,-14.5,-0.6,-2.4
1.927,-12.7,-3.2,-2.5
1.942,-8.2,-0.6,-1.7
1.947,-8.0,-0.7,-2.2
2.025,-10.8,-1.3,-1.0
2.027,-10.0,-1.8,0.7
2.028,-9.6,-2.4,-1.7
2.03,-9.8,-0.8,-1.1
2.124,-9.7,-2.9,-0.3
2.126,-9.6,-2.7,-1.9
2.128,-9.7,-2.4,0.4
2.129,-10.0,-2.1,-0.0
2.225,-9.6,-2.1,0.9
2.227,-9.8,-3.0,-0.1
2.228,-9.2,-2.2,-0.7
2.234,-9.7,-3.1,0.3
2.325,-9.5,-3.0,-0.1
2.326,-9.2,-3.6,0.3
2.328,-9.3,-3.6,0.1
2.33,-9.0,-3.2,0.5
2.425,-8.8,-4.2,1.2
2.426,-8.7,-4.0,1.7
2.428,-8.3,-5.8,1.7
2.433,-8.4,-4.6,2.0
2.525,-8.4,-4.3,1.7
2.526,-8.7,-4.3,1.9
2.528,-8.5,-3.8,2.0
2.53,-8.7,-5.2,1.6
2.626,-8.5,-5.2,2.1
2.627,-8.6,-5.6,2.5
2.629,-8.4,-5.3,2.5
2.639,-8.3,-4.9,2.8
2.725,-8.5,-4.5,3.7
2.726,-8.5,-4.5,3.6
2.728,-8.7,-4.6,4.0
2.73,-8.2,-3.6,2.5
2.825,-8.4,-6.4,1.3
2.826,-7.6,-6.7,1.2
2.828,-7.5,-6.2,0.1
2.834,-7.7,-6.7,-0.4
2.931,-7.2,-4.8,2.7
2.933,-7.7,-4.3,4.8
