accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,-0.2,3.2,9.4
0.002,-0.3,2.9,7.3
0.003,0.6,4.3,10.5
0.009,0.1,2.3,9.3
0.116,0.6,3.1,9.5
0.117,-0.1,3.0,9.1
0.132,0.5,3.1,9.1
0.134,-0.1,2.9,9.3
0.198,-0.2,3.9,9.2
0.204,-0.2,3.4,9.0
0.205,0.1,3.4,9.0
0.207,0.2,3.5,9.0
0.327,0.0,3.6,8.8
0.328,0.0,3.3,8.7
0.33,0.1,3.4,8.7
0.331,0.1,3.4,8.7
0.425,0.0,3.3,8.5
0.427,-0.1,3.1,8.4
0.428,-0.2,3.1,8.2
0.43,-0.0,3.2,8.0
0.434,-0.4,3.3,6.9
0.521,-0.7,3.1,6.3
0.522,-0.7,2.5,5.6
0.524,-0.8,1.9,4.7
0.527,-1.6,0.6,6.4
0.62,-2.5,0.7,7.7
0.622,-2.9,0.5,8.2
0.624,-3.6,-0.4,8.1
0.721,-5.5,-2.2,7.7
0.722,-5.6,-2.4,7.5
0.724,-5.8,-2.3,6.8
0.739,-6.2,-2.5,6.4
0.821,-8.0,-3.6,5.7
0.823,-8.6,-3.5,4.9
0.826,-8.5,-3.2,4.4
0.84,-9.2,-3.2,4.0
0.921,-11.2,-3.8,3.4
0.923,-12.0,-3.9,3.2
0.925,-12.7,-4.1,3.2
0.926,-13.0,-4.1,3.0
1.028,-12.6,-4.6,2.6
1.03,-12.2,-5.2,2.8
1.032,-11.5,-5.5,3.5
1.033,-10.7,-5.0,4.3
1.126,-9.9,-4.4,4.1
1.129,-9.9,-4.4,4.4
1.143,-9.8,-3.7,4.4
1.145,-9.7,-3.7,3.8
1.22,-9.1,-4.3,3.6
1.222,-9.1,-4.4,3.4
1.224,-9.1,-4.2,3.3
1.225,-9.1,-4.4,3.1
1.32,-8.9,-5.0,3.0
1.321,-9.1,-5.2,2.8
1.323,-9.2,-5.5,2.6
1.325,-9.7,-5.8,2.6
1.42,-12.2,-5.8,3.0
1.423,-11.8,-5.5,2.9
1.425,-11.3,-5.0,2.7
1.428,-11.2,-4.5,2.4
1.521,-11.0,-3.9,2.4
1.537,-10.8,-4.0,2.2
1.54,-10.4,-3.7,2.2
1.542,-10.5,-3.5,2.0
1.621,-11.5,-2.8,1.6
1.624,-11.8,-2.6,1.6
1.626,-11.7,-2.5,1.6
1.635,-11.4,-2.5,1.8
1.721,-9.9,-2.2,1.6
1.722,-8.9,-2.2,1.4
1.724,-8.2,-2.3,1.3
1.726,-8.0,-2.2,1.1
1.824,-7.5,-2.4,0.7
1.826,-7.5,-2.4,0.7
1.828,-7.4,-2.4,0.7
1.829,-7.2,-2.4,0.7
1.92,-7.0,-2.4,0.8
1.925,-7.2,-2.5,1.1
1.927,-7.6,-2.5,1.1
1.929,-7.6,-2.6,1.2
2.021,-8.6,-2.8,1.9
2.023,-10.5,-2.8,1.9
2.025,-12.8,-2.6,1.9
2.027,-13.8,-2.7,2.3
2.12,-11.3,-2.8,4.1
2.122,-10.0,-2.1,4.3
2.124,-8.2,-1.7,3.6
2.126,-7.7,-2.0,2.6
2.228,-11.3,-2.7,2.6
2.23,-12.3,-3.2,2.8
2.232,-11.8,-3.6,3.3
2.235,-10.1,-3.9,3.7
2.324,-7.8,-3.7,3.3
2.325,-7.3,-3.7,3.4
2.327,-7.1,-3.8,3.3
2.329,-7.0,-3.8,3.2
2.4,-7.4,-4.1,3.0
2.403,-7.7,-4.3,3.0
2.405,-7.8,-4.3,2.9
2.406,-7.9,-4.5,2.7
2.522,-8.6,-5.0,2.5
2.527,-9.1,-5.3,2.4
2.529,-9.7,-5.4,2.2
2.621,-11.0,-5.6,2.1
2.625,-14.3,-5.6,2.6
2.631,-13.6,-5.3,2.4
2.633,-12.1,-4.9,2.1
2.643,-11.1,-4.5,2.0
2.722,-8.2,-3.8,2.0
2.723,-8.3,-3.8,1.7
2.725,-9.8,-3.7,1.5
2.727,-11.4,-3.5,1.5
2.822,-12.9,-2.6,2.3
2.823,-11.9,-2.7,2.7
2.825,-11.0,-2.8,2.6
2.827,-9.9,-2.2,2.4
2.922,-8.3,-1.8,1.8
2.924,-7.8,-2.1,1.7
2.925,-7.6,-2.3,1.5
2.932,-7.3,-2.5,1.3
3.021,-6.5,-2.7,0.8
3.023,-6.2,-3.0,1.0
3.033,-6.3,-3.3,1.6
3.034,-6.6,-3.1,1.8
3.122,-6.8,-2.8,1.4
3.123,-7.3,-2.5,1.4
3.125,-8.2,-2.5,1.6
3.126,-9.7,-2.5,1.8
3.227,-10.8,-2.8,2.4
3.229,-10.3,-3.1,3.2
3.23,-11.1,-2.8,4.0
3.232,-11.4,-2.4,3.8
3.323,-9.9,-2.3,3.2
3.325,-9.2,-2.4,2.9
3.332,-9.3,-2.5,2.6
3.334,-10.3,-2.4,2.7
3.422,-11.9,-2.7,3.6
3.431,-11.7,-3.4,3.7
3.433,-10.2,-2.8,4.1
3.435,-9.3,-2.6,3.3
3.525,-7.6,-3.1,2.5
3.527,-7.3,-3.3,2.8
3.528,-7.1,-3.5,2.7
3.53,-7.0,-3.7,2.7
3.628,-7.0,-4.5,3.5
3.63,-7.0,-4.7,3.2
3.632,-7.2,-4.9,2.9
3.634,-7.6,-5.3,2.6
3.721,-9.6,-6.9,1.6
3.723,-10.9,-7.4,1.2
3.725,-13.4,-7.9,1.1
3.726,-16.0,-8.0,1.6
3.83,-10.4,-6.3,1.3
3.832,-8.6,-5.6,1.4
3.834,-6.7,-4.7,1.7
3.92,-6.8,-4.6,1.1
3.923,-10.5,-5.0,0.1
3.925,-11.8,-4.8,0.4
3.933,-12.5,-4.4,1.1
4.02,-12.4,-3.8,1.8
4.023,-12.3,-1.7,1.6
4.025,-11.2,-1.1,1.3
4.026,-10.3,-1.0,1.2
4.123,-10.2,-1.1,1.1
4.126,-11.1,-1.5,0.4
4.128,-10.8,-1.8,0.0
4.133,-10.6,-1.5,-0.0
4.195,-9.9,-1.6,-0.1
4.206,-7.7,-1.0,0.1
4.216,-6.4,-1.8,0.4
4.218,-5.5,-1.9,1.1
4.318,-5.0,-2.5,1.3
4.321,-3.8,-1.6,2.1
4.327,-2.9,-0.3,3.2
4.422,-1.7,-0.7,7.0
4.425,-1.1,-3.1,12.4
4.429,-3.7,-6.6,2.5
4.431,-0.1,-3.1,3.1
4.433,1.8,-2.9,5.9
4.52,-2.5,-3.3,10.7
4.523,-4.1,-6.5,7.9
4.525,-4.6,-3.0,6.4
4.53,-8.9,-2.6,5.0
4.619,-11.3,-3.3,3.4
4.622,-12.8,-1.5,5.4
4.624,-10.9,-1.3,4.6
4.625,-8.1,-0.9,2.4
4.72,-5.1,-0.1,0.6
4.723,-0.1,-2.2,0.9
4.724,-4.0,-5.8,2.0
4.726,-9.4,-10.6,2.1
4.819,-12.0,-6.8,-0.7
4.823,-17.1,-10.6,9.1
4.824,-16.0,-10.3,6.5
4.826,-15.3,-15.0,8.0
4.92,-15.4,-4.9,14.8
4.923,-0.0,3.1,31.9
4.925,3.9,5.9,39.2
4.934,-6.1,-0.1,35.7
5.02,-5.2,-2.0,22.4
5.023,3.7,-6.7,6.4
5.025,5.4,0.8,4.3
5.026,6.2,-2.8,5.6
5.12,6.5,1.7,4.9
5.125,0.3,6.2,3.3
5.126,2.2,10.6,3.0
5.128,3.3,8.5,1.4
5.22,2.5,7.8,0.7
5.228,-2.0,5.4,2.0
5.23,-0.6,6.7,1.7
5.231,0.3,7.5,2.5
5.319,0.7,4.6,3.9
5.323,1.5,5.5,3.3
5.332,1.0,2.3,2.7
5.334,-0.5,2.5,4.6
5.421,-0.9,4.7,6.2
5.424,-3.4,1.2,8.2
5.426,-4.2,9.5,9.8
5.52,-5.0,13.1,11.3
5.522,-4.5,14.1,13.0
5.525,-2.4,15.4,14.0
5.527,-4.3,10.5,10.3
5.536,-4.0,5.8,9.6
5.619,-4.9,3.0,9.8
5.623,-3.2,1.7,6.5
5.624,-2.8,1.8,5.8
5.724,-3.0,1.3,4.1
5.726,-3.3,1.9,5.1
5.737,-6.0,1.2,6.4
5.739,-7.2,5.6,8.4
5.819,-8.3,5.3,7.8
5.824,-7.9,6.3,7.9
5.828,-7.4,3.8,5.7
5.829,-7.1,2.7,5.1
5.92,-7.2,2.8,5.3
5.921,-7.3,5.6,6.2
5.925,-5.7,8.0,7.1
5.926,-4.8,5.6,6.4
6.019,-4.0,3.4,5.7
6.021,-3.7,2.4,5.7
6.029,-4.4,4.1,6.1
6.03,-5.0,4.9,6.4
6.12,-5.7,5.2,6.3
6.122,-6.0,5.5,6.0
6.133,-5.8,5.4,6.4
6.138,-5.6,5.1,6.6
6.22,-5.2,5.0,6.7
6.221,-5.0,5.2,6.7
6.231,-4.9,5.5,6.8
6.232,-4.9,5.4,6.8
6.319,-5.0,5.1,6.8
6.32,-4.9,4.8,6.7
6.324,-5.0,4.6,6.5
6.331,-5.1,4.6,6.4
6.419,-5.2,4.6,6.4
6.42,-5.2,4.7,6.4
6.43,-5.2,4.7,6.6
6.431,-5.2,4.7,6.6
6.519,-5.3,4.7,6.7
6.537,-5.3,4.8,6.7
6.54,-5.3,4.8,6.5
6.542,-5.2,4.8,6.5
