accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.0,0.0,6.6,7.7
0.001,-0.5,5.5,8.0
0.003,-0.5,4.9,8.1
0.007,-0.3,5.7,8.1
0.123,0.1,6.5,7.6
0.125,1.1,6.8,8.2
0.126,0.5,6.4,7.8
0.133,-0.3,6.0,7.9
0.228,0.3,6.0,7.8
0.23,0.2,6.0,8.0
0.231,-0.1,6.1,8.1
0.233,0.1,5.9,8.2
0.324,-0.2,5.1,8.3
0.326,-0.3,5.1,8.2
0.328,0.1,5.5,8.3
0.329,0.2,5.4,8.1
0.437,-0.2,5.3,7.7
0.439,0.1,5.4,7.4
0.441,-0.2,5.5,7.4
0.442,-0.7,5.1,7.9
0.542,-1.9,4.0,6.5
0.544,-2.1,3.5,6.3
0.545,-0.0,3.5,7.0
0.547,-0.1,4.2,7.2
0.624,0.3,3.4,7.7
0.626,1.2,2.8,8.5
0.628,1.6,2.2,9.4
0.629,1.4,2.2,9.6
0.724,1.7,2.6,9.2
0.726,2.0,2.8,9.1
0.734,2.4,1.9,9.2
0.744,2.8,0.3,9.3
0.824,1.6,-0.6,9.4
0.826,1.3,-0.3,9.0
0.828,1.5,0.0,8.1
0.829,1.5,0.6,6.9
0.932,-0.3,0.1,5.6
0.934,-1.5,-1.9,5.0
0.936,-3.1,-3.4,4.2
0.937,-4.2,-3.2,3.5
1.024,-5.0,-1.0,2.9
1.026,-6.7,-0.4,2.5
1.028,-9.9,-0.9,1.7
1.029,-13.2,-2.0,1.2
1.125,-16.2,-4.8,1.1
1.126,-17.5,-4.1,1.0
1.136,-20.7,-4.3,-0.1
1.138,-23.8,-5.6,-1.5
1.234,-20.2,-8.2,-1.1
1.236,-15.8,-8.8,0.3
1.238,-12.0,-7.8,0.6
1.243,-9.7,-4.8,0.9
1.324,-11.0,-1.7,0.8
1.326,-11.0,-3.1,0.4
1.328,-9.9,-4.4,0.5
1.329,-8.8,-4.5,1.6
1.429,-7.9,-3.4,0.7
1.43,-7.2,-3.6,0.8
1.432,-7.0,-4.1,1.3
1.434,-7.2,-4.1,1.5
1.528,-7.7,-3.1,0.6
1.543,-8.0,-3.5,0.7
1.544,-8.8,-4.6,1.7
1.546,-10.1,-5.4,1.6
1.626,-11.9,-4.4,1.7
1.628,-12.6,-4.3,1.8
1.629,-12.4,-3.7,1.2
1.631,-12.0,-2.9,1.1
1.726,-14.3,-3.0,2.4
1.731,-13.0,-1.3,2.6
1.733,-10.7,-0.2,2.2
1.734,-9.4,-0.5,2.2
1.826,-9.7,-1.3,1.3
1.827,-9.5,-3.1,-0.0
1.829,-10.1,-3.9,-0.1
1.831,-9.7,-4.2,-0.1
1.938,-8.9,-4.0,-0.3
1.939,-8.6,-2.9,-0.5
1.941,-8.1,-2.0,-0.3
1.943,-7.7,-1.8,0.2
2.026,-8.1,-2.0,0.2
2.027,-8.7,-2.2,0.1
2.029,-9.2,-2.4,0.1
2.031,-9.4,-2.6,-0.1
2.126,-9.2,-2.5,0.1
2.127,-10.0,-2.3,-0.1
2.133,-10.3,-1.6,-0.3
2.135,-9.6,-1.3,-0.0
2.226,-12.0,-2.3,-0.7
2.228,-13.2,-3.4,-1.5
2.229,-10.0,-3.5,-0.2
2.231,-6.1,-3.7,1.9
2.326,-5.6,-2.3,2.0
2.327,-8.0,-1.8,1.7
2.329,-10.0,-2.8,1.2
2.331,-11.4,-3.7,0.8
2.43,-12.5,-7.7,-0.0
2.431,-10.9,-5.0,0.6
2.433,-9.7,-2.0,1.6
2.435,-8.8,-2.1,1.3
2.525,-7.7,-3.7,0.5
2.527,-8.2,-3.4,0.3
2.528,-9.1,-3.5,-0.5
2.53,-9.6,-4.2,-0.6
2.625,-10.3,-5.0,-0.2
2.627,-9.9,-4.9,-0.1
2.629,-9.4,-4.7,-0.3
2.645,-11.8,-4.9,0.5
2.725,-12.9,-5.0,0.5
2.727,-8.5,-4.5,1.3
2.728,-8.1,-4.3,0.9
2.73,-11.9,-4.2,-0.6
2.825,-13.4,-3.2,-1.1
2.827,-10.6,-2.8,0.1
2.828,-9.5,-2.7,1.2
2.83,-10.1,-2.4,1.0
2.929,-9.9,-1.0,0.6
2.93,-9.0,-1.2,0.5
2.932,-8.9,-1.8,-0.4
2.934,-9.0,-2.5,-1.0
3.025,-8.5,-3.5,-0.6
3.027,-8.4,-2.9,0.3
3.036,-8.2,-2.7,0.4
3.038,-7.4,-3.0,0.7
3.124,-6.0,-6.6,1.0
3.126,-5.0,-7.2,1.7
3.128,-3.9,-7.2,3.0
3.223,-3.0,-8.2,4.2
3.227,-2.4,-8.9,3.5
3.228,-1.3,-9.1,3.7
3.23,-0.5,-8.0,3.5
3.323,-0.1,-5.5,4.5
3.327,0.5,-5.5,3.2
3.328,1.5,-6.4,2.4
3.33,3.1,-4.7,2.1
3.426,5.9,-2.6,1.5
3.43,7.6,-3.1,1.7
3.447,5.0,-2.9,1.1
3.449,3.4,-1.9,-0.4
3.527,3.4,-2.6,1.1
3.53,1.9,-5.2,4.5
3.532,0.3,-3.0,3.4
3.533,-0.1,-1.2,4.1
3.623,2.8,-2.7,4.7
3.627,14.1,-4.0,1.6
3.628,14.0,-4.4,-2.8
3.633,10.4,-5.6,-6.0
3.728,10.2,-3.8,-2.5
3.731,3.5,-8.1,-6.5
3.733,1.3,-6.6,-12.6
3.734,-1.3,-1.4,-12.1
3.823,-12.7,4.1,-18.8
3.839,-8.1,39.0,38.5
3.841,-38.8,38.7,6.7
3.843,-38.6,3.9,5.7
3.927,0.1,-39.2,-7.0
3.93,-12.1,-20.1,14.9
3.932,-10.5,-20.6,13.5
3.934,-15.1,-7.4,-4.3
4.022,-11.5,10.3,2.0
4.026,11.2,-0.1,8.4
4.027,4.8,-4.7,9.4
4.029,-1.5,15.2,6.8
4.123,-1.1,14.1,4.3
4.126,-3.9,-0.9,-3.4
4.128,-4.4,-2.2,0.1
4.13,-3.9,0.7,2.5
4.224,-2.9,3.9,2.1
4.235,-1.5,-0.4,-1.0
4.237,-0.3,-0.3,0.9
4.238,1.6,1.2,1.4
4.323,3.7,3.4,0.6
4.33,0.6,2.4,0.1
4.332,-1.6,3.1,-0.9
4.333,-4.0,3.6,-2.6
4.428,-8.0,1.0,-1.7
4.431,-19.7,-6.1,-1.1
4.433,-24.4,-13.5,-16.3
4.434,-38.8,20.8,38.1
4.523,-7.7,24.2,39.1
4.526,-2.3,-7.0,-11.5
4.528,-1.0,-1.9,-6.4
4.53,-0.7,3.7,-8.1
4.623,2.4,2.2,8.3
4.626,1.1,4.4,19.5
4.628,5.6,-4.3,4.2
4.63,7.5,-8.7,1.2
4.727,3.3,-16.8,4.8
4.73,1.5,-11.0,7.8
4.732,1.2,-7.8,9.5
4.733,0.3,2.9,9.9
4.822,0.3,9.7,11.5
4.826,-1.7,-9.8,6.3
4.83,-0.1,-11.4,4.8
4.93,1.7,-7.0,5.4
4.932,0.6,-1.2,9.6
4.937,-0.3,-8.2,10.6
4.939,0.1,-7.0,8.9
5.023,0.5,-1.8,7.9
5.033,0.5,-2.9,8.7
5.036,-0.2,-4.8,8.6
5.038,0.6,-3.8,8.9
5.124,0.5,-5.0,9.1
5.126,0.0,-5.2,9.0
5.131,0.7,-3.8,9.0
5.133,0.2,-4.1,8.9
5.223,-0.0,-4.2,8.6
5.224,0.3,-3.6,8.6
5.231,-0.1,-4.2,8.6
5.233,-0.2,-4.7,8.7
5.324,0.1,-4.3,8.9
5.326,0.2,-3.6,9.3
5.33,-0.1,-3.4,9.3
5.345,-0.2,-3.8,9.2
5.423,-0.3,-3.9,9.1
5.425,-0.4,-4.1,9.1
5.428,-0.1,-4.0,8.8
5.433,-0.3,-3.4,9.1
5.523,-0.5,-3.3,8.9
5.53,-0.4,-3.7,9.2
5.534,-0.0,-3.6,8.9
5.535,-0.3,-3.5,9.4
5.624,-0.5,-3.0,9.3
5.632,-0.5,-3.7,9.3
5.635,-0.5,-4.1,9.2
5.637,-0.4,-3.4,9.2
5.723,-0.5,-3.3,9.3
5.725,-0.8,-3.3,9.2
5.737,-0.3,-3.2,9.2
5.738,-0.3,-3.3,8.9
5.823,-0.3,-3.5,9.0
5.825,-0.5,-3.4,9.1
5.832,-0.4,-4.0,9.3
5.833,-1.0,-3.8,10.2
5.927,-1.4,-3.2,9.7
5.929,-1.0,-2.8,9.4
5.936,-1.0,-3.8,9.0
5.938,-1.2,-3.8,9.1
6.023,-1.5,-3.2,9.0
6.026,-1.5,-2.7,9.0
6.03,-2.0,-3.6,8.8
6.031,-2.0,-3.0,9.3
6.123,-2.1,-2.6,9.3
6.125,-2.3,-3.2,9.3
6.137,-1.7,-2.9,9.1
6.139,-1.6,-3.0,9.0
6.223,-1.6,-3.3,9.5
6.225,-1.7,-3.6,10.7
6.235,-4.4,-7.0,7.9
6.236,-7.7,-3.1,6.5
6.324,-3.9,4.2,8.8
6.326,-3.8,6.0,5.6
6.329,-7.4,11.2,6.0
6.335,-5.4,12.7,7.9
6.424,-4.1,9.7,7.2
6.425,-5.1,8.6,5.1
6.433,-5.0,8.0,2.0
6.435,-5.3,8.6,0.1
6.523,-5.5,8.4,-0.2
6.533,-5.4,8.2,-0.5
6.536,-5.4,7.4,-1.3
6.623,-5.3,8.4,-1.7
6.626,-4.6,8.6,-1.6
6.628,-4.6,7.7,-2.0
6.633,-5.9,4.3,-2.3
6.723,-6.1,4.2,-2.1
6.725,-6.8,5.2,-2.4
6.727,-7.2,5.8,-3.1
6.731,-8.7,6.5,-3.4
6.823,-8.2,6.3,-3.4
6.825,-8.0,7.1,-3.2
6.826,-7.7,7.5,-2.8
6.83,-7.8,6.0,-3.6
6.927,-7.3,4.2,-4.3
6.937,-7.1,4.8,-4.6
6.944,-6.5,5.3,-5.0
6.948,-5.8,5.9,-4.0
7.026,-5.8,5.8,-3.7
7.028,-5.6,4.7,-4.3
7.029,-5.5,4.7,-4.4
7.033,-5.6,6.2,-4.6
7.123,-5.4,5.6,-5.1
7.124,-5.2,5.1,-5.2
7.126,-5.2,5.5,-4.9
7.129,-4.3,5.0,-5.7
7.223,-4.4,4.8,-5.2
7.225,-4.4,3.9,-6.6
7.227,-5.0,5.0,-5.4
7.234,-4.5,4.7,-5.4
7.326,-4.5,5.6,-5.2
7.327,-4.4,5.8,-5.3
7.329,-4.5,5.6,-5.4
7.332,-4.8,5.7,-6.1
7.423,-5.0,6.0,-5.9
7.453,-5.1,6.1,-5.8
7.454,-5.5,6.5,-5.9
7.462,-5.3,5.7,-5.8
7.523,-5.7,5.6,-5.6
7.524,-6.0,5.8,-5.7
7.526,-5.6,5.3,-5.7
7.529,-5.6,6.4,-5.5
7.623,-5.7,6.4,-5.3
7.626,-5.8,5.7,-5.7
7.628,-5.6,5.4,-5.6
7.645,-5.5,6.1,-5.4
7.724,-5.4,6.1,-5.7
7.727,-5.5,5.8,-5.7
7.729,-5.5,5.6,-6.0
7.736,-5.2,5.5,-6.3
7.829,-5.4,5.7,-6.3
7.83,-5.4,5.2,-6.9
7.832,-5.0,5.0,-8.3
7.835,-4.4,7.8,-8.4
7.932,-4.7,12.2,-3.0
7.933,-7.8,11.7,5.7
7.935,-6.7,14.3,8.5
7.938,-7.8,33.2,-12.8
8.023,-8.1,27.1,-17.3
8.024,-1.3,6.3,-17.8
8.026,3.3,-10.6,-20.7
8.047,-2.0,-16.4,-11.3
8.122,-3.6,-0.5,-16.0
8.125,-7.9,21.7,-35.8
8.128,-10.4,39.0,1.0
8.222,-4.2,10.5,-5.7
8.224,-9.5,10.2,-2.4
8.225,-8.7,13.9,4.0
8.227,-3.1,8.7,4.3
8.322,-6.1,4.1,-3.1
8.324,-6.8,3.3,-6.0
8.326,-6.4,5.2,-9.6
8.327,-6.2,8.2,-9.4
8.456,-6.6,7.1,-3.8
8.458,-5.5,6.3,-1.9
8.459,-5.7,7.3,-1.5
8.472,-6.3,7.9,-2.2
8.567,-5.9,5.2,-4.8
8.568,-5.7,5.5,-5.0
8.574,-5.3,6.4,-5.0
8.577,-5.6,6.7,-4.3
8.625,-5.9,6.3,-3.6
8.627,-5.5,6.5,-3.6
8.628,-5.6,6.9,-3.6
8.63,-5.8,7.2,-3.9
8.722,-5.5,6.5,-4.2
8.724,-5.7,6.3,-4.1
8.726,-5.5,6.6,-4.0
8.731,-5.4,6.6,-3.5
8.822,-5.7,7.7,-3.4
8.824,-5.4,7.4,-4.0
8.843,-5.7,6.5,-4.1
8.847,-5.6,7.3,-3.8
8.927,-5.3,11.1,-1.5
8.929,-5.4,10.5,-1.8
8.93,-5.7,8.6,-1.9
8.932,-6.3,8.6,-0.8
9.022,-6.2,8.4,-0.2
9.028,-4.9,5.8,-0.4
9.029,-5.8,5.2,-0.1
9.031,-6.7,5.5,-0.4
9.122,-3.5,2.0,1.2
9.124,-3.5,5.6,2.0
9.126,-4.2,8.7,1.8
9.127,-5.4,10.2,1.9
9.222,-2.4,3.3,1.5
9.234,-6.3,12.1,4.0
9.236,-7.3,7.2,0.0
9.238,-7.1,7.4,1.5
9.328,-4.9,3.6,1.2
9.331,-4.1,5.7,1.3
9.332,-6.2,7.1,1.4
9.334,-7.6,12.5,4.1
9.433,-6.7,8.1,3.6
9.436,-4.2,4.0,1.5
9.438,-5.3,6.5,3.4
9.44,-7.6,8.8,1.4
9.522,-6.5,6.5,0.3
9.524,-6.1,6.3,0.1
9.525,-8.0,7.5,1.2
9.527,-7.5,9.4,2.2
9.677,-7.6,6.0,2.4
9.679,-9.4,6.2,1.4
9.68,-10.1,6.7,0.8
9.683,-7.7,7.5,0.8
9.751,-7.9,7.8,1.7
9.753,-8.6,7.1,1.6
9.755,-6.9,7.3,1.3
9.763,-6.8,7.2,1.2
9.822,-6.8,7.5,0.9
9.825,-8.1,7.4,0.2
9.827,-6.3,7.4,0.1
9.829,-6.3,6.7,-0.2
9.931,-7.2,7.4,0.6
9.933,-5.8,8.6,1.3
9.934,-3.6,7.2,1.3
9.936,-3.9,7.0,-2.1
10.024,-9.3,9.0,-0.1
10.026,-5.6,6.8,-1.0
10.028,-6.2,6.7,-0.7
10.029,-7.0,7.2,-0.4
10.13,-4.3,7.7,-0.0
10.131,-5.6,7.2,-0.2
10.133,-8.0,7.9,0.0
10.136,-6.2,7.4,0.2
10.229,-7.0,7.9,-0.7
10.23,-7.1,8.0,-0.6
10.232,-6.2,7.8,-0.4
10.234,-5.2,7.2,-0.4
10.324,-6.2,7.7,-0.4
10.325,-6.8,8.0,-0.6
10.327,-5.2,7.1,-1.0
10.35,-5.3,6.7,-1.0
10.447,-6.2,8.1,-0.7
10.45,-6.1,7.4,-0.8
10.452,-5.5,7.1,-0.6
10.455,-5.7,7.1,-0.5
10.531,-6.2,7.3,-0.5
10.533,-6.2,7.7,-0.4
10.535,-6.0,7.1,-0.9
10.537,-6.0,7.2,-1.3
