vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
2.3,3.976,-7.562,0.0
-0.9,1.804,-9.94,0.007
-0.6,1.648,-10.175,0.009
0.3,1.079,-10.392,0.011
-1.4,0.918,-8.078,0.012
-1.7,3.41,-8.799,0.1
-0.1,2.137,-9.566,0.101
-0.4,1.47,-9.803,0.103
-0.8,2.333,-9.527,0.105
-0.3,2.823,-9.428,0.106
-0.4,2.627,-9.467,0.2
-0.8,2.039,-9.586,0.206
-0.6,1.862,-9.724,0.208
-0.6,2.058,-9.684,0.209
-0.7,2.215,-9.449,0.211
-0.7,4.046,-8.931,0.3
-0.6,3.954,-8.969,0.302
-0.6,3.954,-8.969,0.304
-0.6,3.954,-8.969,0.31
-0.7,4.046,-8.931,0.323
-0.7,4.1,-8.8,0.4
-0.6,3.954,-8.969,0.401
-0.5,3.862,-9.008,0.403
-0.6,4.085,-9.023,0.405
-0.7,4.1,-8.8,0.406
-0.7,4.046,-8.931,0.5
-0.7,3.769,-9.046,0.507
-0.6,3.954,-8.969,0.509
-0.6,4.192,-8.762,0.511
-0.6,4.138,-8.892,0.514
-0.6,3.954,-8.969,0.6
-0.7,4.046,-8.931,0.601
-0.7,4.1,-8.8,0.603
-0.6,3.954,-8.969,0.605
-0.7,3.862,-9.008,0.606
-0.7,4.231,-8.854,0.7
-0.7,4.285,-8.723,0.701
-0.6,4.046,-8.931,0.703
-0.6,3.954,-8.969,0.716
-0.6,4.008,-8.838,0.803
-0.7,4.192,-8.762,0.805
-0.7,4.192,-8.762,0.807
-0.7,4.192,-8.762,0.809
-0.7,4.231,-8.854,0.811
-0.7,4.046,-8.931,0.901
-0.7,4.046,-8.931,0.907
-0.7,4.085,-9.023,0.909
-0.8,4.046,-8.931,0.91
-0.9,4.008,-8.838,0.912
-0.8,4.138,-8.892,1.005
-0.7,4.138,-8.892,1.007
-0.7,4.138,-8.892,1.008
-0.6,4.085,-9.023,1.01
-0.5,4.138,-8.892,1.012
-0.7,3.9,-9.1,1.104
-0.8,3.585,-9.123,1.106
-0.7,4.362,-8.908,1.108
-0.8,4.546,-8.831,1.118
-0.7,4.6,-8.7,1.119
-1.0,3.293,-9.231,1.2
-0.867,3.233,-9.367,1.205
-0.604,2.561,-9.904,1.206
-0.241,2.888,-10.341,1.208
0.235,3.353,-11.565,1.209
-1.031,2.286,-13.231,1.3
0.504,3.339,-13.296,1.302
-0.251,7.39,-15.051,1.303
-0.049,9.41,-14.949,1.305
-0.865,9.353,-14.365,1.307
0.553,11.721,-12.813,1.4
2.925,12.813,-11.681,1.401
1.945,11.032,-11.011,1.403
2.418,6.755,-11.582,1.405
3.282,5.925,-10.158,1.406
1.972,5.243,-8.838,1.501
1.883,3.772,-7.585,1.503
0.092,1.32,-6.944,1.518
0.564,0.44,-6.048,1.52
0.676,-0.34,-5.132,1.521
0.804,-0.86,-4.728,1.599
1.22,-1.3,-4.04,1.601
1.449,-1.878,-3.077,1.603
1.31,-2.316,-2.855,1.604
1.452,-2.904,-2.439,1.607
0.512,-3.441,-2.496,1.7
0.469,-3.856,-2.02,1.702
0.402,-3.989,-1.554,1.703
0.148,-4.358,-1.31,1.705
-0.023,-4.713,-0.835,1.71
-0.184,-4.719,-0.603,1.787
-0.485,-4.525,-0.376,1.789
-1.317,-4.786,0.33,1.79
-1.527,-4.234,0.372,1.792
-1.152,-3.758,0.99,1.793
-1.974,-2.697,0.265,1.898
-1.162,-2.183,-0.156,1.908
-1.484,-1.435,-0.91,1.909
-0.986,0.582,1.01,2.001
-2.459,5.224,3.422,2.003
0.596,12.753,1.901,2.005
2.029,34.319,-10.632,2.006
36.789,-7.118,10.953,2.008
-30.308,-23.083,10.027,2.01
-2.522,-2.511,-22.122,2.011
35.922,10.916,14.964,2.1
9.929,11.712,2.546,2.106
-4.422,3.424,-9.731,2.108
-4.506,-0.939,-9.127,2.11
7.106,4.139,-5.573,2.111
13.02,9.295,-1.956,2.199
5.373,6.411,-2.465,2.201
5.409,4.517,-3.398,2.203
10.226,4.827,-2.275,2.204
10.113,5.064,-1.837,2.206
8.362,4.1,-2.908,2.299
8.384,3.971,-3.889,2.301
9.171,4.357,-3.514,2.303
8.56,4.671,-3.274,2.304
6.774,5.441,-3.937,2.399
6.356,5.256,-4.578,2.401
6.4,5.2,-4.7,2.402
6.211,5.711,-4.756,2.404
5.663,5.93,-5.381,2.406
5.359,5.293,-5.53,2.504
5.822,4.722,-5.511,2.505
6.511,5.111,-5.356,2.507
6.97,5.404,-4.585,2.509
7.137,5.27,-4.219,2.51
7.47,5.104,-4.185,2.599
7.726,5.259,-4.163,2.601
7.278,5.378,-3.889,2.602
7.0,5.3,-4.2,2.609
6.989,5.189,-4.644,2.61
6.8,5.3,-4.6,2.699
6.47,5.304,-4.885,2.701
6.515,5.248,-5.007,2.702
6.47,5.304,-4.885,2.708
6.433,5.333,-4.667,2.709
6.607,5.274,-4.904,2.799
6.804,5.137,-4.852,2.801
6.752,5.219,-4.826,2.802
6.522,5.222,-4.911,2.804
6.674,5.141,-4.737,2.806
6.852,5.219,-4.626,2.899
6.885,5.352,-4.593,2.901
6.919,5.485,-4.559,2.902
6.807,5.274,-4.504,2.904
6.811,5.111,-4.756,2.906
6.804,5.137,-4.852,3.0
6.707,5.274,-4.704,3.001
6.707,5.274,-4.704,3.009
6.793,5.326,-4.696,3.011
6.793,5.326,-4.696,3.021
6.707,5.274,-4.704,3.099
6.615,5.248,-4.807,3.101
6.752,5.219,-4.826,3.102
6.844,5.244,-4.722,3.104
6.844,5.244,-4.722,3.106
6.793,5.326,-4.696,3.203
6.663,5.33,-4.581,3.205
6.707,5.274,-4.704,3.206
6.659,5.193,-4.93,3.208
6.674,5.141,-4.737,3.209
6.793,5.326,-4.696,3.3
6.707,5.274,-4.704,3.301
6.759,5.193,-4.73,3.303
6.793,5.326,-4.696,3.305
6.707,5.274,-4.704,3.306
6.7,5.3,-4.8,3.399
6.622,5.222,-4.711,3.401
6.7,5.3,-4.8,3.402
6.793,5.326,-4.696,3.412
6.707,5.274,-4.704,3.413
6.752,5.219,-4.826,3.499
6.7,5.3,-4.8,3.501
6.793,5.326,-4.696,3.506
6.707,5.274,-4.704,3.507
6.793,5.326,-4.696,3.509
6.844,5.244,-4.722,3.599
6.7,5.3,-4.8,3.601
6.615,5.248,-4.807,3.602
6.7,5.3,-4.8,3.604
6.707,5.274,-4.704,3.605
6.7,5.3,-4.8,3.704
6.752,5.219,-4.826,3.705
6.793,5.326,-4.696,3.707
6.707,5.274,-4.704,3.709
6.7,5.3,-4.8,3.71
6.707,5.274,-4.704,3.799
6.7,5.3,-4.8,3.801
6.707,5.274,-4.704,3.818
6.707,5.274,-4.704,3.82
6.759,5.193,-4.73,3.822
6.837,5.27,-4.819,3.899
6.759,5.193,-4.73,3.901
6.707,5.274,-4.704,3.902
6.7,5.3,-4.8,3.904
6.707,5.274,-4.704,3.905
6.707,5.274,-4.704,4.001
6.707,5.274,-4.704,4.002
6.793,5.326,-4.696,4.004
6.793,5.326,-4.696,4.006
6.793,5.326,-4.696,4.099
6.793,5.326,-4.696,4.101
6.707,5.274,-4.704,4.102
6.707,5.274,-4.704,4.104
6.7,5.3,-4.8,4.105
6.752,5.219,-4.826,4.199
6.752,5.219,-4.826,4.2
6.7,5.3,-4.8,4.212
6.707,5.274,-4.704,4.223
6.793,5.326,-4.696,4.225
6.793,5.326,-4.696,4.303
6.707,5.274,-4.704,4.304
6.615,5.248,-4.807,4.306
6.752,5.219,-4.826,4.307
6.7,5.3,-4.8,4.309
6.793,5.326,-4.696,4.399
6.793,5.326,-4.696,4.405
6.707,5.274,-4.704,4.407
6.707,5.274,-4.704,4.408
6.715,5.248,-4.607,4.41
6.793,5.326,-4.696,4.505
6.7,5.3,-4.8,4.507
6.7,5.3,-4.8,4.509
6.615,5.248,-4.807,4.511
6.707,5.274,-4.704,4.512
6.878,5.378,-4.689,4.599
6.8,5.3,-4.6,4.612
6.793,5.326,-4.696,4.614
6.785,5.352,-4.793,4.615
6.615,5.248,-4.807,4.617
6.752,5.219,-4.826,4.702
6.752,5.219,-4.826,4.704
6.8,5.3,-4.6,4.705
6.8,5.3,-4.6,4.707
6.793,5.326,-4.696,4.709
6.793,5.326,-4.696,4.798
6.7,5.3,-4.8,4.8
6.707,5.274,-4.704,4.801
6.793,5.326,-4.696,4.803
6.707,5.274,-4.704,4.804
6.7,5.3,-4.8,4.904
6.752,5.219,-4.826,4.905
6.707,5.274,-4.704,4.907
6.759,5.193,-4.73,4.909
6.937,5.27,-4.619,4.91
6.8,5.3,-4.6,5.002
6.8,5.3,-4.6,5.004
6.793,5.326,-4.696,5.006
6.707,5.274,-4.704,5.007
6.707,5.274,-4.704,5.009
6.793,5.326,-4.696,5.099
6.8,5.3,-4.6,5.1
6.844,5.244,-4.722,5.102
6.707,5.274,-4.704,5.108
6.793,5.326,-4.696,5.11
6.793,5.326,-4.696,5.199
6.844,5.244,-4.722,5.2
6.707,5.274,-4.704,5.202
6.707,5.274,-4.704,5.209
6.807,5.274,-4.504,5.21
6.793,5.326,-4.696,5.299
6.8,5.3,-4.6,5.3
6.893,5.326,-4.496,5.302
6.885,5.352,-4.593,5.303
6.8,5.3,-4.6,5.313
6.8,5.3,-4.6,5.398
6.793,5.326,-4.696,5.4
6.759,5.193,-4.73,5.402
6.937,5.27,-4.619,5.403
6.937,5.27,-4.619,5.408
6.793,5.326,-4.696,5.499
6.615,5.248,-4.807,5.506
6.522,5.222,-4.911,5.508
6.47,5.304,-4.885,5.509
6.47,5.304,-4.885,5.512
6.615,5.248,-4.807,5.598
6.752,5.219,-4.826,5.6
6.796,5.163,-4.948,5.602
6.881,5.215,-4.941,5.603
6.759,5.193,-4.73,5.605
6.785,5.352,-4.793,5.698
6.785,5.352,-4.793,5.713
6.607,5.274,-4.904,5.717
6.515,5.248,-5.007,5.726
5.431,6.459,-4.953,5.799
5.413,6.186,-5.025,5.801
5.693,6.338,-5.117,5.802
5.712,6.448,-4.985,5.804
5.487,6.414,-5.075,5.809
5.337,6.283,-5.095,5.898
5.306,6.524,-5.442,5.9
5.082,6.327,-5.473,5.902
4.817,6.235,-5.887,5.907
5.694,5.561,-5.527,5.908
4.777,6.531,-5.208,5.998
5.041,6.922,-5.52,6.0
4.677,6.631,-5.808,6.002
4.023,5.969,-6.292,6.003
3.785,5.854,-6.638,6.005
3.447,5.991,-7.051,6.098
3.289,5.764,-7.204,6.1
2.702,5.273,-7.633,6.105
2.633,5.009,-7.889,6.115
2.649,5.064,-8.184,6.117
1.81,4.952,-8.245,6.198
1.78,4.9,-8.46,6.199
1.445,5.124,-8.328,6.201
1.419,4.795,-8.29,6.203
1.296,4.781,-8.502,6.204
0.182,4.324,-8.618,6.3
0.271,3.306,-9.329,6.302
0.098,2.48,-9.702,6.304
-0.076,2.635,-9.776,6.305
-0.061,3.192,-9.461,6.307
0.471,1.806,-9.829,6.398
-0.9,2.764,-9.644,6.4
-0.8,3.567,-9.073,6.402
-0.1,3.019,-9.388,6.403
-0.5,2.763,-9.134,6.406
-0.5,2.47,-9.703,6.498
-1.0,2.509,-9.389,6.5
-0.7,2.371,-9.213,6.509
0.0,2.156,-9.664,6.511
-0.7,2.156,-9.664,6.52
-0.4,2.235,-9.547,6.598
-0.7,2.117,-9.468,6.6
-2.2,3.136,-8.956,6.601
-0.2,1.451,-10.215,6.603
-0.2,1.921,-9.508,6.605
-0.9,2.861,-9.114,6.726
-0.3,1.902,-9.92,6.728
0.6,1.47,-9.803,6.734
-0.6,2.215,-9.449,6.736
-1.1,1.568,-9.783,6.737
-0.3,1.588,-9.881,6.808
-0.7,2.137,-9.566,6.809
-0.7,2.607,-9.369,6.811
-1.0,2.391,-9.311,6.813
-0.7,3.411,-9.309,6.814
-0.8,2.137,-9.566,6.896
-1.8,1.921,-9.508,6.906
-1.7,1.509,-9.489,6.913
-0.2,2.686,-9.761,7.0
-0.6,2.235,-9.547,7.008
0.2,3.175,-9.152,7.009
1.0,3.706,-9.759,7.011
-1.2,1.254,-9.745,7.013
-0.9,2.529,-9.487,7.016
0.3,2.921,-9.408,7.017
-0.5,2.607,-9.369,7.098
-0.9,2.607,-9.369,7.1
-0.5,2.156,-9.664,7.101
-0.4,2.058,-9.684,7.103
-0.5,2.431,-9.507,7.105
-0.5,2.509,-9.389,7.199
-0.6,2.352,-9.625,7.2
-0.5,2.431,-9.507,7.202
-0.4,2.431,-9.507,7.21
-0.6,2.333,-9.527,7.211
-0.6,2.333,-9.527,7.301
-0.5,2.333,-9.527,7.303
-0.5,2.235,-9.547,7.304
-0.5,2.431,-9.507,7.306
-0.6,2.431,-9.507,7.376
-0.5,2.333,-9.527,7.379
-0.4,2.333,-9.527,7.38
-0.5,2.431,-9.507,7.382
-0.5,2.431,-9.507,7.384
