gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.005,0.5,-0.1,0.1
0.128,-0.3,0.1,0.0
0.131,-0.8,0.2,-0.0
0.134,-0.2,0.1,0.0
0.238,-0.1,0.1,0.2
0.241,-0.2,0.2,0.1
0.244,-0.2,0.2,0.1
0.349,-0.2,0.1,0.1
0.353,-0.4,0.2,0.2
0.437,-0.4,0.2,0.2
0.441,-0.3,0.3,0.4
0.444,-0.4,0.4,0.4
0.505,-0.7,0.4,0.6
0.509,-1.4,0.5,0.8
0.63,-1.6,0.4,0.9
0.633,-2.6,0.5,1.1
0.751,-4.1,0.7,1.5
0.754,-4.2,0.7,1.9
0.757,-2.6,0.5,2.2
0.832,-2.1,0.9,2.5
0.835,-3.7,1.3,2.8
0.839,-5.9,1.4,3.1
0.935,-6.6,1.1,3.4
0.938,-6.3,0.5,3.4
1.032,-6.0,-0.1,2.7
1.035,-5.1,-0.5,2.0
1.038,-2.4,-0.3,1.3
1.142,-0.2,0.1,0.6
1.153,0.3,0.4,0.1
1.231,0.3,0.4,-0.2
1.235,0.4,-0.0,-0.6
1.241,0.5,-0.2,-0.9
1.33,0.5,-0.2,-1.1
1.333,0.8,-0.0,-1.2
1.433,0.8,0.1,-1.5
1.437,1.7,0.3,-2.0
1.44,4.0,0.5,-3.7
1.538,0.7,-0.5,-5.0
1.55,2.6,-0.6,-4.9
1.63,2.2,-0.1,-3.6
1.634,1.0,0.7,-2.3
1.637,0.8,1.2,-1.1
1.741,0.2,1.0,-0.3
1.745,0.9,1.1,0.2
1.828,1.2,0.9,0.7
1.836,0.7,0.7,1.7
1.839,-0.9,1.2,3.7
1.956,-4.2,0.4,4.3
1.959,-3.0,-0.9,0.9
2.036,-1.1,-1.2,0.7
2.039,-3.3,-1.6,0.6
2.132,-1.1,-1.5,0.1
2.138,0.6,-1.1,-0.4
2.142,0.8,-0.5,-1.3
2.267,1.0,0.0,-1.8
2.27,0.9,0.5,-1.6
2.331,1.1,0.8,-1.4
2.35,1.7,1.7,-2.7
2.353,3.1,-0.2,-4.9
2.425,0.1,1.5,-5.1
2.446,-2.1,2.4,-3.3
2.532,1.4,3.1,-0.8
2.537,1.3,2.6,0.0
2.541,0.5,2.0,1.1
2.618,-1.0,1.8,2.4
2.621,-0.5,1.1,3.6
2.727,-2.3,1.7,3.2
2.73,-1.3,-2.5,2.9
2.831,-2.0,-2.0,-1.2
2.834,-1.5,-1.5,-0.5
2.838,-1.7,-0.8,-0.1
2.928,1.4,-0.9,-0.3
2.936,1.7,-0.4,-0.8
2.939,1.3,0.4,-1.1
3.042,0.5,1.0,-1.2
3.045,0.1,1.4,-1.1
3.128,-1.6,1.7,-1.7
3.135,2.8,2.2,-3.7
3.139,5.2,0.3,-4.7
3.23,0.0,0.7,-4.6
3.233,-1.5,1.9,-2.8
3.328,1.0,2.3,-1.7
3.331,0.9,1.6,-1.7
3.335,0.8,1.4,-0.9
3.456,0.2,0.7,1.2
3.467,-0.8,1.3,3.3
3.531,-2.2,2.2,6.5
3.538,3.5,2.9,6.3
3.541,0.8,0.0,1.7
3.634,-4.6,0.0,0.6
3.642,-1.8,-0.8,0.6
3.734,-1.1,-1.0,-0.3
3.737,-0.4,-0.4,-1.4
3.842,0.6,0.2,-2.2
3.845,2.2,0.8,-1.9
3.857,3.0,1.5,-0.7
3.93,0.0,4.2,-3.6
3.933,1.1,3.0,-6.0
4.033,1.4,4.0,-5.7
4.036,0.1,3.6,-3.6
4.039,-0.5,3.8,-1.9
4.137,0.5,3.5,-0.3
4.14,0.0,2.9,0.9
4.242,0.1,2.6,2.5
4.254,0.3,2.4,4.1
4.257,-1.6,2.6,5.2
4.334,-5.2,-0.4,3.8
4.338,0.4,-0.9,0.4
4.434,-0.5,-1.7,0.1
4.438,0.1,-1.7,-0.5
4.441,1.5,-1.1,-1.1
4.533,0.9,-0.8,-2.2
4.54,1.8,-0.0,-2.3
4.637,2.5,1.0,-1.8
4.648,-0.2,2.6,-2.3
4.658,-0.9,4.9,-4.9
4.733,2.5,4.8,-8.8
