accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.225,2.1,-1.2,9.3
0.344,2.6,-1.5,9.2
0.597,4.3,-10.6,12.2
0.824,-4.2,-8.1,-4.9
0.934,-7.2,-1.8,-3.8
1.225,-14.0,6.6,10.2
1.423,-9.4,-2.3,-7.9
1.617,-4.9,-5.1,1.5
1.826,-7.4,-2.5,-0.8
2.022,-6.9,-5.1,1.0
2.224,-1.0,-10.0,25.5
2.424,-8.3,-3.5,-4.1
2.622,-11.7,1.6,7.6
2.821,-7.2,-4.1,-6.7
3.026,-9.5,-5.2,7.5
3.224,-7.2,-4.3,5.7
3.426,-7.6,-6.1,0.4
3.623,-7.8,-2.4,-0.6
3.82,-7.4,-3.8,-3.6
4.046,-8.2,-9.9,9.6
4.24,-8.5,-3.4,-2.6
4.428,-10.4,0.5,2.3
4.642,-8.2,-1.3,-5.8
4.824,-7.7,-6.9,-2.2
5.025,-8.2,-6.3,-0.1
5.234,-5.2,-4.9,3.8
5.43,-5.9,-7.2,11.4
5.605,-8.8,-3.7,-4.1
5.81,-5.4,-6.1,7.1
6.041,-5.7,-8.2,1.7
6.224,-8.5,-4.8,-2.8
6.433,-6.3,-6.6,5.9
6.634,-5.9,-6.0,4.4
6.824,-7.7,-5.0,0.9
7.026,-5.9,-6.1,5.6
7.227,-6.3,-7.6,2.6
7.512,-7.9,-4.9,-1.4
7.723,-2.6,-14.7,27.9
7.831,-6.5,-6.0,4.7
8.124,-7.4,-5.7,-2.1
8.234,-7.6,-4.3,8.3
8.411,-7.1,-5.8,1.9
8.722,-7.1,-5.5,-0.7
8.835,-6.5,-6.8,3.9
9.032,-7.5,-4.8,0.8
9.247,-6.4,-5.8,1.1
9.55,-6.4,-5.4,0.8
9.727,-8.1,-5.1,-2.6
9.921,-6.3,-4.7,6.7
10.12,-6.9,-5.7,3.4
10.295,-2.5,-1.4,9.9
10.503,-3.6,-1.5,8.8
