orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.137,0.7,0.1,-0.2,-0.7
0.33,0.7,0.1,-0.1,-0.7
0.507,0.7,-0.0,-0.1,-0.7
0.73,0.8,-0.3,0.0,-0.5
0.925,0.8,-0.4,0.3,-0.3
1.149,0.8,-0.4,0.3,-0.3
1.309,0.8,-0.4,0.3,-0.3
1.529,0.8,-0.4,0.3,-0.3
1.713,0.8,-0.4,0.3,-0.3
1.91,0.7,-0.6,0.2,-0.3
2.135,0.6,-0.7,-0.1,-0.3
2.316,0.4,-0.8,0.1,-0.5
2.521,0.4,-0.8,0.1,-0.5
2.712,0.4,-0.7,0.2,-0.6
2.94,0.4,-0.7,0.2,-0.6
3.114,0.4,-0.8,0.1,-0.5
3.313,0.4,-0.7,0.1,-0.5
3.525,0.4,-0.7,0.1,-0.5
3.821,0.4,-0.7,0.1,-0.5
4.024,0.4,-0.8,0.1,-0.5
4.156,0.4,-0.7,0.2,-0.5
4.397,0.4,-0.7,0.2,-0.5
4.602,0.4,-0.8,0.1,-0.5
4.801,0.4,-0.7,0.1,-0.5
5.005,0.4,-0.7,0.1,-0.5
5.196,0.4,-0.7,0.1,-0.6
5.404,0.4,-0.8,0.1,-0.5
5.609,0.4,-0.8,0.1,-0.5
5.812,0.4,-0.7,0.2,-0.5
6.009,0.4,-0.7,0.2,-0.5
6.204,0.4,-0.8,0.1,-0.5
6.406,0.4,-0.8,0.1,-0.5
6.604,0.4,-0.7,0.2,-0.5
6.827,0.4,-0.7,0.2,-0.5
7.003,0.4,-0.8,0.1,-0.5
7.231,0.4,-0.8,0.1,-0.5
7.423,0.4,-0.8,0.2,-0.5
7.63,0.4,-0.7,0.2,-0.5
7.807,0.4,-0.8,0.1,-0.5
8.049,0.4,-0.8,0.1,-0.5
8.204,0.4,-0.7,0.2,-0.5
8.436,0.4,-0.7,0.2,-0.5
8.615,0.4,-0.8,0.1,-0.4
8.834,0.4,-0.8,0.1,-0.5
9.021,0.4,-0.7,0.2,-0.5
9.212,0.4,-0.7,0.2,-0.5
9.408,0.4,-0.7,0.2,-0.5
9.616,0.6,-0.6,0.1,-0.5
9.814,0.7,-0.5,0.0,-0.5
10.054,0.8,-0.3,0.1,-0.5
10.207,0.9,-0.3,0.2,-0.4
10.422,0.9,-0.3,0.2,-0.4
10.617,0.9,-0.3,0.2,-0.4
10.81,0.9,-0.3,0.2,-0.4
11.01,0.9,-0.1,0.2,-0.4
11.216,0.9,-0.0,0.2,-0.5
11.415,0.8,0.1,0.1,-0.6
11.624,0.7,0.1,-0.1,-0.7
11.901,0.7,0.1,-0.1,-0.7
12.096,0.7,0.1,-0.1,-0.7
12.301,0.7,0.1,-0.1,-0.7
12.501,0.7,0.1,-0.1,-0.7
12.697,0.7,0.1,-0.1,-0.7
12.909,0.7,0.1,-0.2,-0.6
13.106,0.7,0.1,-0.2,-0.6
13.299,0.7,0.1,-0.2,-0.7
13.496,0.7,0.1,-0.2,-0.7
