orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.017,0.8,0.1,0.1,0.5
0.219,0.8,0.1,0.1,0.5
0.336,0.8,0.1,0.1,0.5
0.394,0.8,0.1,0.1,0.5
0.498,0.8,0.1,0.1,0.5
0.621,0.8,0.0,0.1,0.5
0.743,0.8,-0.1,0.1,0.5
0.797,0.8,-0.3,0.1,0.5
0.899,0.7,-0.5,0.0,0.5
1.018,0.4,-0.7,-0.2,0.5
1.119,0.3,-0.7,-0.5,0.4
1.254,0.2,-0.7,-0.5,0.4
1.351,0.3,-0.7,-0.5,0.4
1.369,0.3,-0.7,-0.5,0.4
1.544,0.2,-0.7,-0.5,0.4
1.634,0.2,-0.7,-0.5,0.4
1.722,0.2,-0.7,-0.5,0.5
1.82,0.3,-0.6,-0.4,0.6
1.943,0.4,-0.5,-0.3,0.7
2.026,0.4,-0.4,-0.3,0.7
2.124,0.4,-0.4,-0.3,0.7
2.228,0.5,-0.4,-0.3,0.7
2.334,0.5,-0.4,-0.2,0.8
2.423,0.5,-0.4,-0.2,0.8
2.527,0.5,-0.4,-0.2,0.8
2.646,0.4,-0.4,-0.2,0.8
2.726,0.4,-0.4,-0.2,0.8
2.825,0.4,-0.4,-0.2,0.8
2.937,0.4,-0.4,-0.2,0.8
3.046,0.4,-0.4,-0.2,0.8
3.124,0.4,-0.4,-0.2,0.8
3.223,0.4,-0.4,-0.2,0.8
3.326,0.4,-0.4,-0.3,0.8
3.441,0.3,-0.5,-0.4,0.7
3.526,0.3,-0.6,-0.5,0.6
3.625,0.3,-0.6,-0.5,0.5
3.728,0.3,-0.6,-0.5,0.5
3.852,0.3,-0.7,-0.5,0.5
3.928,0.3,-0.7,-0.5,0.5
4.019,0.3,-0.7,-0.5,0.4
4.129,0.3,-0.7,-0.4,0.4
4.268,0.4,-0.8,-0.4,0.4
4.324,0.4,-0.7,-0.3,0.4
4.404,0.5,-0.7,-0.2,0.4
4.521,0.6,-0.7,-0.1,0.4
4.666,0.6,-0.6,0.0,0.5
4.733,0.6,-0.6,0.1,0.5
4.857,0.4,-0.7,0.2,0.6
4.955,0.3,-0.7,0.2,0.6
5.025,0.2,-0.7,0.2,0.7
5.129,0.2,-0.7,0.2,0.7
5.226,0.2,-0.7,0.2,0.6
5.357,0.2,-0.7,0.2,0.6
5.43,0.3,-0.7,0.3,0.6
5.503,0.3,-0.7,0.2,0.6
5.603,0.3,-0.7,0.2,0.6
5.748,0.3,-0.7,0.1,0.6
5.821,0.3,-0.7,0.1,0.6
5.912,0.3,-0.7,0.1,0.6
6.013,0.3,-0.7,0.1,0.6
6.137,0.3,-0.7,0.1,0.6
6.218,0.3,-0.7,0.1,0.6
6.347,0.4,-0.7,-0.0,0.5
6.448,0.6,-0.7,-0.1,0.5
6.574,0.7,-0.6,-0.2,0.3
6.631,0.7,-0.6,-0.2,0.3
6.731,0.8,-0.5,-0.2,0.3
6.833,0.7,-0.5,-0.2,0.3
6.95,0.8,-0.4,-0.2,0.4
7.034,0.7,-0.4,-0.2,0.5
7.118,0.7,-0.4,-0.3,0.5
7.352,0.6,-0.4,-0.3,0.6
7.426,0.6,-0.4,-0.4,0.6
7.454,0.5,-0.4,-0.4,0.6
7.556,0.5,-0.5,-0.5,0.6
7.664,0.4,-0.5,-0.5,0.6
7.744,0.4,-0.5,-0.5,0.5
7.835,0.4,-0.5,-0.5,0.6
7.98,0.4,-0.5,-0.5,0.6
8.071,0.4,-0.4,-0.5,0.6
8.145,0.4,-0.4,-0.5,0.6
8.223,0.4,-0.4,-0.5,0.7
8.42,0.4,-0.4,-0.5,0.7
8.496,0.4,-0.4,-0.5,0.7
8.604,0.4,-0.4,-0.5,0.7
8.723,0.4,-0.4,-0.5,0.6
8.837,0.4,-0.4,-0.4,0.7
8.856,0.4,-0.4,-0.4,0.7
9.021,0.4,-0.5,-0.4,0.7
9.131,0.4,-0.5,-0.4,0.7
9.245,0.3,-0.5,-0.4,0.7
9.321,0.3,-0.5,-0.4,0.7
9.424,0.3,-0.5,-0.4,0.7
9.521,0.3,-0.5,-0.4,0.7
9.653,0.3,-0.5,-0.4,0.7
9.716,0.4,-0.5,-0.4,0.7
9.836,0.5,-0.4,-0.2,0.8
9.902,0.6,-0.3,-0.0,0.8
10.006,0.7,-0.2,0.1,0.7
10.104,0.7,0.0,0.2,0.7
10.304,0.8,0.2,0.2,0.5
10.4,0.8,0.3,0.2,0.5
10.464,0.8,0.3,0.1,0.4
10.524,0.9,0.3,0.1,0.4
10.637,0.9,0.3,0.2,0.3
10.749,0.9,0.3,0.2,0.3
10.824,0.9,0.3,0.1,0.3
10.923,0.9,0.3,0.1,0.3
11.035,0.9,0.3,0.1,0.3
