gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.096,0.0,0.2,0.7
0.197,-0.0,-0.0,0.1
0.313,-0.1,0.0,0.1
0.412,-0.1,0.0,-0.0
0.496,-0.2,0.1,0.1
0.594,-1.6,0.0,0.7
0.704,-2.5,0.2,1.8
0.818,-2.5,1.2,2.1
0.92,-3.6,1.7,2.2
0.951,-5.3,1.1,2.5
1.032,-4.6,-0.1,2.6
1.154,1.3,0.4,1.1
1.23,-0.0,0.4,-0.0
1.422,0.2,0.1,-0.4
1.532,0.6,-0.1,-1.0
1.593,0.1,-0.2,-1.2
1.707,0.2,-0.1,-0.9
1.802,-0.2,-0.1,-0.2
1.943,-0.3,-0.0,0.6
2.033,-0.3,-0.0,1.1
2.117,-0.3,-0.1,1.1
2.235,-0.6,0.0,0.1
2.319,-0.3,0.2,-0.2
2.395,0.2,0.0,-0.2
2.489,0.2,0.1,-0.1
2.595,0.6,0.1,0.6
2.738,0.3,-0.1,0.3
2.801,-0.3,-0.2,-0.3
2.895,-0.5,-0.2,-0.0
3.012,-0.7,-0.1,0.1
3.099,0.1,-0.1,-0.0
3.226,-1.2,-0.4,0.1
3.326,-0.5,0.0,0.5
3.433,-0.5,0.2,0.6
3.522,-0.3,0.2,0.4
3.624,0.3,-0.1,0.2
3.734,1.1,-0.0,-0.9
3.839,1.6,-0.4,-1.0
3.918,1.3,-0.4,-1.5
3.993,2.0,-0.1,-0.8
4.115,1.5,0.4,0.6
4.251,2.7,1.0,1.0
4.32,2.1,0.2,-0.1
4.423,2.6,0.6,0.4
4.529,1.3,0.4,-0.0
4.616,0.9,0.9,0.8
4.754,-1.4,-0.5,-0.2
4.824,1.2,-0.1,-1.3
4.903,2.1,-0.1,-1.3
5.006,1.7,-0.4,-1.7
5.096,1.7,-0.7,-2.0
5.199,0.8,-0.7,-0.6
5.324,-2.4,-0.8,-3.1
5.405,-2.9,-7.3,-6.4
5.502,-9.9,-1.7,-0.8
5.602,-4.0,0.1,-0.9
5.763,-0.6,1.1,2.1
5.848,0.2,-0.1,2.9
5.926,-6.9,-0.5,6.0
6.019,-3.3,3.8,-5.4
6.139,1.7,-2.3,3.1
6.226,-2.4,-0.5,-0.4
6.3,1.5,0.7,0.1
6.399,7.5,1.1,0.7
6.539,0.2,-0.3,-1.2
6.639,-1.5,-0.3,0.1
6.739,0.6,0.0,0.4
6.827,-0.5,0.1,-0.2
6.943,-0.2,-0.1,0.1
7.029,0.5,-0.0,-0.0
7.126,0.0,0.0,-0.0
7.211,-0.3,-0.0,0.0
7.296,0.3,-0.0,-0.0
7.494,0.1,0.0,0.0
7.591,-0.1,0.0,-0.0
7.729,0.1,-0.0,-0.0
7.819,0.0,-0.0,0.0
7.898,-0.2,0.0,0.0
7.906,-0.1,-0.0,-0.0
8.124,0.1,0.0,0.0
8.135,0.1,0.0,0.0
8.233,-0.0,0.0,-0.0
8.3,0.0,-0.0,0.0
8.519,-0.0,-0.0,-0.0
8.533,-0.0,-0.0,0.0
8.63,0.0,0.0,0.0
8.723,0.0,0.0,-0.0
8.894,-0.0,-0.0,-0.0
9.049,0.0,-0.0,0.0
9.146,0.0,-0.0,-0.0
9.155,0.1,0.0,-0.0
9.22,-0.0,0.0,-0.0
9.328,0.0,-0.0,0.0
9.425,0.0,0.0,0.0
9.633,-0.0,-0.0,-0.0
9.72,-0.0,-0.0,0.0
9.787,-0.0,-0.0,-0.0
9.895,-0.0,0.0,0.0
10.03,-0.0,0.0,0.0
10.131,-0.1,-0.0,-0.0
10.197,-0.0,0.0,-0.0
10.3,-0.0,-0.0,0.0
10.402,0.0,-0.0,0.0
10.522,-0.0,0.0,0.0
10.624,-0.0,0.0,0.0
10.724,3.0,0.3,-0.2
10.815,5.0,0.4,-0.1
10.896,4.9,0.1,-0.2
11.014,1.5,0.1,-0.2
11.135,0.7,0.1,-0.1
11.223,0.5,0.0,-0.0
11.313,0.0,-0.0,-0.0
11.416,0.1,0.0,-0.0
11.532,0.1,0.0,-0.0
11.616,-0.3,-0.1,0.1
11.722,-0.0,0.0,0.0
11.821,0.1,-0.0,-0.0
11.944,0.6,-0.0,-0.3
12.028,1.8,-1.2,-1.4
12.12,4.2,-1.7,-3.6
12.233,2.0,-2.5,-3.3
12.323,0.1,-2.3,-2.1
12.416,-0.1,-0.8,-1.1
12.521,-0.5,-0.5,-0.8
12.647,-0.2,0.0,-0.3
12.724,-0.3,0.3,-0.1
12.821,0.4,0.2,-0.1
12.914,-0.1,0.2,0.1
13.03,-0.0,0.1,0.2
13.121,0.0,0.1,0.1
13.218,0.1,-0.0,0.0
13.319,0.0,-0.0,-0.1
13.435,-0.0,-0.0,-0.1
13.522,-0.1,-0.0,0.0
13.619,-0.0,-0.0,-0.0
13.717,0.5,-0.1,-0.2
13.846,-0.1,0.2,-0.1
13.924,-0.2,-0.0,0.0
14.023,-0.1,-0.1,-0.0
14.117,0.1,-0.1,0.0
14.242,0.0,-0.0,0.1
14.325,-0.0,-0.0,0.0
14.423,-0.1,-0.0,-0.0
14.52,0.1,-0.1,-0.0
14.657,-0.2,-0.0,-0.1
14.722,0.0,-0.0,0.0
14.819,-0.8,0.8,0.5
14.984,-0.2,-0.0,0.0
15.054,0.5,-0.1,0.0
15.127,0.1,0.0,0.1
15.223,0.0,-0.0,0.0
15.341,0.0,0.0,0.0
15.427,3.1,-0.2,-0.5
