orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.105,-0.2,0.1,0.0,-1.0
0.231,-0.2,0.1,0.0,-1.0
0.382,-0.2,0.1,0.0,-1.0
0.413,-0.2,0.1,0.0,-1.0
0.476,-0.2,0.1,0.0,-1.0
0.619,-0.2,0.1,0.0,-1.0
0.643,-0.2,0.1,0.0,-1.0
0.811,-0.2,0.1,0.0,-1.0
0.823,-0.2,0.1,0.0,-1.0
1.006,-0.2,0.1,0.1,-1.0
1.182,-0.2,0.1,0.2,-0.9
1.234,-0.2,0.3,0.4,-0.9
1.259,-0.1,0.4,0.5,-0.8
1.435,0.1,0.4,0.5,-0.7
1.457,0.2,0.5,0.5,-0.7
1.57,0.2,0.6,0.4,-0.7
1.643,0.3,0.6,0.4,-0.6
1.831,0.2,0.5,0.5,-0.7
1.954,0.2,0.5,0.5,-0.7
2.032,0.2,0.5,0.5,-0.7
2.128,0.1,0.5,0.4,-0.7
2.306,0.1,0.6,0.3,-0.8
2.36,0.0,0.6,0.3,-0.8
2.428,-0.0,0.5,0.4,-0.8
2.526,-0.0,0.5,0.4,-0.8
2.651,-0.0,0.4,0.4,-0.8
2.736,-0.0,0.4,0.4,-0.9
2.828,-0.0,0.3,0.3,-0.9
2.929,-0.1,0.3,0.3,-0.9
3.051,-0.1,0.2,0.3,-0.9
3.128,-0.1,0.2,0.3,-0.9
3.229,-0.1,0.2,0.2,-1.0
3.327,-0.0,0.2,0.2,-1.0
3.45,-0.0,0.2,0.2,-1.0
3.532,-0.0,0.2,0.2,-1.0
3.632,-0.0,0.2,0.2,-1.0
3.733,-0.0,0.2,0.2,-1.0
3.855,-0.0,0.2,0.2,-1.0
3.931,-0.0,0.2,0.1,-1.0
4.03,-0.0,0.2,0.1,-1.0
4.132,-0.1,0.2,0.1,-1.0
4.254,-0.1,0.2,0.1,-1.0
4.334,-0.1,0.2,0.1,-1.0
4.438,-0.1,0.2,0.1,-1.0
4.537,-0.1,0.2,0.1,-1.0
4.66,-0.1,0.2,0.1,-1.0
4.731,-0.1,0.2,0.1,-1.0
4.829,-0.1,0.2,0.1,-1.0
4.962,-0.1,0.2,0.1,-1.0
5.031,-0.1,0.2,0.1,-1.0
5.131,-0.1,0.2,0.1,-1.0
5.241,-0.1,0.2,0.1,-1.0
5.353,-0.1,0.2,0.1,-1.0
5.435,-0.1,0.2,0.1,-1.0
5.527,-0.1,0.2,0.1,-1.0
5.631,-0.1,0.2,0.1,-1.0
5.763,-0.1,0.2,0.1,-1.0
5.842,-0.1,0.2,0.1,-1.0
5.935,-0.1,0.2,0.1,-1.0
6.03,-0.1,0.2,0.1,-1.0
